date,year,month,collisions,fatalities,serious_injuries,moderate_injuries,minor_injuries,total_injuries,weekend_collisions,weekend_fatalities,weekend_total_injuries,weekend_collision_share,weekend_fatality_share,weekend_injury_share,night_collisions,night_fatalities,night_total_injuries,peak_collisions,peak_fatalities,peak_total_injuries,night_collision_share,night_fatality_share,peak_collision_share,injuries_per_collision,fatalities_per_collision
2007-03-01,2007,3,4716.0,157.0,621.0,374.0,3610.0,4605.0,1314.0,63.0,1415.0,0.2786259541984733,0.4012738853503185,0.30727470141150925,708.0,53.0,795.0,2004.0,55.0,2001.0,0.15012722646310434,0.3375796178343949,0.42493638676844786,0.9764631043256997,0.03329092451229856
2007-04-01,2007,4,4703.0,162.0,645.0,490.0,3561.0,4696.0,1321.0,63.0,1465.0,0.28088454178184136,0.3888888888888889,0.31196763202725725,702.0,54.0,783.0,1995.0,56.0,1999.0,0.1492664256857325,0.3333333333333333,0.4241973208590262,0.998511588347863,0.03444609823516904
2007-05-01,2007,5,4692.0,128.0,620.0,421.0,3569.0,4610.0,1174.0,50.0,1153.0,0.25021312872975277,0.390625,0.25010845986984814,736.0,35.0,818.0,2022.0,57.0,2040.0,0.1568627450980392,0.2734375,0.4309462915601023,0.9825234441602728,0.027280477408354646
2007-06-01,2007,6,4632.0,135.0,588.0,386.0,3379.0,4353.0,1393.0,59.0,1418.0,0.30073402417962003,0.43703703703703706,0.3257523546979095,698.0,39.0,725.0,1987.0,57.0,1874.0,0.1506908462867012,0.28888888888888886,0.42897236614853196,0.9397668393782384,0.029145077720207253
2007-07-01,2007,7,4185.0,125.0,622.0,380.0,3174.0,4176.0,1158.0,54.0,1278.0,0.27670250896057347,0.432,0.30603448275862066,636.0,35.0,682.0,1780.0,54.0,1767.0,0.15197132616487455,0.28,0.4253285543608124,0.9978494623655914,0.02986857825567503
2007-08-01,2007,8,4406.0,130.0,596.0,400.0,3069.0,4065.0,1211.0,51.0,1117.0,0.27485247389922834,0.3923076923076923,0.27478474784747847,614.0,43.0,622.0,1897.0,50.0,1768.0,0.13935542442124377,0.33076923076923076,0.43054925102133457,0.9226055379028597,0.029505220154335
2007-09-01,2007,9,4469.0,155.0,651.0,404.0,3465.0,4520.0,1543.0,61.0,1647.0,0.3452673976281047,0.3935483870967742,0.3643805309734513,799.0,53.0,869.0,1716.0,53.0,1771.0,0.17878720071604387,0.3419354838709677,0.3839785186842694,1.0114119489818751,0.03468337435667935
2007-10-01,2007,10,4381.0,125.0,547.0,386.0,3360.0,4293.0,1168.0,47.0,1359.0,0.2666057977630678,0.376,0.3165618448637317,620.0,32.0,698.0,1821.0,44.0,1793.0,0.14152020086738187,0.256,0.41565852545081033,0.9799132618123716,0.028532298561972154
2007-11-01,2007,11,4462.0,124.0,605.0,360.0,3376.0,4341.0,1246.0,47.0,1365.0,0.2792469744509189,0.3790322580645161,0.3144436765722184,717.0,37.0,718.0,1869.0,35.0,1871.0,0.16069027341999104,0.29838709677419356,0.4188704616763783,0.9728821156432094,0.027790228597041687
2007-12-01,2007,12,4714.0,143.0,609.0,442.0,3739.0,4790.0,1601.0,74.0,1692.0,0.33962664403903264,0.5174825174825175,0.35323590814196243,832.0,57.0,856.0,1837.0,35.0,1924.0,0.17649554518455665,0.3986013986013986,0.3896902842596521,1.0161221892235892,0.030335171828595672
