year,month,avg_temperature,max_temperature,min_temperature,avg_precipitation_sum,avg_rain_sum,avg_snowfall_sum,avg_precipitation_hours,max_wind_speed,max_wind_gust,avg_rain_days,weather_locations,country,region,source_id,feature_scope,feature_semantics,aggregation_rule
2021,11,14.26037037037037,31.9,1.3,23.366666666666667,23.044444444444444,0.2255555555555556,61.44444444444444,50.9,101.2,10.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,12,16.45878136200717,32.3,3.0,18.544444444444444,18.544444444444444,0.0,49.22222222222222,56.9,103.0,9.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,1,17.07706093189964,32.3,3.1,32.68888888888889,32.544444444444444,0.10111111111111111,57.77777777777778,56.9,105.5,8.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,2,17.331746031746032,32.8,2.8,22.400000000000002,22.400000000000002,0.0,50.666666666666664,61.8,114.5,8.11111111111111,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,3,15.702867383512547,31.2,2.3,37.91111111111112,37.91111111111112,0.0,62.888888888888886,50.8,93.6,9.11111111111111,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,4,13.067777777777778,29.4,-0.8,80.34444444444445,80.22222222222223,0.08555555555555555,92.0,50.3,100.4,10.222222222222221,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,5,11.329032258064515,24.6,-3.3,45.288888888888884,44.93333333333334,0.2488888888888889,64.33333333333333,49.5,93.6,8.333333333333334,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,6,10.124444444444444,21.0,-3.7,108.95555555555556,107.88888888888889,0.7466666666666666,125.11111111111111,51.2,109.4,13.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,7,9.303942652329749,19.8,-6.3,152.2888888888889,148.0666666666667,2.9711111111111115,154.77777777777777,62.6,126.0,14.0,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,8,9.925448028673834,26.5,-2.6,71.52222222222223,68.62222222222222,2.0377777777777784,106.33333333333333,54.7,102.6,12.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,9,10.721111111111112,25.9,-0.9,42.24444444444444,42.144444444444446,0.07777777777777778,79.88888888888889,52.7,99.7,11.11111111111111,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,10,12.311827956989248,29.2,-0.6,48.96666666666667,48.78888888888889,0.12444444444444445,85.77777777777777,56.6,104.4,11.555555555555555,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,11,15.060740740740743,32.3,2.4,23.344444444444445,23.344444444444445,0.0,62.333333333333336,57.8,107.6,9.777777777777779,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2022,12,17.04121863799283,36.0,2.8,30.11111111111111,30.08888888888889,0.015555555555555557,64.33333333333333,63.0,115.6,9.222222222222221,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2023,1,17.55412186379928,34.0,4.8,18.755555555555556,18.755555555555556,0.0,44.333333333333336,55.7,101.9,8.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2023,2,18.33293650793651,36.3,3.3,17.811111111111114,17.766666666666666,0.031111111111111114,41.55555555555556,68.3,123.5,5.777777777777778,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
