date,year,month,conaset_available_asof_year,conaset_available_expected5y_collisions,conaset_available_expected3y_collisions,conaset_available_last_collisions,conaset_available_expected5y_fatalities,conaset_available_expected3y_fatalities,conaset_available_last_fatalities,conaset_available_expected5y_total_injuries,conaset_available_expected3y_total_injuries,conaset_available_last_total_injuries,conaset_available_expected5y_serious_injuries,conaset_available_expected3y_serious_injuries,conaset_available_last_serious_injuries,conaset_available_expected5y_weekend_collision_share,conaset_available_expected3y_weekend_collision_share,conaset_available_last_weekend_collision_share,conaset_available_expected5y_weekend_fatality_share,conaset_available_expected3y_weekend_fatality_share,conaset_available_last_weekend_fatality_share,conaset_available_expected5y_night_collision_share,conaset_available_expected3y_night_collision_share,conaset_available_last_night_collision_share,conaset_available_expected5y_night_fatality_share,conaset_available_expected3y_night_fatality_share,conaset_available_last_night_fatality_share,conaset_available_expected5y_peak_collision_share,conaset_available_expected3y_peak_collision_share,conaset_available_last_peak_collision_share,conaset_available_expected5y_injuries_per_collision,conaset_available_expected3y_injuries_per_collision,conaset_available_last_injuries_per_collision,conaset_available_expected5y_fatalities_per_collision,conaset_available_expected3y_fatalities_per_collision,conaset_available_last_fatalities_per_collision,conaset_available_collision_yoy
2022-09-01,2022,9,2021,6704.6,6473.333333333333,7183.0,116.0,117.0,141.0,4186.4,4049.3333333333335,4690.0,586.4,602.6666666666666,725.0,0.29717116904457236,0.2603791808308626,0.26618404566337184,0.3718427146693698,0.34823289215967024,0.41843971631205673,0.1467856987749094,0.13708160733362643,0.1428372546289851,0.2970668340549711,0.291979228135927,0.24822695035460993,0.4077370924811836,0.41031404033561025,0.41236252262285955,0.6253989151988252,0.627884392302313,0.6529305304190449,0.017510373598268007,0.018354390371036564,0.019629681191702632,0.4432388989351015
2022-10-01,2022,10,2021,7021.2,6753.333333333333,7769.0,118.4,124.33333333333333,131.0,4444.4,4285.0,4973.0,631.8,623.6666666666666,782.0,0.26558249792193217,0.2713733911804695,0.3230789033337624,0.3644003843775713,0.420975669957256,0.5190839694656488,0.14044058278183275,0.1394310763123837,0.15947998455399665,0.2956567074332699,0.2954258346612819,0.31297709923664124,0.4146471729166442,0.40471927594194407,0.3983781696486034,0.6330976896468568,0.6350224021317907,0.6401081220234265,0.01710014746835021,0.018675468146688856,0.01686188698674218,0.3455143747835123
2022-11-01,2022,11,2021,7223.4,6940.333333333333,7769.0,120.2,134.0,151.0,4699.2,4575.0,5059.0,665.0,689.3333333333334,807.0,0.2754270273652269,0.27825057876480547,0.2657999742566611,0.33968342142631813,0.32881433236640945,0.2980132450331126,0.1498990755710698,0.15006254864429613,0.15973741794310722,0.3461339604284549,0.35021787363750034,0.33774834437086093,0.412157264870356,0.40924428734034096,0.4068734714892522,0.6512379553275178,0.6601116960032228,0.6511777577551808,0.016825071549156627,0.0193421260153837,0.019436220877847857,0.29160432252701574
2022-12-01,2022,12,2021,7900.4,7653.666666666667,8088.0,143.6,157.0,179.0,5207.8,5002.0,5141.0,753.6,739.3333333333334,816.0,0.2853162152474428,0.256053098996265,0.2579129574678536,0.3975959248529243,0.38757790754175897,0.3463687150837989,0.15820734321482924,0.15352112865930367,0.16691394658753708,0.3104942486542547,0.32332647999752834,0.35195530726256985,0.3958568274865493,0.3964451452763646,0.3923095944609298,0.6584671500653064,0.6528893082189372,0.6356330365974283,0.018264458110851745,0.020459388357662162,0.022131552917903065,0.15757835981107782
2023-01-01,2023,1,2021,7139.8,6848.0,6053.0,149.2,145.0,114.0,4999.6,4725.333333333333,4188.0,711.8,672.0,618.0,0.2545727468555603,0.2485013255015592,0.24252436808194283,0.31547430627466533,0.3378613303469125,0.3157894736842105,0.1607202506591576,0.15371570222489914,0.10903684123575087,0.3295169594222962,0.3182443242791559,0.2807017543859649,0.39639759492372234,0.39755827052616555,0.41516603337188174,0.6996441778976964,0.6900220940362288,0.691888319841401,0.020839051431222045,0.02105004480097993,0.018833636213447878,-0.17376467376467375
2023-02-01,2023,2,2021,6522.8,6293.666666666667,5302.0,133.8,138.66666666666666,120.0,4720.4,4469.0,3609.0,669.6,634.0,527.0,0.2919330999022859,0.2867713258474556,0.24104111655978877,0.3590055229284615,0.35624034599938215,0.25,0.16268786447601574,0.15532941544327522,0.12353828743870238,0.33197513349607094,0.30291679538667493,0.25833333333333336,0.3853879699633658,0.38641056018162256,0.4045643153526971,0.7217886379280699,0.7079425690411362,0.6806865333836288,0.02062155275506951,0.022080407234935682,0.022632968691059976,-0.2174169741697417
2023-03-01,2023,3,2021,7252.8,6661.666666666667,5847.0,132.4,139.33333333333334,133.0,4675.2,4229.0,3674.0,667.2,620.6666666666666,542.0,0.26339829190278896,0.24626573861017362,0.17632974174790492,0.37032333890399705,0.38252814548515635,0.3007518796992481,0.13614488659418972,0.13126719942052403,0.11749615187275526,0.2945933202305757,0.28337237959576245,0.2556390977443609,0.4217620660216337,0.4197278296645868,0.41747904908500083,0.6432271322364309,0.634343120967131,0.6283564220968018,0.01892596759606799,0.02155151908233256,0.022746707713357277,-0.015490823370937878
2023-04-01,2023,4,2021,6368.0,5473.0,4975.0,120.2,109.0,100.0,4103.2,3503.0,3185.0,594.2,522.3333333333334,545.0,0.24946853799643803,0.22857678525823324,0.20180904522613066,0.33208251681874695,0.3248902987047317,0.26,0.11943171754150358,0.1073213293789362,0.10311557788944724,0.2321762258535797,0.1972402854877082,0.16,0.434009881477889,0.43824142489352874,0.4598994974874372,0.6425211781371551,0.6382692500384081,0.6402010050251257,0.01967345324948102,0.02094354791648755,0.020100502512562814,0.3241948363055629
2023-05-01,2023,5,2021,7022.6,6226.333333333333,6394.0,130.0,130.33333333333334,150.0,4399.2,3847.3333333333335,4013.0,639.8,572.0,629.0,0.26895398057338593,0.2685528674628232,0.26258992805755393,0.34127323951061583,0.3557130942452043,0.3333333333333333,0.12207950492186517,0.11141859130514131,0.10353456365342509,0.2104188792497685,0.21357890834955054,0.17333333333333334,0.43457917420485365,0.4248305811800712,0.435564591804817,0.6232054730747807,0.6146443114768274,0.6276196434157022,0.019539512236580552,0.02205580291074316,0.023459493274945262,0.5591319190441355
2023-06-01,2023,6,2021,6910.4,6176.666666666667,6530.0,132.4,134.33333333333334,134.0,4298.0,3844.0,4074.0,599.0,560.3333333333334,682.0,0.28100040012842586,0.26107436935893696,0.22756508422664626,0.3559710844274866,0.3430762852404643,0.3208955223880597,0.1286853846502986,0.12307713223484552,0.11332312404287902,0.26430427388793454,0.26590394854338295,0.27611940298507465,0.43899734033166143,0.4322293967082019,0.43047473200612557,0.6217197506197115,0.6215283222518461,0.6238897396630935,0.02019329890160713,0.022850917218411437,0.020520673813169986,0.6143386897404202
