date,mop_available_last_total_passages,mop_available_expected3y_total_passages,mop_available_last_light_passages,mop_available_expected3y_light_passages,mop_available_last_heavy_passages,mop_available_expected3y_heavy_passages,mop_available_last_light_share,mop_available_expected3y_light_share,mop_available_last_plazas_used,mop_available_expected3y_plazas_used,mop_available_last_yoy,mop_available_expected3y_yoy,mop_available_last_rolling3,mop_available_expected3y_rolling3,anac_available_last_market_units,anac_available_expected3y_market_units,anac_available_last_suzuki_top20_units,anac_available_expected3y_suzuki_top20_units,anac_available_last_suzuki_top20_model_count,anac_available_expected3y_suzuki_top20_model_count,anac_available_last_suzuki_top20_market_share,anac_available_expected3y_suzuki_top20_market_share,anac_available_last_fleet_proxy_age_0_12m,anac_available_expected3y_fleet_proxy_age_0_12m,anac_available_last_fleet_proxy_age_13_36m,anac_available_expected3y_fleet_proxy_age_13_36m,anac_available_last_fleet_proxy_age_37_60m,anac_available_expected3y_fleet_proxy_age_37_60m,cmf_available_damaged_insured_vehicles,cmf_available_insured_vehicles,cmf_available_claim_rate,cmf_available_repair_delay_days,cmf_available_report_age_months
2023-10-01,218946.0,270631.3333333334,164120.0,210349.3333333333,54826.0,60282.0,0.7495912234066847,0.777529137974121,4.0,4.0,-0.03663451723045519,-0.03583377887665029,220817.0,260267.16666666666,28314.0,,1275.0,754.5,4.0,1.0,0.0450307268489086,,1249.5,8843.52,16965.12,3426.7699999999995,0.0,0.0,100324.0,,,76.0,4.0
2023-11-01,228684.0,269808.5,172916.0,206830.5,55768.0,62978.0,0.7561351034615452,0.7667617344286789,4.0,4.0,-0.1047062001573823,-0.07326435008640764,230244.0,267896.3333333334,25503.0,31708.0,1047.0,1258.0,4.0,1.0,0.0410539936478061,0.0,2275.56,8843.52,16965.12,4609.29,0.0,0.0,95921.0,2002125.0,0.04790959605419242,74.0,1.0
2023-12-01,257050.0,296944.5,198338.0,232909.0,58712.0,64035.5,0.7715930752771835,0.7845738168124197,4.0,4.0,-0.03253366654873646,-0.05388852661002008,234893.33333333334,279128.1111111111,,,1316.0,1188.5,4.0,1.5,,,3565.24,8843.52,16965.12,5726.48,0.0,0.0,95921.0,2002125.0,0.04790959605419242,74.0,2.0
2024-01-01,239563.0,305962.0,180327.0,250811.66666666666,59236.0,55150.333333333336,0.7527331015223553,0.8146448339218896,4.0,4.0,-0.07700280101252555,0.28151337111598307,241765.66666666666,277722.8888888888,25630.0,24984.0,1228.0,0.0,4.0,0.0,0.0479126024190401,0.0,4768.68,5895.68,16965.12,3817.653333333333,0.0,0.0,95921.0,2002125.0,0.04790959605419242,74.0,3.0
2024-02-01,283683.5,267030.0,224326.5,214293.66666666666,59357.0,52736.333333333336,0.785644655970388,0.8043116472460055,4.0,4.0,-0.017451042871689748,-0.08181151195620823,260098.83333333334,284459.7777777778,,24492.0,1281.0,428.6666666666667,4.0,1.6666666666666667,,0.0166176710762698,6024.06,5895.68,16965.12,4220.599999999999,0.0,0.0,95921.0,2002125.0,0.04790959605419242,74.0,4.0
2024-03-01,327804.0,261360.33333333334,268326.0,192944.33333333334,59478.0,68416.0,0.8185562104184207,0.73617189098723,4.0,4.0,-0.08150622175273825,0.08679962914007894,283683.5,278117.44444444444,25117.0,41467.0,1076.0,471.3333333333333,4.0,1.0,0.0428395110881076,0.0267200424433887,7078.54,5895.68,16965.12,4663.653333333333,0.0,0.0,95921.0,2002125.0,0.04790959605419242,74.0,5.0
2024-04-01,340232.0,235275.66666666666,279404.0,174305.33333333334,60828.0,60970.333333333336,0.8212161113593077,0.7335208626357724,4.0,4.0,0.6416422598684686,0.19714346777393954,317239.8333333333,254555.33333333334,22450.0,,1131.0,443.3333333333333,5.0,1.0,0.0503786191536748,,8186.92,5895.679999999999,16582.54,5080.386666666666,345.95,0.0,95921.0,2002125.0,0.04790959605419242,74.0,6.0
2024-05-01,264303.0,230993.0,206989.0,173859.0,57314.0,57134.0,0.7831503993522586,0.7518828473685696,4.0,4.0,-0.021516761379412497,0.03784295301104318,310779.6666666667,242543.0,,34130.0,1153.0,426.0,5.0,0.6666666666666666,,0.0,9316.86,5895.679999999999,16294.899999999998,5480.826666666667,606.05,0.0,91840.0,2179187.0,0.04214415743118879,63.0,1.0
2024-06-01,248159.0,213131.33333333334,190450.0,159657.0,57709.0,53474.333333333336,0.7674515129412998,0.7494588464859002,4.0,4.0,-0.05262213535005711,-0.05258729314723648,284231.3333333333,226466.66666666666,,,1230.0,771.3333333333334,5.0,1.6666666666666667,,,10522.259999999998,5895.68,16230.98,6205.88,663.85,0.0,91840.0,2179187.0,0.04214415743118879,63.0,2.0
2024-07-01,225025.0,244144.33333333334,169476.0,189470.33333333334,55549.0,54674.0,0.7531429841128764,0.7769169130581431,4.0,4.0,-0.026594801295999115,-0.03511006863172961,245829.0,229422.88888888888,23337.0,23051.0,1296.0,437.3333333333333,5.0,0.6666666666666666,0.0555341303509448,0.0,11792.34,5895.68,16230.98,6616.973333333332,663.85,0.0,91840.0,2179187.0,0.04214415743118879,63.0,3.0
2024-08-01,152739.0,237596.0,120789.0,180696.66666666666,31950.0,56899.333333333336,0.7908196334924282,0.7595061045336712,4.0,4.0,-0.23784075088696277,-0.09202772866061903,208641.0,231623.88888888888,22567.0,28314.0,727.0,772.6666666666666,4.0,2.0,0.0322151814596534,0.0450307268489086,12504.8,6312.18,15312.6,6943.779999999999,1494.3,0.0,91840.0,2179187.0,0.04214415743118879,63.0,4.0
2024-09-01,235903.0,251727.4444444444,171630.0,192531.11111111112,64273.0,59196.333333333336,0.7275447959542694,0.7644593526593675,4.0,4.0,-0.029613084219792474,-0.08120242276120287,204555.66666666666,244489.25925925924,,25503.0,1230.0,905.3333333333334,5.0,2.0,,0.0410539936478061,13710.2,6654.200000000001,14079.32,7466.733333333333,2609.5,0.0,91840.0,2179187.0,0.04214415743118879,63.0,5.0
2024-10-01,218215.0,266104.22222222225,157910.0,206345.55555555553,60305.0,59758.666666666664,0.7236441124578971,0.7755504504084753,4.0,4.0,-0.003338722790094395,-0.034183722712693376,202285.66666666666,251809.22222222222,,,1166.0,941.6666666666666,5.0,2.0,,,13603.38,7084.093333333333,14297.4,7939.553333333332,3496.05,0.0,91840.0,2179187.0,0.04214415743118879,63.0,6.0
2024-11-01,234062.0,259726.66666666666,180673.0,197996.0,53389.0,61730.666666666664,0.7719023164802489,0.7620855234599043,4.0,4.0,0.023517167794861127,-0.07513357554946659,229393.33333333334,259186.11111111112,,28669.0,1041.0,1248.0,5.0,2.0,,0.02395630120952005,13597.5,7485.240000000001,13712.72,8727.9,4914.7,0.0,83540.0,2157069.0,0.038728478319423255,60.0,1.0
2024-12-01,255698.0,292524.1666666667,188379.0,230048.16666666666,67319.0,62476.0,0.7367245735203247,0.7849307631984092,4.0,4.0,-0.005259677105621474,-0.035669784740854915,235991.66666666666,272785.01851851854,,,1392.0,1219.3333333333333,6.0,2.3333333333333335,,,13671.98,7903.700000000001,13531.3,9472.693333333333,6197.35,0.0,83540.0,2157069.0,0.038728478319423255,60.0,2.0
2025-01-01,272667.0,340544.3333333333,207122.0,282238.6666666667,65545.0,58305.666666666664,0.7596152082943664,0.8285672566948449,4.0,4.0,0.13818494508751344,0.16050684015974262,254142.33333333334,297598.3888888889,,25117.0,1054.0,358.6666666666667,5.0,1.3333333333333333,,0.0428395110881076,13501.46,8255.193333333335,12320.58,9472.693333333333,8335.95,0.0,83540.0,2157069.0,0.038728478319423255,60.0,3.0
2025-02-01,279654.0,290277.6666666667,219218.0,236252.66666666666,60436.0,54025.0,0.7838900927574789,0.8149133411478743,4.0,4.0,-0.014204209973438742,0.15933974531868403,269339.6666666667,307782.05555555556,13850.0,22450.0,1533.0,670.0,6.0,2.6666666666666665,0.1106859205776173,0.0503786191536748,13748.419999999998,8491.699999999999,11290.34,9748.113333333333,10356.4,115.31666666666666,83540.0,2157069.0,0.038728478319423255,60.0,4.0
2025-03-01,313127.5,272142.0,253269.0,208166.0,59858.5,63976.0,0.8064274050562966,0.7653926986807941,4.0,4.0,-0.04477218093738944,0.05069416563358179,288482.8333333333,300988.0,27617.0,41467.0,1697.0,753.6666666666666,7.0,2.3333333333333335,0.0614476590505847,0.0267200424433887,14357.0,8768.386666666667,12301.78,10095.286666666665,10356.4,202.01666666666665,83540.0,2157069.0,0.038728478319423255,60.0,5.0
2025-04-01,346601.0,255695.66666666666,287320.0,196472.0,59281.0,59223.666666666664,0.8289647173551143,0.768273893804507,4.0,4.0,0.018719579580991796,0.11388826673260732,313127.5,272705.11111111107,27617.0,,1627.0,830.6666666666666,7.0,2.3333333333333335,0.0589129883767244,,14843.079999999998,9147.973333333333,12538.66,10490.713333333333,11103.55,221.28333333333333,83540.0,2157069.0,0.038728478319423255,60.0,6.0
