cohort,rule_id,score_mode,decay,individual_weight,eligible,total_under_50,total_under_70,total_under_100,mean_median_wmape,mean_portfolio_wmape,mean_abs_bias
occasional_c,wmape__d0.50__i1.00,wmape,0.5,1.0,True,12,26,66,99.88881488818498,98.44783238403743,38.57276797456011
occasional_c,wmape__d1.00__i1.00,wmape,1.0,1.0,True,12,26,64,100.39951272784438,99.05017667602237,38.688745861119685
occasional_c,wmape__d0.75__i1.00,wmape,0.75,1.0,True,12,25,65,100.16272933831013,99.20145680603966,38.130234087782725
occasional_c,rank__d0.50__i0.75,rank,0.5,0.75,True,10,25,65,98.921012842939,98.65315278463063,41.030384305822615
occasional_c,rank__d0.75__i0.75,rank,0.75,0.75,True,9,25,68,98.74948135444096,98.5331916643996,41.70038150613736
occasional_c,rank__d1.00__i0.75,rank,1.0,0.75,True,9,25,68,98.74948135444096,98.60421529353587,41.401047374717976
occasional_c,rank__d1.00__i1.00,rank,1.0,1.0,True,11,24,66,99.764569538335,100.30950387545613,37.12956507628593
occasional_c,rank__d0.50__i1.00,rank,0.5,1.0,True,11,24,63,100.742498186619,100.79551539103258,37.55283499953816
occasional_c,wmape__d0.75__i0.75,wmape,0.75,0.75,True,10,24,69,99.28934433098351,98.22231261362069,41.43161756298606
occasional_c,wmape__d0.50__i0.75,wmape,0.5,0.75,True,10,24,68,99.41305707075766,98.40157693025567,41.42649288169359
occasional_c,wmape__d1.00__i0.75,wmape,1.0,0.75,True,10,24,68,99.45017853569809,98.3343884437098,40.68051096334868
occasional_c,rank__d0.75__i1.00,rank,0.75,1.0,True,10,24,66,99.94508390802713,100.41644803003936,37.66806029609514
occasional_c,wmape__d0.75__i0.50,wmape,0.75,0.5,True,9,24,75,98.36060617651259,96.46664838015501,42.635460031548746
occasional_c,wmape__d0.50__i0.50,wmape,0.5,0.5,True,9,24,75,98.36060617651259,96.87758535771647,43.78616275286188
occasional_c,wmape__d1.00__i0.50,wmape,1.0,0.5,True,9,23,75,98.36060617651259,96.54465547905079,42.49158234907736
occasional_c,wmape__d0.50__i0.25,wmape,0.5,0.25,True,8,22,77,97.7353990876249,98.53923339788497,41.95822125770947
occasional_c,wmape__d0.75__i0.25,wmape,0.75,0.25,True,8,22,75,98.18933717468312,99.17867473023634,41.33527294194804
occasional_c,wmape__d1.00__i0.25,wmape,1.0,0.25,True,8,22,75,99.53345045568173,99.20533816724574,41.0886936092371
occasional_c,rank__d0.75__i0.25,rank,0.75,0.25,True,7,22,70,98.36007356643677,99.48769363327595,44.19428841548396
occasional_c,rank__d0.50__i0.25,rank,0.5,0.25,True,7,22,67,98.36007356643677,99.56120911334698,44.560780427352995
occasional_c,rank__d1.00__i0.25,rank,1.0,0.25,True,7,21,71,98.36007356643677,99.23543803574645,43.87854755211514
occasional_c,rank__d1.00__i0.50,rank,1.0,0.5,True,6,21,70,98.75987420479456,98.62219424626842,43.82815931052835
occasional_c,rank__d0.75__i0.50,rank,0.75,0.5,True,6,21,68,98.75987420479456,99.51112746248725,43.79475015840645
occasional_c,rank__d0.50__i0.50,rank,0.5,0.5,True,6,21,67,98.76040681487038,99.58902968692006,43.62782209990108
occasional_c,rank__d0.50__i0.00,rank,0.5,0.0,False,8,20,71,98.36007356643677,113.39920389560476,34.27894899062915
occasional_c,rank__d0.75__i0.00,rank,0.75,0.0,False,8,20,71,98.36007356643677,113.39920389560476,34.27894899062915
occasional_c,rank__d1.00__i0.00,rank,1.0,0.0,False,6,17,71,108.08452531695366,118.7088188452546,14.404393890039376
occasional_c,wmape__d0.50__i0.00,wmape,0.5,0.0,False,6,17,70,110.04137460029486,118.90055310696332,12.87606155863018
occasional_c,wmape__d0.75__i0.00,wmape,0.75,0.0,False,6,17,70,110.04137460029486,118.90055310696332,12.87606155863018
occasional_c,wmape__d1.00__i0.00,wmape,1.0,0.0,False,6,17,70,110.04137460029486,118.90055310696332,12.87606155863018
