segment,sku_id,actual_total,forecast_total,absolute_error,signed_error,bias_pct,wmape,actual_volume_quartile
occasional,3641075F01000,10.0,5.121195673942566,11.846104741096497,-4.878804326057434,-48.78804326057434,118.46104741096497,Q4
occasional,3641275F00000,1.0,5.311648607254028,6.311648607254028,4.311648607254028,431.16486072540283,631.1648607254028,Q1
occasional,38330M68K01000,3.0,3.5246883630752572,2.5246883630752572,0.5246883630752572,17.489612102508573,84.15627876917524,Q2
occasional,3834062R30000,10.0,1.1624701023101807,11.16247010231018,-8.83752989768982,-88.3752989768982,111.6247010231018,Q4
occasional,38452M68K00000,9.0,5.182015657424927,14.182015657424927,-3.8179843425750732,-42.422048250834145,157.57795174916586,Q4
occasional,38480M68P01000,1.0,5.088625192642212,4.088625192642212,4.088625192642212,408.8625192642212,408.8625192642212,Q1
occasional,3882151K02000,9.0,6.75576909383138,15.755769093831379,-2.24423090616862,-24.93589895742911,175.06410104257088,Q4
occasional,3882165J00000,5.0,1.9022393822669978,6.902239382266998,-3.097760617733002,-61.95521235466005,138.04478764533997,Q3
occasional,3910268L01000,1.0,12.320493221282959,13.320493221282959,11.320493221282959,1132.049322128296,1332.049322128296,Q1
occasional,39322M56R00000,4.0,7.022001504898071,7.022001504898071,3.0220015048980713,75.55003762245178,175.55003762245178,Q3
occasional,3F11579S10ZWG,8.0,1.4670177698135376,8.117183089256287,-6.532982230186462,-81.66227787733078,101.46478861570358,Q4
occasional,41710M76M00000,15.0,4.0514929095904035,15.033023436864216,-10.948507090409596,-72.99004726939731,100.22015624576144,Q4
occasional,4311052R71000,4.0,4.2720867334751205,4.335071764384125,0.27208673347512047,6.802168336878012,108.37679410960313,Q3
occasional,4321057M100BK,0.0,6.042073369026184,6.042073369026184,6.042073369026184,,,Q1
occasional,4321071L91QC8,0.0,5.826152761777242,5.826152761777242,5.826152761777242,,,Q1
occasional,4321079K510BK,3.0,4.444724893569946,7.444724893569946,1.444724893569946,48.157496452331536,248.15749645233154,Q2
occasional,4325065DA1C48,8.0,3.3735827207565308,11.37358272075653,-4.626417279243469,-57.830215990543365,142.16978400945663,Q4
occasional,4325079P00ZH1,9.0,4.0184026658535,7.379727751016617,-4.9815973341465,-55.35108149051666,81.99697501129575,Q4
occasional,4325251K20DB7,16.0,2.55700843334198,15.995300126075744,-13.44299156665802,-84.01869729161263,99.9706257879734,Q4
occasional,4325283S00CZ2,12.0,3.63642845632829,12.007887886095304,-8.36357154367171,-69.69642953059758,100.06573238412754,Q4
occasional,44119M53M00000,0.0,2.7408769130706787,2.7408769130706787,2.7408769130706787,,,Q1
occasional,4982162A51000,46.0,2.410669684410095,43.589330315589905,-43.589330315589905,-94.75941372954327,94.75941372954327,Q4
occasional,57711M79G10000,2.0,2.8309730291366577,2.8309730291366577,0.8309730291366577,41.548651456832886,141.54865145683289,Q2
occasional,58230M79G01000,3.0,2.018454841205052,5.0184548412050525,-0.981545158794948,-32.7181719598316,167.28182804016842,Q2
occasional,61513M56R01000,3.0,3.400984764099121,4.400984764099121,0.4009847640991211,13.366158803304037,146.69949213663736,Q2
occasional,65500M79M00000,0.0,2.579448848962784,2.579448848962784,2.579448848962784,,,Q1
occasional,68001M74L21000,13.0,2.6829559803009033,10.317044019699097,-10.317044019699097,-79.36187707460843,79.36187707460843,Q4
occasional,6800280820000,2.0,6.476951837539673,6.476951837539673,4.476951837539673,223.84759187698364,323.84759187698364,Q2
occasional,69330M74L00000,6.0,1.493335247039795,6.111001491546631,-4.506664752960205,-75.11107921600342,101.85002485911052,Q3
occasional,69410M74L00000,7.0,6.0,3.0,-1.0,-14.285714285714286,42.857142857142854,Q3
