sku_id,period_start,actual_units,segment,record_type,period_months,forecast_units,absolute_error,reliability_tier,planning_action,review_cadence,inventory_treatment,owner,block_number,champion_source,individual_rolling_3m_wmape_percent,category_wmape_percent,overall_wmape_percent,selected_model_key,last_actual_month,forecast_start,gap_months
0911605023000,2026-08-01,,developing,future_forecast,3,0.4024359881877899,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0911605023000,2026-11-01,,developing,future_forecast,3,0.39148861169815063,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0911605023000,2027-02-01,,developing,future_forecast,3,0.41042017936706543,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0911605023000,2027-05-01,,developing,future_forecast,3,0.5605093836784363,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0911605023000,2027-08-01,,developing,future_forecast,3,0.3583364486694336,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0911912006XC0,2026-05-01,,rare,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0911912006XC0,2026-08-01,,rare,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0911912006XC0,2026-11-01,,rare,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0911912006XC0,2027-02-01,,rare,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0911912006XC0,2027-05-01,,rare,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0911912006XC0,2027-08-01,,rare,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
