sku_id,block_count,actual_total,forecast_total,absolute_error,mean_block_absolute_error,block_naive_scale,block_wmape_percent,block_mase,tournament_cohort,abc_units_tier
3641063J02000,6,4.0,11.143339395523071,7.143339395523071,1.190556565920512,2.8461538461538463,178.58348488807678,0.4183036582963961,recurring_a,A
36410M67K10000,6,31.0,11.089205265045166,19.910794734954834,3.318465789159139,6.461538461538462,64.22837011275753,0.5135720864174859,recurring_a,A
3658354P01000,6,19.0,11.763980865478516,9.040194511413574,1.5066990852355957,5.230769230769231,47.57997111270302,0.28804541335386386,recurring_a,A
37019M79MK0000,6,5.0,4.330524206161499,6.439220428466797,1.073203404744466,3.888888888888889,128.78440856933594,0.2759665897914341,recurring_b,B
37145M55B21000,6,14.0,12.424898982048035,9.211345791816711,1.5352242986361186,4.769230769230769,65.79532708440509,0.3219018690688636,recurring_a,A
37145M56R20000,6,3.0,3.628955364227295,5.204965829849243,0.8674943049748739,2.4615384615384617,173.49886099497476,0.3524195613960425,recurring_b,B
37145M66L00000,6,10.0,7.573132395744324,5.570099472999573,0.9283499121665955,1.7692307692307692,55.70099472999573,0.5247195155724236,recurring_a,A
37736M58R00000,6,10.0,8.849530458450317,3.466351270675659,0.5777252117792765,2.583333333333333,34.66351270675659,0.22363556585004254,recurring_a,A
3773773R00Z2S,6,7.0,8.917348146438599,3.7044317722320557,0.6174052953720093,5.0,52.92045388902937,0.12348105907440185,recurring_a,A
38315M68K00000,6,8.0,3.2429187297821045,5.947030663490295,0.9911717772483826,2.3846153846153846,74.33788329362869,0.4156526807815798,recurring_b,B
38340M51K42000,6,35.0,13.490988969802856,21.509011030197144,3.584835171699524,3.1538461538461537,61.454317229134695,1.1366550544413125,recurring_a,A
3845062R00000,6,9.0,5.9564129114151,7.3835238218307495,1.2305873036384583,1.3846153846153846,82.03915357589722,0.8887574970722198,recurring_b,B
3845071L10000,6,15.0,11.585469245910645,8.262467622756958,1.3770779371261597,3.3846153846153846,55.08311748504639,0.40686393596909265,recurring_a,A
38450M79M00000,6,16.0,9.153312087059021,12.011488318443298,2.0019147197405496,3.3076923076923075,75.07180199027061,0.6052300315494685,recurring_a,A
38452M65L00000,6,17.0,13.074096441268923,6.397906541824341,1.0663177569707234,4.307692307692308,37.634744363672596,0.24753805072534646,recurring_a,A
38821M67P00000,6,16.0,8.160238146781921,9.669835686683655,1.6116392811139424,2.3846153846153846,60.43647304177284,0.6758487307897177,recurring_a,A
3925061J00000,6,7.0,8.11912739276886,3.5360480546951294,0.5893413424491882,2.6153846153846154,50.51497220993042,0.22533639564233668,recurring_a,A
39321M56R00000,6,3.0,3.794773519039154,2.9517293572425842,0.49195489287376404,2.3076923076923075,98.39097857475281,0.2131804535786311,recurring_b,B
39321M67P00000,6,7.0,6.0446688532829285,3.1281030774116516,0.5213505129019419,4.0,44.68718682016645,0.13033762822548547,recurring_b,B
39322M67P00000,6,7.0,6.2626320123672485,3.0766419172286987,0.5127736528714498,3.769230769230769,43.95202738898141,0.13604198953732344,recurring_b,B
39322M67P10000,6,8.0,6.364950597286224,7.348820626735687,1.2248034377892811,6.307692307692308,91.86025783419609,0.19417615477147138,recurring_b,B
4171080J00000,6,21.0,5.035602569580078,15.964397430419922,2.660732905069987,14.076923076923077,76.02094014485677,0.18901381292846903,recurring_b,B
41710M68K00000,6,16.0,20.88034415245056,11.596673250198364,1.9327788750330608,23.307692307692307,72.47920781373978,0.08292450618953727,recurring_a,A
41710M82000000,6,22.0,10.800731301307678,15.58919370174408,2.59819895029068,3.3846153846153846,70.859971371564,0.76764968985861,recurring_a,A
4321052R5027N,6,8.0,6.261680006980896,5.779678463935852,0.9632797439893087,4.615384615384615,72.24598079919815,0.20871061119768358,recurring_b,B
4321052S0039M,6,51.0,11.330870509147644,43.68320691585541,7.280534485975902,3.5,85.65334689383413,2.080152710278829,recurring_a,A
4321053R100CE,6,20.0,11.247640490531921,9.110386490821838,1.5183977484703064,4.615384615384615,45.55193245410919,0.32898617883523307,recurring_a,A
4321061J01ZBP,6,5.0,4.004048705101013,3.7293097972869873,0.6215516328811646,3.8461538461538463,74.58619594573975,0.1616034245491028,recurring_b,B
4321068LA0ZA8,6,20.0,10.785168409347534,10.385841369628906,1.7309735616048176,4.0,51.92920684814453,0.4327433904012044,recurring_a,A
43210M55R6027N,6,17.0,14.720498085021973,12.089122772216797,2.0148537953694663,8.846153846153847,71.11248689539292,0.2277660812156788,recurring_a,A
43210M55RH1QC8,6,26.0,5.235239148139954,20.764760851860046,3.4607934753100076,4.875,79.86446481484633,0.7099063539097451,recurring_b,B
43210M68K1109L,6,17.0,12.245341062545776,6.9145543575286865,1.152425726254781,4.846153846153846,40.67384916193345,0.23780213398908182,recurring_a,A
43210M76M5127N,6,4.0,4.620948612689972,2.5263327956199646,0.42105546593666077,2.1666666666666665,63.158319890499115,0.19433329197076651,recurring_b,B
43210M79G5339M,6,37.0,13.640789031982422,25.37122106552124,4.22853684425354,6.076923076923077,68.570867744652,0.6958351769024813,recurring_a,A
43210M83P0027N,6,5.0,4.052176415920258,3.500005304813385,0.5833342174688975,3.1538461538461537,70.0001060962677,0.18495962992916262,recurring_b,B
43250M68K1027N,6,1.0,4.789984703063965,4.169240593910217,0.6948734323183695,5.0,416.92405939102173,0.1389746864636739,recurring_b,B
43250M68K2027N,6,13.0,9.667007684707642,8.808238744735718,1.4680397907892864,4.307692307692308,67.75568265181322,0.34079495143322713,recurring_a,A
43250M74L0027N,6,19.0,13.941755771636963,8.080121517181396,1.3466869195302327,6.384615384615385,42.526955353586295,0.2109268669143738,recurring_a,A
43250M74L1027N,6,9.0,3.6297515630722046,5.370248436927795,0.8950414061546326,7.0,59.6694270769755,0.12786305802209036,recurring_b,B
43250M79G6027N,6,14.0,8.748564720153809,10.930068016052246,1.8216780026753743,4.769230769230769,78.07191440037319,0.38196474249644946,recurring_a,A
43250M79M0027N,6,8.0,11.478633522987366,11.571010708808899,1.9285017848014832,1.3846153846153846,144.63763386011124,1.392806844578849,recurring_a,A
43402M74L21000,6,11.0,8.20078182220459,7.225581169128418,1.2042635281880696,4.0,65.68710153753108,0.3010658820470174,recurring_a,A
4342386G01000,6,26.0,15.038687229156494,19.5833683013916,3.2638947168986,6.0,75.32064731304462,0.5439824528164333,recurring_a,A
48150M69R00C48,6,17.0,12.117147445678711,6.634789943695068,1.105798323949178,2.583333333333333,39.02817613938276,0.4280509641093593,recurring_a,A
5730073R02000,6,18.0,13.4407479763031,12.272458791732788,2.0454097986221313,2.4615384615384617,68.18032662073772,0.8309477306902409,recurring_a,A
