sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
0940907340000,28,27,1537.0,1537.0,112055.0,1.037037037037037,0.29149572380032995,Smooth,0.0357142857142857
0940907L04000,26,4,50.0,50.0,700.0,6.5,0.16,Intermittent,0.8461538461538461
0940908010000,25,3,30.0,30.0,300.0,8.333333333333334,0.0,Intermittent,0.88
0940908322000,21,3,6.0,6.0,18.0,7.0,0.75,Lumpy,0.8571428571428572
0940908327000,28,15,124.0,124.0,1414.0,1.8666666666666667,0.4065240820573807,Intermittent,0.4642857142857143
0940908342000,21,3,11.0,11.0,53.0,7.0,0.47107438016528924,Intermittent,0.8571428571428572
0940908352000,11,3,18.0,18.0,146.0,3.6666666666666665,0.5277777777777778,Lumpy,0.7272727272727273
0940909304000,28,4,47.0,47.0,841.0,7.0,0.6971480307831598,Lumpy,0.8571428571428572
0940909309000,19,3,5.0,5.0,9.0,6.333333333333333,0.11999999999999988,Intermittent,0.8421052631578947
0940910313000,19,2,2.0,2.0,2.0,9.5,0.0,Intermittent,0.8947368421052632
0940910318000,13,1,6.0,6.0,36.0,13.0,,Intermittent,0.9230769230769231
0940915304000,21,6,31.0,31.0,227.0,3.5,0.5007284079084288,Lumpy,0.7142857142857143
09409M06314000,28,1,3.0,3.0,9.0,28.0,,Intermittent,0.9642857142857143
09409M06338000,3,1,10.0,10.0,100.0,3.0,,Intermittent,0.6666666666666667
09409M06L026GS,18,3,14.0,14.0,74.0,6.0,0.19897959183673478,Intermittent,0.8333333333333334
09409M06L05000,21,4,25.0,25.0,265.0,5.25,0.928,Lumpy,0.8095238095238095
09409M07308P4Z,20,1,4.0,4.0,16.0,20.0,,Intermittent,0.95
09409M07308R8J,21,2,2.0,2.0,2.0,10.5,0.0,Intermittent,0.9047619047619048
09409M07346000,28,28,10211.0,10211.0,4131619.0,1.0,0.1135938081948317,Smooth,0.0
09409M07355000,28,23,1052.0,1052.0,95836.0,1.2173913043478262,1.0367826036098673,Erratic,0.1785714285714286
09409M07L01000,28,28,12745.0,12745.0,7201981.0,1.0,0.2503958244227192,Smooth,0.0
09409M07L025PK,24,3,26.0,26.0,426.0,8.0,1.3357988165680474,Lumpy,0.875
09409M08006000,28,27,3193.0,3193.0,658981.0,1.037037037037037,0.7738348971700899,Erratic,0.0357142857142857
09409M08308R8J,2,1,15.0,15.0,225.0,2.0,,Intermittent,0.5
