sku_id,top_expert,top_expert_weight,effective_experts,cohort
17700M67L00000,candidate_12,0.5163332956214872,1.9978680626366716,recurring_a
17700M67P00000,candidate_12,0.5121066432702615,1.9988281205630924,recurring_a
17760M67P00000,candidate_07,0.5043351266349015,1.999849664717673,recurring_a
1781254G00000,candidate_11,0.501202475822701,1.9999884324820705,recurring_a
17861M68P00000,synthetic_mean,0.5101175099427525,1.9991814231117093,recurring_a
17878M74L00000,candidate_06,0.5030302843037793,1.9999265417144652,recurring_a
17920M76M00000,synthetic_median,0.5028481516238906,1.9999351063642787,recurring_a
17931M71P00000,candidate_01,0.5000150195420335,1.9999999981953067,recurring_a
27431M79F00000,candidate_07,0.5210024396261109,1.9964773955561004,recurring_a
2811380J015PK,candidate_11,0.506007345761308,1.999711336044687,recurring_a
33690M60M00000,candidate_08,0.5011280466307988,1.9999898201382051,recurring_a
3512052R21000,candidate_09,0.5043705232112924,1.9998471998897054,recurring_a
3512052S10000,candidate_12,0.5771215361698981,1.953523859656517,recurring_a
35121M66L10000,candidate_08,0.5121409829081703,1.9988214671514948,recurring_a
3515365J00000,candidate_12,0.5226264714499856,1.9959127123832467,recurring_a
35153M59K20000,candidate_11,0.500734906060834,1.9999956793139877,recurring_a
35153M75L00000,candidate_12,0.543771875167361,1.9847887610935955,recurring_a
3532077R10000,candidate_01,0.500076871923751,1.9999999527256602,recurring_a
35321M60M10000,candidate_12,0.5040641553728717,1.999867869858605,recurring_a
3550065P02000,candidate_11,0.5075369113391404,1.9995456629742454,recurring_a
3552686R20000,candidate_10,0.5052895895109141,1.9997761869913826,recurring_a
35651M79M00000,candidate_07,0.5045298184481454,1.9998358594307837,recurring_a
35671M79G30000,candidate_11,0.5035173861176793,1.999901028857079,recurring_a
35671M79G40000,candidate_11,0.5001154970629339,1.9999998932834329,recurring_a
3570186R00000,candidate_08,0.5028123444917195,1.9999367277494313,recurring_a
3591075F31000,candidate_07,0.5012033021282705,1.9999884165789932,recurring_a
35910M74L01000,candidate_11,0.5012839880717933,1.9999868110840264,recurring_a
3627479P01000,candidate_12,0.53206807108055,1.9918068127602662,recurring_a
3641054G01000,candidate_10,0.5080584226094984,1.9994806295082612,recurring_a
3641063J02000,candidate_11,0.5114629913693306,1.9989493508528442,recurring_a
36410M67K10000,candidate_08,0.5227744644017995,1.9958591811469162,recurring_a
3658354P01000,candidate_03,0.5000114757849488,1.9999999989464512,recurring_a
37145M55B21000,candidate_07,0.5080687446348727,1.9994792984804781,recurring_a
37145M66L00000,candidate_09,0.5113211011628547,1.9989751867380081,recurring_a
37736M58R00000,candidate_08,0.524813921025079,1.9950862567566974,recurring_a
3773773R00Z2S,candidate_09,0.5104641515694653,1.9991243957647398,recurring_a
38340M51K42000,candidate_12,0.5213906921813877,1.9963461936715248,recurring_a
3845071L10000,candidate_08,0.503087159763305,1.9999237584632636,recurring_a
38450M79M00000,candidate_03,0.5001089171716008,1.9999999050964017,recurring_a
38452M65L00000,candidate_12,0.5127688870665602,1.9986964943022705,recurring_a
38821M67P00000,candidate_09,0.5037259496766467,1.9998889445590549,recurring_a
3925061J00000,candidate_07,0.5008950504757401,1.9999935910977038,recurring_a
41710M68K00000,candidate_12,0.5088999751228506,1.9993665242518355,recurring_a
41710M82000000,candidate_11,0.5102617626977344,1.9991579245055924,recurring_a
4321052S0039M,synthetic_median,0.5389052766598313,1.9879639078897104,recurring_a
4321053R100CE,candidate_09,0.5099918098937554,1.9992016287060084,recurring_a
4321068LA0ZA8,candidate_06,0.5049895031719067,1.9998008586953844,recurring_a
43210M55R6027N,candidate_01,0.5007495060543888,1.999995505935494,recurring_a
43210M68K1109L,candidate_08,0.501222083549859,1.9999880521657527,recurring_a
43210M79G5339M,candidate_12,0.5104185064704201,1.9991320146462492,recurring_a
43250M68K2027N,candidate_09,0.5024588558282475,1.9999516333938192,recurring_a
43250M74L0027N,candidate_07,0.5059824308818478,1.9997137251484627,recurring_a
43250M79G6027N,candidate_09,0.505020405750805,1.999798384535225,recurring_a
43250M79M0027N,candidate_07,0.5089220744856753,1.999363375404939,recurring_a
43402M74L21000,candidate_08,0.5274266851178894,1.9940002680942437,recurring_a
4342386G01000,candidate_12,0.5306192856124339,1.9925276971394392,recurring_a
48150M69R00C48,candidate_12,0.5563901781904381,1.9748806852617702,recurring_a
5730073R02000,candidate_12,0.5507262952617956,1.9796244615917666,recurring_a
5730079P02000,candidate_12,0.5213026889385406,1.9963761416456287,recurring_a
57300M66L00000,candidate_11,0.5152159306318304,1.9981495173686554,recurring_a
57300M68K10000,candidate_11,0.5091245810539029,1.999334157911394,recurring_a
57410M67P00000,candidate_01,0.5003718143626923,1.999998894033249,recurring_a
57611M68K10000,synthetic_median,0.5054448959912111,1.9997628529838472,recurring_a
58110M74L00000,candidate_08,0.51188262638837,1.9988710631300535,recurring_a
5823065J00000,candidate_10,0.5106852004444349,1.9990870288801612,recurring_a
58240M53M00000,candidate_09,0.5096216213823189,1.9992596693620084,recurring_a
58240M67P00000,candidate_11,0.5057205977688691,1.9997382323549693,recurring_a
58251M53M00000,candidate_04,0.5100022980788238,1.9991999524312691,recurring_a
6570079P11000,candidate_09,0.505448805074699,1.9997625123895943,recurring_a
65700M72P00000,candidate_04,0.5005650859233814,1.9999974454264569,recurring_a
6800153R00000,candidate_12,0.5117545578689495,1.9988952535240943,recurring_a
6800164J01000,candidate_07,0.5009869480015815,1.999992207499499,recurring_a
6800261M01000,candidate_11,0.5057114327762131,1.9997390703317306,recurring_a
