sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
0928340027000,64,47,213.0,213.0,1525.0,1.3617021276595744,0.5924280800814958,Lumpy,0.265625
0928344015000,64,37,63.0,63.0,143.0,1.7297297297297298,0.3423336412754402,Intermittent,0.421875
0928345012000,64,45,146.0,146.0,820.0,1.4222222222222223,0.7477097869291526,Lumpy,0.296875
0928348007000,64,51,678.0,678.0,14864.0,1.2549019607843137,0.6620800375910406,Erratic,0.203125
0928356002000,64,8,18.0,18.0,52.0,8.0,0.32451499118165783,Intermittent,0.875
09283M40027000,47,16,24.0,24.0,42.0,2.9375,0.17777777777777778,Intermittent,0.6595744680851063
0928906003000,64,48,2171.0,2171.0,172009.0,1.3333333333333333,0.7677472979958361,Lumpy,0.25
0928948004000,60,13,33.0,33.0,131.0,4.615384615384615,0.6108050198959291,Lumpy,0.7833333333333333
0930508011000,55,4,27.0,27.0,427.0,13.75,1.790580704160951,Lumpy,0.9272727272727272
0930514006000,53,4,4.0,4.0,4.0,13.25,0.0,Intermittent,0.9245283018867925
0930612009000,64,9,20.0,20.0,48.0,7.111111111111111,0.09000000000000002,Intermittent,0.859375
0930708002000,61,8,9.0,9.0,11.0,7.625,0.09876543209876543,Intermittent,0.8688524590163934
0931912047000,49,7,140.0,140.0,6736.0,7.0,1.64,Lumpy,0.8571428571428572
0932010024000,64,22,177.0,177.0,2149.0,2.909090909090909,0.5333229975574131,Lumpy,0.65625
0932010040000,11,3,30.0,30.0,300.0,3.6666666666666665,0.0,Intermittent,0.7272727272727273
0932014018000,63,10,21.0,21.0,49.0,6.3,0.12345679012345676,Intermittent,0.8412698412698413
09321M10023000,63,22,48.0,48.0,136.0,2.8636363636363638,0.31283068783068785,Intermittent,0.6507936507936508
0938019004000,63,22,50.0,50.0,310.0,2.8636363636363638,1.810285714285714,Lumpy,0.6507936507936508
0938020011000,60,3,3.0,3.0,3.0,20.0,0.0,Intermittent,0.95
0938025011000,60,3,4.0,4.0,6.0,20.0,0.18750000000000008,Intermittent,0.95
0938026004000,31,5,15.0,15.0,61.0,6.2,0.4444444444444444,Intermittent,0.8387096774193549
0938028007000,36,3,3.0,3.0,3.0,12.0,0.0,Intermittent,0.9166666666666666
0938168001000,60,9,15.0,15.0,39.0,6.666666666666667,0.6299999999999999,Lumpy,0.85
0938184004000,54,4,6.0,6.0,10.0,13.5,0.14814814814814814,Intermittent,0.9259259259259259
0938313003000,52,4,9.0,9.0,25.0,13.0,0.3127572016460905,Intermittent,0.9230769230769231
0940121405000,40,4,7.0,7.0,13.0,10.0,0.08163265306122448,Intermittent,0.9
09401M21410000,11,3,7.0,7.0,19.0,3.6666666666666665,0.24489795918367352,Intermittent,0.7272727272727273
09403073075PK,64,19,30.0,30.0,68.0,3.3684210526315788,0.45975308641975293,Intermittent,0.703125
0940307333000,64,27,75.0,75.0,711.0,2.3703703703703702,2.5056,Lumpy,0.578125
0940307407000,36,12,17.0,17.0,27.0,3.0,0.13211701793016675,Intermittent,0.6666666666666667
0940308406000,54,5,6.0,6.0,8.0,10.8,0.13888888888888887,Intermittent,0.9074074074074074
09403M07311000,64,46,121.0,121.0,547.0,1.391304347826087,0.7345673109760261,Lumpy,0.28125
09409063095ES,55,6,89.0,89.0,2361.0,9.166666666666666,0.9460926650675419,Lumpy,0.8909090909090909
09409063145PK,62,14,255.0,255.0,10849.0,4.428571428571429,1.43856386596871,Lumpy,0.7741935483870968
0940906322000,18,3,7.0,7.0,27.0,6.0,0.9795918367346937,Lumpy,0.8333333333333334
09409063225PK,62,9,200.0,200.0,6290.0,6.888888888888889,0.46715625000000005,Intermittent,0.8548387096774194
0940906324000,54,8,27.0,27.0,111.0,6.75,0.24926513815402707,Intermittent,0.8518518518518519
09409073085PK,64,5,13.0,13.0,43.0,12.8,0.3402366863905326,Intermittent,0.921875
0940907308P4Z,11,1,10.0,10.0,100.0,11.0,,Intermittent,0.9090909090909091
09409073255PK,61,6,49.0,49.0,615.0,10.166666666666666,0.6442315701790922,Lumpy,0.9016393442622951
0940907332000,64,40,2502.0,2502.0,454918.0,1.6,1.9557153064160413,Lumpy,0.375
0940907340000,64,63,11409.0,11409.0,3228163.0,1.0158730158730158,0.5715024587011975,Erratic,0.015625
0940907L04000,64,16,180.0,180.0,2946.0,4.0,0.4851358024691358,Intermittent,0.75
0940908010000,64,17,164.0,164.0,1706.0,3.764705882352941,0.08319545657346826,Intermittent,0.734375
0940908322000,48,5,25.0,25.0,239.0,9.6,1.14,Lumpy,0.8958333333333334
0940908327000,64,48,1469.0,1469.0,84187.0,1.3333333333333333,0.8911556552394458,Lumpy,0.25
0940908342000,61,8,33.0,33.0,187.0,7.625,0.42712842712842713,Intermittent,0.8688524590163934
0940908352000,11,3,18.0,18.0,146.0,3.6666666666666665,0.5277777777777778,Lumpy,0.7272727272727273
0940909304000,64,17,189.0,189.0,3055.0,3.764705882352941,0.4822758321435572,Intermittent,0.734375
0940909309000,57,9,38.0,38.0,264.0,6.333333333333333,0.7261080332409972,Lumpy,0.8421052631578947
0940910313000,58,6,38.0,38.0,528.0,9.666666666666666,1.4326869806094187,Lumpy,0.896551724137931
0940910318000,64,9,143.0,143.0,5745.0,7.111111111111111,1.7195461880776564,Lumpy,0.859375
0940915304000,48,11,51.0,51.0,357.0,4.363636363636363,0.5607843137254901,Lumpy,0.7708333333333334
09409M06314000,28,1,3.0,3.0,9.0,28.0,,Intermittent,0.9642857142857143
09409M06338000,3,1,10.0,10.0,100.0,3.0,,Intermittent,0.6666666666666667
09409M06L026GS,58,5,17.0,17.0,79.0,11.6,0.4584775086505191,Intermittent,0.9137931034482758
09409M06L05000,64,11,171.0,171.0,5815.0,5.818181818181818,1.3062617557539071,Lumpy,0.828125
09409M07308P4Z,56,4,28.0,28.0,424.0,14.0,1.5510204081632653,Lumpy,0.9285714285714286
