sku_id,actual_total,forecast_total,absolute_error,bias,mean_rolling_3m_wmape_percent,actual_positive_months,forecast_positive_months,model_key,model,selection_score
68002M53M00000,121.0,165.35803658165077,118.90638368085035,44.35803658165077,104.43638852883379,86,162,xgb_d2_full_log,XGB depth2 full-weight log-size,104.43638852883379
68002M74L31000,213.0,245.23405270453407,164.57370624501212,32.23405270453407,93.83538922858047,115,162,xgb_d2_full_log,XGB depth2 full-weight log-size,93.83538922858047
68002M75T00000,30.0,1.2221280634403229,29.73166114091873,-28.777871936559677,98.6651989320914,15,5,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,98.6651989320914
68002M79G01000,25.0,9.837649347890604,34.63228038202642,-15.162350652109396,100.2881556022458,19,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.2881556022458
68003M74L31000,124.0,103.97391875080032,130.4774465179651,-20.02608124919968,107.74555145416933,80,108,xgb_d2_none_log,XGB depth2 unweighted log-size,107.74555145416933
6910077R14000,26.0,2.482589752972126,28.396502749621867,-23.517410247027875,100.24637800109174,10,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.24637800109174
69100M66L01000,17.0,16.924972933798436,32.08977428168668,-0.07502706620156263,107.6221902336146,11,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,107.6221902336146
69100M66L21000,128.0,48.79683943962765,124.01921718112533,-79.20316056037235,95.7133590508367,82,72,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,95.7133590508367
6932068LA0000,90.0,47.49146642110976,92.84261430918934,-42.50853357889024,108.36313802967095,69,57,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,108.36313802967095
69330M74L00000,42.0,18.556307859146603,54.31154857283037,-23.443692140853397,106.58349142963372,38,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,106.58349142963372
69410M74L00000,31.0,9.505288836046269,38.42939309022928,-21.49471116395373,104.64601753075719,25,54,xgb_d2_full_log,XGB depth2 full-weight log-size,104.64601753075719
6942063J00000,13.0,16.980144879800694,23.533776765389916,3.980144879800695,106.57120753787385,13,36,xgb_d2_none_log,XGB depth2 unweighted log-size,106.57120753787385
69430M74L00000,17.0,9.196965828537941,24.523117918107246,-7.803034171462058,102.6177196748673,17,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,102.6177196748673
71074M79M00C48,81.0,7.1191376457353694,85.7770765166391,-73.88086235426464,100.50209111047334,35,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.50209111047334
71091M843005PK,53.0,26.866652286496738,68.06753276218771,-26.133347713503262,108.07410556707761,29,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,108.07410556707761
7112073R00000,16.0,3.0284101229161027,18.4125598590821,-12.971589877083897,101.013528737412,9,36,xgb_d2_none_log,XGB depth2 unweighted log-size,101.013528737412
7148176J00000,60.0,4.399037902653218,64.29546393215657,-55.60096209734678,100.05142252064414,6,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.05142252064414
7170059810T2G,24.0,5.205802986770868,29.117160933464763,-18.794197013229134,100.1101796515286,6,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.1101796515286
7171152S005PK,321.0,115.7832450958044,260.54609464990097,-205.2167549041956,81.61841943004956,124,146,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,81.61841943004956
7171154L30799,100.0,80.58226489881604,105.05423778202751,-19.417735101183972,111.19614146357796,83,92,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,111.19614146357796
