sku_id,probability_below_70,confidence_band,cohort
7813257L01000,0.3639035814440094,medium,recurring_a
7821565J105PK,0.20207166376447028,low,recurring_a
8181065J02000,0.1993542962108005,low,recurring_a
8181086R00000,0.4425123462684127,medium,recurring_a
81850M79G20000,0.31284527746795543,low,recurring_a
8211065J01000,0.3726406087489544,medium,recurring_a
82280M79811000,0.16999084681088222,low,recurring_a
82302M68P15000,0.3720706302818701,medium,recurring_a
82570M53810000,0.24593169777141477,low,recurring_a
82651M74K00000,0.24390827944630092,low,recurring_a
82960M60G005ES,0.24021842378268754,low,recurring_a
82960M60G00P4Z,0.329375060004754,low,recurring_a
8298265D00P4Z,0.3150087958375394,low,recurring_a
82982M65D00000,0.2463088677708983,low,recurring_a
82982M65D005PK,0.24716238576472838,low,recurring_a
83402M79G50000,0.19110199709552558,low,recurring_a
83661M68P01000,0.45808425575590556,medium,recurring_a
83811M68P00000,0.37313660364862944,medium,recurring_a
83811M79G11000,0.1911498607059609,low,recurring_a
83821M74L01000,0.3306820001139667,low,recurring_a
83821M79G11000,0.200758246335214,low,recurring_a
83831M79G00000,0.20258564191799389,low,recurring_a
83841M79G01000,0.23184985721380036,low,recurring_a
8392165J010CB,0.23360573577698845,low,recurring_a
8394068L50000,0.36447355991109365,medium,recurring_a
84501M56R00000,0.24129273170457616,low,recurring_a
84503M62S00000,0.43373928869135886,medium,recurring_a
84504M68P00000,0.3720706302818701,medium,recurring_a
8451061M02000,0.2294198852136999,low,recurring_a
84511M53M00000,0.3755396812577048,medium,recurring_a
8454154P01000,0.3334191152928556,low,recurring_a
84541M56R00000,0.3954886509949831,medium,recurring_a
84570M62S10000,0.2029089089098326,low,recurring_a
8458065J02000,0.33306491566836743,low,recurring_a
84611M76M00000,0.23177362759672657,low,recurring_a
8470161LVBZJ3,0.20472436555036239,low,recurring_a
84701M56R50ZHJ,0.19963535070107188,low,recurring_a
84701M68K1026U,0.2525227255864193,low,recurring_a
84701M79G30000,0.37313660364862944,medium,recurring_a
84701M84330000,0.37059499431715676,medium,recurring_a
84702M67P30000,0.1984633619047142,low,recurring_a
84702M67P4026U,0.3334191152928556,low,recurring_a
84702M68K1026U,0.23960549095812103,low,recurring_a
84702M74L215PK,0.220489403391004,low,recurring_a
84702M84320000,0.41560010083706306,medium,recurring_a
84730M56R00000,0.33356091056804255,low,recurring_a
84730M67P00000,0.33306491566836743,low,recurring_a
84730M74L20000,0.20360576827419383,low,recurring_a
84740M74L20000,0.20949608099318287,low,recurring_a
8485177K006GS,0.36447355991109365,medium,recurring_a
84901M62S51BHE,0.7482756773489051,high,recurring_a
84902M62S43BHE,0.6806716542648844,high,recurring_a
85355M68PA1000,0.4156576199865162,medium,recurring_a
87491M68P105PK,0.3334191152928556,low,recurring_a
87991M68P105PK,0.29024514011578373,low,recurring_a
88921M68P01000,0.2754183116053247,low,recurring_a
89969M52R00000,0.2223906872360541,low,recurring_a
89969M63J00000,0.22312753539741045,low,recurring_a
9531071L01000,0.3726406087489544,medium,recurring_a
95310M68K00000,0.3720706302818701,medium,recurring_a
083313124A000,0.46808404000677506,medium,recurring_b
0928022020000,0.4832498686515901,medium,recurring_b
0938019004000,0.5608829917751786,medium,recurring_b
0940307333000,0.5928192387384613,medium,recurring_b
09409063145PK,0.4069806639850766,medium,recurring_b
11620M68K00000,0.5820219116805434,medium,recurring_b
11710M68K00000,0.5511848712615929,medium,recurring_b
15910M79GC0000,0.5610095956893035,medium,recurring_b
1711279P01000,0.506941303156278,medium,recurring_b
1770054P30000,0.5085558326058526,medium,recurring_b
1770079P21000,0.5608829917751786,medium,recurring_b
1770081P00000,0.5608829917751786,medium,recurring_b
17700M79F02000,0.46897992583736237,medium,recurring_b
1793163J01000,0.5608829917751786,medium,recurring_b
1793276G00000,0.5608829917751786,medium,recurring_b
2818084A20000,0.46897992583736237,medium,recurring_b
3512062R60000,0.5136689559469244,medium,recurring_b
3512080G21000,0.5608829917751786,medium,recurring_b
3532052R20000,0.4807273781438703,medium,recurring_b
35321M66L10000,0.5821670419555531,medium,recurring_b
35603M79G30000,0.4807273781438703,medium,recurring_b
3560461J10000,0.45091684531367976,medium,recurring_b
35650M60M00000,0.5464048150319837,medium,recurring_b
3570273R10000,0.4563924278183753,medium,recurring_b
36230M70CA1000,0.5608829917751786,medium,recurring_b
37019M79MK0000,0.5238287738249768,medium,recurring_b
37145M56R20000,0.4807273781438703,medium,recurring_b
38315M68K00000,0.4792634781100635,medium,recurring_b
3845062R00000,0.45091684531367976,medium,recurring_b
39321M56R00000,0.48692706687686976,medium,recurring_b
39321M67P00000,0.5804715339963014,medium,recurring_b
39322M67P00000,0.5877111547598871,medium,recurring_b
39322M67P10000,0.6475749853654458,medium,recurring_b
4171080J00000,0.5258773452229717,medium,recurring_b
4321052R5027N,0.5464048150319837,medium,recurring_b
4321061J01ZBP,0.5033068809843758,medium,recurring_b
43210M55RH1QC8,0.47393026308806147,medium,recurring_b
43210M76M5127N,0.49568997596698505,medium,recurring_b
43210M83P0027N,0.5042964359838318,medium,recurring_b
43250M68K1027N,0.5608829917751786,medium,recurring_b
43250M74L1027N,0.5136689559469244,medium,recurring_b
5741079P00000,0.46897992583736237,medium,recurring_b
5742071L01000,0.4807273781438703,medium,recurring_b
57711M66L00000,0.5829940245040212,medium,recurring_b
5811077K00000,0.5033068809843758,medium,recurring_b
5812165J00000,0.5148672522231236,medium,recurring_b
5823054P00000,0.5033068809843758,medium,recurring_b
5827080J20000,0.514789110985684,medium,recurring_b
69100M66L21000,0.5608829917751786,medium,recurring_b
7171154L30799,0.491152477523377,medium,recurring_b
7171177KD0799,0.45091684531367976,medium,recurring_b
71711M76M00799,0.5105248819197976,medium,recurring_b
71734M58R00000,0.48692706687686976,medium,recurring_b
71741M79G10000,0.5608829917751786,medium,recurring_b
7174265J010PG,0.5608829917751786,medium,recurring_b
7176060P205PK,0.6605657133396035,high,recurring_b
7176171L105PK,0.5608829917751786,medium,recurring_b
71761M75L105PK,0.5124371428871767,medium,recurring_b
71761M76MB0ZNZ,0.5124853610982532,medium,recurring_b
7177161M005PK,0.5668679057159136,medium,recurring_b
7181177MJ0799,0.5148672522231236,medium,recurring_b
71812M66L00000,0.5608829917751786,medium,recurring_b
7182263J00000,0.4807273781438703,medium,recurring_b
7187161M005PK,0.5450826511062309,medium,recurring_b
7211062R00ES5,0.5135416800922582,medium,recurring_b
7211157M005PK,0.5608829917751786,medium,recurring_b
72111M8450009E,0.5097370493834437,medium,recurring_b
7211281A005PK,0.4807273781438703,medium,recurring_b
72330M74L005PK,0.4807273781438703,medium,recurring_b
72333M76M005PK,0.506941303156278,medium,recurring_b
7239071L00000,0.4807273781438703,medium,recurring_b
7246073R00000,0.5954141541741299,medium,recurring_b
72821M76MA0000,0.5608829917751786,medium,recurring_b
73111M62S515PK,0.5608829917751786,medium,recurring_b
73412M53M10U3J,0.46808404000677506,medium,recurring_b
7343061J00R8H,0.5082579924792899,medium,recurring_b
73630M76M01GJL,0.49568997596698505,medium,recurring_b
74120M74LA0000,0.4807273781438703,medium,recurring_b
75463M75J00000,0.5608829917751786,medium,recurring_b
75463M79G00000,0.4807273781438703,medium,recurring_b
7552171L00000,0.5608829917751786,medium,recurring_b
7594165J00000,0.5608829917751786,medium,recurring_b
7615181A01P4Z,0.46808404000677506,medium,recurring_b
76661M75L005PK,0.48453950101883386,medium,recurring_b
7672157L005PK,0.5993499654829193,medium,recurring_b
77146M50S000CB,0.5464048150319837,medium,recurring_b
77181M68K005PK,0.5608829917751786,medium,recurring_b
77181M76M005PK,0.6142109058138282,medium,recurring_b
7724054P105PK,0.46808404000677506,medium,recurring_b
7752061M005PK,0.5608829917751786,medium,recurring_b
81850M74L00000,0.5608829917751786,medium,recurring_b
82510M60M51000,0.4832498686515901,medium,recurring_b
82570M53M00000,0.49568997596698505,medium,recurring_b
82811M75J00000,0.49568997596698505,medium,recurring_b
