candidate_id,architecture,training_scope,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
c_only__tsb_a0.20_b0.20__w24__classical__s0.75,classical,c_only,35,35,9,12,27,86.85227719058446,99.2672744882309,0.39559294074417417,89.37518577244794,195.0,230.73743139920236,18.326887897026854,18.326887897026854
pooled_transfer__tsb_a0.20_b0.20__w24__classical__s0.75,classical,pooled_transfer,35,35,9,12,27,86.85227719058446,99.2672744882309,0.39559294074417417,89.37518577244794,195.0,230.73743139920236,18.326887897026854,18.326887897026854
pooled_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,pooled_transfer,35,35,9,12,26,80.94299464746885,101.43538358923114,0.410116683841511,81.19700118989644,195.0,202.05459222710425,3.617739603643206,3.617739603643206
pooled_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.00__tsb__b0.50,hurdle,pooled_transfer,35,35,9,12,25,86.14057297788426,102.85273361721497,0.43279468846553204,88.82555196195419,195.0,235.06595422159853,20.546643190563348,20.546643190563348
c_only__sba_a0.50__w24__classical__s1.25,classical,c_only,35,35,9,12,22,81.20805369127518,120.65127979371351,0.5750973543745977,108.71520161989626,195.0,280.5196717992501,43.856241948333384,43.856241948333384
pooled_transfer__sba_a0.50__w24__classical__s1.25,classical,pooled_transfer,35,35,9,12,22,81.20805369127518,120.65127979371351,0.5750973543745977,108.71520161989626,195.0,280.5196717992501,43.856241948333384,43.856241948333384
pooled_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__recent6__b0.25,hurdle,pooled_transfer,35,35,9,12,21,84.41731940039705,109.14475213368534,0.49880389550165105,87.85314169427677,195.0,233.09388133561245,19.53532376185254,19.53532376185254
pooled_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,9,12,21,88.19813295269074,132.4558908853985,0.5144732135886558,89.72463962074217,195.0,241.79184178081653,23.995816297854628,23.995816297854628
c_only__tsb_a0.20_b0.05__w24__classical__s0.75,classical,c_only,35,35,9,12,21,91.69052037170646,136.01788122238708,0.4972175453278134,93.05298414486461,195.0,255.79464926677582,31.176743213731193,31.176743213731193
pooled_transfer__tsb_a0.20_b0.05__w24__classical__s0.75,classical,pooled_transfer,35,35,9,12,21,91.69052037170646,136.01788122238708,0.4972175453278134,93.05298414486461,195.0,255.79464926677582,31.176743213731193,31.176743213731193
c_only__sba_a0.70__w24__classical__s1.25,classical,c_only,35,35,8,12,27,78.49676882406872,96.45617271963937,0.44636105360274847,99.739740377216,195.0,243.54397732740316,24.894347347386233,24.894347347386233
pooled_transfer__sba_a0.70__w24__classical__s1.25,classical,pooled_transfer,35,35,8,12,27,78.49676882406872,96.45617271963937,0.44636105360274847,99.739740377216,195.0,243.54397732740316,24.894347347386233,24.894347347386233
pooled_transfer__hurdle_d1_sqrt_log__w24__expected__p1.00__t0.00__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,8,12,23,83.85074848102114,110.64962638366515,0.465661011818719,85.59127353751438,195.0,218.5932261342704,12.099090325266868,12.099090325266868
pooled_transfer__hurdle_d1_sqrt_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,8,12,23,83.85074848102114,110.64962638366515,0.465661011818719,85.59127353751438,195.0,218.5932261342704,12.099090325266868,12.099090325266868
pooled_transfer__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,8,12,21,85.39758233870843,132.5379919069286,0.48576826471970236,91.06307515547208,195.0,236.3688434870411,21.21479153181594,21.21479153181594
c_only__tsb_a0.20_b0.10__w24__classical__s0.75,classical,c_only,35,35,8,12,21,86.90060494601927,121.4974367673299,0.4070713473334787,90.92243558696472,195.0,245.6104373183619,25.95407041967277,25.95407041967277
pooled_transfer__tsb_a0.20_b0.10__w24__classical__s0.75,classical,pooled_transfer,35,35,8,12,21,86.90060494601927,121.4974367673299,0.4070713473334787,90.92243558696472,195.0,245.6104373183619,25.95407041967277,25.95407041967277
c_only__tsb_a0.10_b0.05__w24__classical__s0.75,classical,c_only,35,35,8,12,18,96.41469352063011,150.26701476340276,0.6153041363387061,105.36734687699614,195.0,292.15488343941456,49.82301714841772,49.82301714841772
