sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,selection_score,champion_quality
0928017002000,08_fair_champion,direct_extra_trees_log1p,Direct Extra Trees log1p,98.50205986885511,90.20359463063198,677.0,292.4291547179503,610.6783356493786,-384.5708452820496,103,98.50205986885511,under_100
0928022020000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,100.32014284189458,100.85139567298549,70.0,1.628086231648922,70.59597697108984,-68.37191376835108,40,100.32014284189458,under_200
0928056004000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,103.70009550689069,99.8500079413255,480.0,75.72399640083313,479.2800381183624,-404.27600359916687,72,103.70009550689069,under_200
0928314005000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,106.6675926604804,71.0,4.733990788941086,75.73399078894109,-66.26600921105891,23,100.0,under_100
0928326016000,08_fair_champion,sba_croston,SBA Croston,110.77725695102968,97.28150171839776,339.0,182.81715584414425,329.7842908253684,-156.18284415585578,85,110.77725695102968,under_200
0928335036000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,100.0,115.71215636200375,180.0,28.28188145160675,208.28188145160675,-151.71811854839325,12,100.0,under_100
0928340021000,08_fair_champion,sba_croston,SBA Croston,97.62065866977248,96.21154903189128,716.0,111.07352594122509,688.8746910683415,-604.9264740587748,97,97.62065866977248,under_100
0928340027000,08_fair_champion,sba_croston,SBA Croston,94.81371497465952,91.91995668281784,477.0,105.98689668067118,438.4581933770412,-371.0131033193288,110,94.81371497465952,under_100
0928345012000,08_fair_champion,sba_croston,SBA Croston,93.9853749482804,93.06618950493824,357.0,76.74476914670998,332.2462965326296,-280.25523085329,108,93.9853749482804,under_100
0928906003000,08_fair_champion,sba_croston,SBA Croston,91.8336497467921,86.10609265587061,3573.0,1255.7856641658182,3076.5706905942566,-2317.214335834182,110,91.8336497467921,under_100
0928948004000,09_croston_ml_hybrid,croston_rf_gate_probsize,Croston Random Forest gated probability size,101.30078826787889,110.20901663576913,69.0,8.95484048579988,76.0442214786807,-60.04515951420012,17,101.30078826787889,under_200
0930508011000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,38.0,0.0,38.0,-38.0,14,100.0,under_100
0931912047000,09_croston_ml_hybrid,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,100.03794483516528,126.70127360026042,600.0,180.1637783050537,760.2076416015625,-419.8362216949463,19,100.03794483516528,under_200
0932010024000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,102.83085522444352,111.54748011719097,176.0,48.29090452194214,196.3235650062561,-127.70909547805786,35,102.83085522444352,under_200
0938019004000,08_fair_champion,seasonal_sba_croston,Seasonal SBA Croston,122.04080328296492,186.22195936941452,48.0,82.27437450192691,89.386540497319,34.274374501926914,39,122.04080328296492,under_200
0938168001000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,40.0,0.0,40.0,-40.0,16,100.0,under_100
0940307333000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,111.63917567921598,109.28606461453181,93.0,26.08788812160492,101.63604009151459,-66.91211187839508,52,111.63917567921598,under_200
09403M07311000,08_fair_champion,sba_croston,SBA Croston,93.6345312186126,91.8061221377676,230.0,52.929824889471135,211.15408091686547,-177.07017511052885,107,93.6345312186126,under_100
09409063095ES,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,150.0,0.0,150.0,-150.0,9,100.0,under_100
09409063145PK,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,106.7394859600588,113.68637485355436,431.0,58.988275618819245,489.9882756188192,-372.0117243811808,24,106.7394859600588,under_200
0940906322000,08_fair_champion,aggregate_allocation,Aggregate Allocation,100.0,100.0,36.0,0.0,36.0,-36.0,12,100.0,under_100
09409073255PK,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,40.0,0.0,40.0,-40.0,9,100.0,under_100
0940907332000,09_croston_ml_hybrid,croston_rf_gate_probsize,Croston Random Forest gated probability size,108.50797980657546,109.00709542591927,1311.0,724.5244636164147,1429.0830210338017,-586.4755363835852,75,108.50797980657546,under_200
0940908322000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,31.0,0.0,31.0,-31.0,12,100.0,under_100
0940908327000,08_fair_champion,sba_croston,SBA Croston,95.56909305595627,96.31480776780768,1655.0,525.3687962977544,1594.010068557217,-1129.6312037022458,99,95.56909305595627,under_100
0940908352000,08_fair_champion,xgb_tweedie_depth2_reg10,XGBoost Tweedie depth2 reg10,96.5738952690188,121.2446244530205,30.0,14.610131463794623,36.37338733590615,-15.389868536205372,7,96.5738952690188,under_100
0940909309000,08_fair_champion,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,100.38892914549602,136.9018775359581,39.0,14.39173223902366,53.39173223902366,-24.60826776097634,16,100.38892914549602,under_200
0940910313000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,23.0,0.0,23.0,-23.0,11,100.0,under_100
0940910318000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,62.0,0.0,62.0,-62.0,12,100.0,under_100
0940915304000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,100.73346543667921,114.20455881829798,169.0,26.943401336669922,193.00570440292358,-142.05659866333008,28,100.73346543667921,under_200
09409M06L05000,09_croston_ml_hybrid,croston_rf_gate_probsize,Croston Random Forest gated probability size,100.04967561816086,177.10812161100287,137.0,118.91489805882986,242.63812660707393,-18.085101941170137,22,100.04967561816086,under_200
09409M07308P4Z,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,26.0,0.0,26.0,-26.0,7,100.0,under_100
09409M07308R8J,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,68.0,0.0,68.0,-68.0,11,100.0,under_100
09409M07L025PK,08_fair_champion,direct_extra_trees_log1p,Direct Extra Trees log1p,144.27522327115517,127.14786903140076,704.0,322.8338459073011,895.1209979810612,-381.1661540926989,32,144.27522327115517,under_200
09409M08308R8J,08_fair_champion,xgb_tweedie_depth2_reg10,XGBoost Tweedie depth2 reg10,97.15901421221317,226.1014371386289,106.0,141.31405516440705,239.66752336694665,35.314055164407044,5,97.15901421221317,under_100
09409M15L01000,08_fair_champion,sba_croston,SBA Croston,114.97290275590898,91.060059987375,1494.0,947.818463066777,1360.4372962113823,-546.181536933223,97,114.97290275590898,under_200
0944829004000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,8.0,0.0,8.0,-8.0,8,100.0,under_100
0947112236000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,101.45666845261104,101.29783575733502,168.0,10.7241912484169,170.18036407232285,-157.2758087515831,47,101.45666845261104,under_200
09471M12182000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,101.55299032793233,102.72801880961033,134.0,7.947746783494949,137.65554520487785,-126.05225321650505,39,101.55299032793233,under_200
1161054G30000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,103.16924117697181,102.85855680704117,57.0,3.502631977200508,58.629377380013466,-53.49736802279949,20,103.16924117697181,under_200
1161060R00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,52.0,0.0,52.0,-52.0,40,100.0,under_100
1161061M01000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,32.0,0.0,32.0,-32.0,17,100.0,under_100
1161073K00000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,127.46325201221875,129.67569640513216,89.0,34.46186351776123,115.41136980056763,-54.53813648223877,12,127.46325201221875,under_200
11610M65L00000,08_fair_champion,sba_croston,SBA Croston,104.44284675084516,110.20603475529626,171.0,56.49386794807012,188.4523194315566,-114.50613205192988,69,104.44284675084516,under_200
11610M67P10000,08_fair_champion,sba_croston,SBA Croston,87.9144297652408,92.54430853972995,192.0,65.69884407749807,177.6850723962815,-126.30115592250192,100,87.9144297652408,under_100
11610M76M00000,08_fair_champion,sba_croston,SBA Croston,108.8134192604322,98.6751799632692,135.0,82.31343671279836,133.21149295041343,-52.68656328720163,82,108.8134192604322,under_200
11610M79F30000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,137.62544452055405,153.50943868224687,37.0,33.03018915653229,56.798492312431335,-3.9698108434677124,29,137.62544452055405,under_200
11610M79G50000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,109.82956232094183,115.35750485601879,84.0,59.36979794502258,96.90030407905579,-24.630202054977417,39,109.82956232094183,under_200
11620M65L10000,08_fair_champion,sba_croston,SBA Croston,137.73621196695427,220.8173947214891,60.0,147.8349988198923,132.4904368328935,87.83499881989229,41,137.73621196695427,under_200
11620M67P00000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,103.49651830785955,130.20658681267187,38.0,23.788086652755737,49.47850298881531,-14.211913347244263,23,103.49651830785955,under_200
11620M68K00000,08_fair_champion,sba_croston,SBA Croston,96.90507607248897,110.6194592131554,109.0,127.98977247609128,120.57521054233938,18.989772476091293,76,96.90507607248897,under_100
11620M76M00000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,99.49166222854898,112.54730130496777,76.0,26.252907514572144,85.53594899177551,-49.747092485427856,50,99.49166222854898,under_100
11620M79F40000,08_fair_champion,sba_croston,SBA Croston,107.1644529495021,163.1548612831747,89.0,108.59834846477568,145.2078265420255,19.598348464775704,46,107.1644529495021,under_200
11710M65L00000,08_fair_champion,sba_croston,SBA Croston,95.23220709969296,95.807907353329,189.0,61.54182062047276,181.07694489779183,-127.45817937952724,96,95.23220709969296,under_100
11710M68K00000,08_fair_champion,sba_croston,SBA Croston,100.34556164031667,98.99161371707643,185.0,116.09595137443526,183.13448537659144,-68.90404862556474,89,100.34556164031667,under_200
11710M68K10000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,104.84290605258643,104.80963970933642,84.0,9.337464451789856,88.04009735584259,-74.66253554821014,19,104.84290605258643,under_200
11710M76M00000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,105.27901926160355,104.79847132020696,157.0,35.06390202045441,164.53359997272491,-121.9360979795456,73,105.27901926160355,under_200
11710M79F70000,08_fair_champion,sba_croston,SBA Croston,113.6148828228906,169.81953515840416,57.0,71.56169595488487,96.7971350402904,14.56169595488486,38,113.6148828228906,under_200
11710M79F80000,08_fair_champion,sba_croston,SBA Croston,112.56931687780757,157.45881324334567,80.0,126.18301663229514,125.96705059467652,46.18301663229512,58,112.56931687780757,under_200
1172080JA0000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,99.2362181791506,107.8821246741248,61.0,12.9840487241745,65.80809605121613,-48.0159512758255,33,99.2362181791506,under_100
1194152R00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,18.0,0.0,18.0,-18.0,6,100.0,under_100
13870M71L00000,08_fair_champion,hurdle_random_forest,Hurdle Random Forest,100.0,100.0,8.0,0.0,8.0,-8.0,8,100.0,under_100
1428180JA0000,08_fair_champion,sba_croston,SBA Croston,102.76778015328377,98.54389272663352,213.0,95.73293865523196,209.89849150772932,-117.26706134476802,82,102.76778015328377,under_200
1435772J00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,30.0,0.0,30.0,-30.0,11,100.0,under_100
1591063A0V000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,18.0,0.0,18.0,-18.0,6,100.0,under_100
15910M79GB1000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,105.31164973080158,105.59021135171254,132.0,19.71601378917694,139.37907898426056,-112.28398621082306,47,105.31164973080158,under_200
15910M79GC0000,09_croston_ml_hybrid,croston_hist_gate_probsize,Croston HistGB gated probability size,101.47275672736394,99.88248959030709,240.0,21.248093597022514,239.717975016737,-218.7519064029775,52,101.47275672736394,under_200
1711279P01000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,99.57061417897542,98.89279874041677,64.0,12.545064628124237,63.29139119386673,-51.45493537187576,53,99.57061417897542,under_100
1770054P30000,08_fair_champion,sba_croston_tuned,SBA Croston Tuned,94.47201932293493,85.7547100204361,109.0,117.96874250423376,93.47263392227536,8.968742504233777,89,94.47201932293493,under_100
1770079P21000,08_fair_champion,sba_croston,SBA Croston,99.62675009107028,99.42750499836508,99.0,47.27044520852256,98.4332299483814,-51.72955479147744,83,99.62675009107028,under_100
1770080J00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,24.0,0.0,24.0,-24.0,6,100.0,under_100
1770081P00000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,107.93142636291316,113.68925126393636,75.0,20.517061948776245,85.26693844795227,-54.482938051223755,64,107.93142636291316,under_200
17700M50U00000,08_fair_champion,aggregate_allocation,Aggregate Allocation,101.15317057226464,100.4912088660088,70.0,4.7808130568548695,70.34384620620617,-65.21918694314513,43,101.15317057226464,under_200
17700M60M00000,08_fair_champion,sba_croston,SBA Croston,90.61974753113562,92.92260413977112,136.0,86.3168479766988,126.3747416300887,-49.68315202330121,85,90.61974753113562,under_100
17700M67L00000,08_fair_champion,sba_croston,SBA Croston,97.69714316727428,102.18964301957136,215.0,37.16545986888028,219.70773249207843,-177.83454013111975,97,97.69714316727428,under_100
17700M67P00000,08_fair_champion,sba_croston,SBA Croston,94.4135533172886,94.03276849475829,217.0,59.45973235656075,204.05110763362543,-157.54026764343922,102,94.4135533172886,under_100
17700M79F02000,08_fair_champion,sba_croston,SBA Croston,114.370036208823,137.60500134006097,63.0,63.84274203484843,86.69115084423841,0.8427420348484276,52,114.370036208823,under_200
1776071L00000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,117.01225491015465,136.1970523993174,39.0,29.30677169561386,53.116850435733795,-9.693228304386139,39,117.01225491015465,under_200
17760M67P00000,08_fair_champion,seasonal_sba_croston,Seasonal SBA Croston,83.06157266730968,73.9166746226807,132.0,177.05015275870468,97.57001050193853,45.050152758704655,108,83.06157266730968,under_100
1781254G00000,08_fair_champion,sba_croston,SBA Croston,94.93936110626824,94.21722010376858,178.0,84.26301384732342,167.7066517847081,-93.73698615267658,91,94.93936110626824,under_100
17861M68P00000,09_croston_ml_hybrid,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,94.53135375712205,100.83218322481427,175.0,169.63986134529114,176.456320643425,-5.360138654708862,82,94.53135375712205,under_100
1787880G00000,09_croston_ml_hybrid,croston_hist_gate_probsize,Croston HistGB gated probability size,102.41503032148927,156.05296386256947,20.0,17.817386864672358,31.2105927725139,-2.1826131353276415,19,102.41503032148927,under_200
17878M74L00000,08_fair_champion,sba_croston,SBA Croston,86.0367604528325,97.25824204317736,129.0,105.99212404051576,125.4631322356988,-23.00787595948424,78,86.0367604528325,under_100
17920M76M00000,08_fair_champion,sba_croston,SBA Croston,91.69569043118273,88.13301962431458,340.0,110.60014525379822,299.6522667226696,-229.39985474620173,110,91.69569043118273,under_100
1793160A10000,08_fair_champion,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,99.6278698988901,116.8162454087806,26.0,6.191610326861331,30.37222380628296,-19.808389673138667,16,99.6278698988901,under_100
1793161M10000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,102.32906644044841,103.99100155599656,62.0,11.37770015001297,64.47442096471786,-50.62229984998703,48,102.32906644044841,under_200
1793163J01000,08_fair_champion,sba_croston,SBA Croston,108.03488864150684,110.05736603934749,126.0,65.93188181694296,138.67228120957782,-60.06811818305704,65,108.03488864150684,under_200
1793165D00000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,104.56683231203743,121.12206258672349,47.0,24.032000839710236,56.92736941576004,-22.967999160289764,35,104.56683231203743,under_200
1793168P00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,33.0,0.0,33.0,-33.0,9,100.0,under_100
17931M71P00000,08_fair_champion,sba_croston,SBA Croston,89.25852198203832,87.14409966197817,172.0,75.03871401208269,149.88785141860245,-96.96128598791732,105,89.25852198203832,under_100
1793276G00000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,103.49428100842182,106.35864573366501,85.0,23.74970382452011,90.40484887361526,-61.25029617547989,59,103.49428100842182,under_200
2371081A40000,08_fair_champion,hurdle_random_forest,Hurdle Random Forest,100.0,100.0,3.0,0.0,3.0,-3.0,3,100.0,under_100
27431M79F00000,08_fair_champion,sba_croston,SBA Croston,95.07766689898178,95.22449279199918,208.0,114.68561080550047,198.0669450073583,-93.31438919449953,88,95.07766689898178,under_100
2811380J015PK,08_fair_champion,direct_extra_trees_log1p,Direct Extra Trees log1p,98.1123634327877,96.31173606087884,180.0,114.76388823476232,173.36112490958192,-65.23611176523768,84,98.1123634327877,under_100
28113M62S015PK,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,46.0,0.0,46.0,-46.0,23,100.0,under_100
2818060B00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,60.0,0.0,60.0,-60.0,6,100.0,under_100
2818084A20000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,103.71819019769177,107.14385625792713,41.0,8.30655574798584,43.92898106575012,-32.69344425201416,32,103.71819019769177,under_200
2824178K00000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,123.98071178170137,378.1955560048421,15.0,43.72933340072632,56.72933340072632,28.72933340072632,15,123.98071178170137,under_200
28300M55R42000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,104.67308178130122,106.21565537793296,112.0,19.14742684364319,118.96153402328491,-92.85257315635681,49,104.67308178130122,under_200
2961081A00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,90.0,0.0,90.0,-90.0,11,100.0,under_100
33690M60M00000,08_fair_champion,sba_croston,SBA Croston,90.1644029589774,82.89520702101208,166.0,99.5311328115582,137.60604365488007,-66.46886718844178,103,90.1644029589774,under_100
3495561M00000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,92.6735601335098,488.5161615118796,66.0,294.1602197118998,322.4206665978405,228.16021971189977,11,92.6735601335098,under_100
3512052R21000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,100.97136516809464,92.9459811943882,106.0,68.35706716775894,98.52274006605148,-37.64293283224106,72,100.97136516809464,under_200
3512052S10000,08_fair_champion,direct_random_forest,Direct Random Forest,70.53696265435858,67.96942454729547,471.0,282.2387997597538,320.13598961776165,-188.76120024024613,133,70.53696265435858,under_100
3512062R60000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,101.8509271648503,104.49281877705029,56.0,27.06356579065323,58.51597851514816,-28.93643420934677,40,101.8509271648503,under_200
3512065J12000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,27.0,0.0,27.0,-27.0,27,100.0,under_100
3512080G21000,08_fair_champion,sba_croston,SBA Croston,102.24121779013876,104.17644222822707,97.0,63.53709494269087,101.05114896138028,-33.462905057309136,75,102.24121779013876,under_200
3512150A30000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,101.58855370112829,128.17911606330375,77.0,23.90677309036255,98.6979193687439,-53.09322690963745,11,101.58855370112829,under_200
35121M66L10000,08_fair_champion,sba_croston,SBA Croston,99.24022441039536,127.49408522667969,107.0,108.68128095735902,136.41867119254724,1.6812809573590144,60,99.24022441039536,under_100
35121M73T10000,08_fair_champion,xgb_tweedie_depth2_reg10,XGBoost Tweedie depth2 reg10,96.73834703657428,101.51030092034011,76.0,47.621178939929216,77.14782869945849,-28.37882106007078,37,96.73834703657428,under_100
3515365J00000,09_croston_ml_hybrid,croston_rf_gate_probsize,Croston Random Forest gated probability size,105.02920972443539,97.28753026222887,274.0,32.233634018190756,266.5678329185071,-241.7663659818092,83,105.02920972443539,under_200
3515379P00000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,106.34715379119253,142.65592470765114,48.0,35.92535650730133,68.47484385967255,-12.07464349269867,21,106.34715379119253,under_200
35153M59K20000,08_fair_champion,sba_croston,SBA Croston,112.02641343849244,103.22524167837092,278.0,132.92028209020992,286.9661718658712,-145.07971790979005,76,112.02641343849244,under_200
35153M75L00000,09_croston_ml_hybrid,croston_hist_gate_probsize,Croston HistGB gated probability size,97.98106037320044,97.80520510454346,366.0,24.8253852504571,357.96705068262906,-341.1746147495429,78,97.98106037320044,under_100
3526779P00000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,101.060501486063,138.56110191345215,25.0,11.448736786842346,34.64027547836304,-13.551263213157654,18,101.060501486063,under_200
3532052R20000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,100.6727097443217,99.88538685597871,76.0,21.03454613685608,75.91289401054382,-54.96545386314392,49,100.6727097443217,under_200
3532065D41000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,15.0,0.0,15.0,-15.0,12,100.0,under_100
3532077R10000,08_fair_champion,sba_croston,SBA Croston,99.9772518214873,104.32427707719344,130.0,104.7630788402004,135.62156020035147,-25.23692115979958,75,99.9772518214873,under_100
3532080G21000,09_croston_ml_hybrid,croston_rf_gate_probsize,Croston Random Forest gated probability size,98.69068046411472,128.26588071920617,61.0,44.855403321215896,78.24218723871576,-16.144596678784097,31,98.69068046411472,under_100
35321M60M10000,09_croston_ml_hybrid,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,83.006258255851,71.9895513011859,208.0,229.08551514148712,149.73826670646667,21.08551514148712,120,83.006258255851,under_100
35321M66L10000,08_fair_champion,sba_croston,SBA Croston,119.31908019608493,125.60867980130676,92.0,77.60246544639661,115.5599854172022,-14.397534553603377,60,119.31908019608493,under_200
3550065P02000,09_croston_ml_hybrid,croston_hist_gate_probsize,Croston HistGB gated probability size,99.94841528973046,96.8228433370314,206.0,22.778837528446655,199.45505727428468,-183.22116247155336,80,99.94841528973046,under_100
35501M75T00000,08_fair_champion,aggregate_allocation,Aggregate Allocation,100.0,100.0,67.0,0.0,67.0,-67.0,15,100.0,under_100
35502M75T00000,08_fair_champion,aggregate_allocation,Aggregate Allocation,100.0,100.0,59.0,0.0,59.0,-59.0,10,100.0,under_100
