sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,median_occurrence_probability,mean_probability_threshold,feature_count,fit_status,wmape_valid,selection_score
7179086R10C48,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,203.0,236.8194202184677,170.96530950069427,33.81942021846771,84.21936428605629,111.82950602998412,71.18944625059763,152,105,162,148,0.6944164037704468,0.0,799,fit_xgboost,True,111.82950602998412
7179086R10C48,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,203.0,125.22228682041168,178.70384848117828,-77.77771317958832,88.0314524537824,103.23132713218729,100.0,152,105,74,74,0.6944164037704468,0.6888888888888889,799,fit_xgboost,True,103.23132713218729
7179086R10C48,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,203.0,55.89657688140869,194.17134714126587,-147.1034231185913,95.65090992180585,104.3756550018899,100.0,152,105,20,20,0.6944164037704468,0.8000000000000002,799,fit_xgboost,True,104.3756550018899
7179086R10C48,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,203.0,71.46776914596558,190.3382387161255,-131.53223085403442,93.76267917050517,102.43295807786654,100.0,152,105,38,38,0.7537177503108978,0.7333333333333333,799,fit_xgboost,True,102.43295807786654
7179154P00000,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,32.0,20.1844854557756,39.8991874562508,-11.8155145442244,124.68496080078376,108.10367750946025,100.0,70,28,18,18,0.42276724731474774,0.8000000000000002,799,fit_hist_gradient_boosting,True,108.10367750946025
7179154P00000,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,32.0,21.648738297906984,41.137368065274146,-10.351261702093016,128.55427520398172,109.76522617964552,100.0,70,28,18,18,0.40617239982493913,0.8000000000000002,799,fit_random_forest,True,109.76522617964552
7179154P00000,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,32.0,89.98738577961922,87.71570667624474,57.98738577961922,274.1115833632648,133.0922413936683,139.97559696435928,70,28,162,2,0.3616965711116791,0.0,799,fit_xgboost,True,133.0922413936683
7179154P00000,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,32.0,15.892781615257263,36.264240026474,-16.107218384742737,113.32575008273125,100.69887786394074,100.0,70,28,20,0,0.3616965711116791,0.6888888888888889,799,fit_xgboost,True,100.69887786394074
7179154P00000,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,32.0,31.776252508163452,48.71486306190491,-0.22374749183654785,152.23394706845284,123.33559381110328,100.0,70,28,18,18,0.3616965711116791,0.8000000000000002,799,fit_xgboost,True,123.33559381110328
7179154P00000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,32.0,13.110206186771393,35.88996738195419,-18.889793813228607,112.15614806860685,101.68508387747266,100.0,70,28,18,0,0.3407125771045685,0.7333333333333333,799,fit_xgboost,True,101.68508387747266
7181165DD1799,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,66.0,6.471544923032307,71.22589948187574,-59.52845507696769,107.91802951799355,100.86273058315591,100.0,35,14,18,0,0.07606786369350135,0.8000000000000002,799,fit_hist_gradient_boosting,True,100.86273058315591
7181165DD1799,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,66.0,4.542995979012036,69.67135904250088,-61.457004020987966,105.56266521591043,100.49519741011724,100.0,35,14,18,0,0.15181888375618902,0.8000000000000002,799,fit_random_forest,True,100.49519741011724
7181165DD1799,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,66.0,31.655333399772644,93.06966829299927,-34.344666600227356,141.01464892878676,109.03210894515117,102.30844699674182,35,14,162,0,0.05969957634806633,0.0,799,fit_xgboost,True,109.03210894515117
7181165DD1799,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,66.0,2.8006963580846786,68.21357743442059,-63.19930364191532,103.35390520366755,100.35035467218786,100.0,35,14,18,0,0.05969957634806633,0.6888888888888889,799,fit_xgboost,True,100.35035467218786
7181165DD1799,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,66.0,62.81093215942383,120.81093215942383,-3.189067840576172,183.0468669082179,131.97779791695731,100.0,35,14,18,18,0.05969957634806633,0.8000000000000002,799,fit_xgboost,True,131.97779791695731
7181165DD1799,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,66.0,2.5859250873327255,68.0839212089777,-63.414074912667274,103.15745637723894,100.31469385183993,100.0,35,14,18,0,0.06418047845363617,0.7333333333333333,799,fit_xgboost,True,100.31469385183993
7181172L10799,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,53.0,27.36920379459404,66.28614536426412,-25.63079620540596,125.06819880049832,104.33454130687733,100.0,88,48,18,18,0.39945089689561686,0.8000000000000002,799,fit_hist_gradient_boosting,True,104.33454130687733
7181172L10799,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,53.0,29.528589176452947,67.95853478008684,-23.471410823547057,128.22365052846573,104.90694049971857,100.0,88,48,18,18,0.45825864826957174,0.8000000000000002,799,fit_random_forest,True,104.90694049971857
7181172L10799,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,53.0,115.13132199645042,101.40824493765831,62.131321996450424,191.3363112031289,107.53403012161002,77.88315117359161,88,48,162,23,0.4052438735961914,0.0,799,fit_xgboost,True,107.53403012161002
7181172L10799,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,53.0,24.9144087433815,61.743864476680756,-28.0855912566185,116.49785750317123,97.14767233666144,100.0,88,48,22,21,0.4052438735961914,0.6888888888888889,799,fit_xgboost,True,97.14767233666144
7181172L10799,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,53.0,36.439255714416504,73.4392557144165,-16.560744285583496,138.56463342342735,111.43452950499274,100.0,88,48,18,18,0.4052438735961914,0.8000000000000002,799,fit_xgboost,True,111.43452950499274
7181172L10799,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,53.0,22.63990080356598,62.678311467170715,-30.36009919643402,118.26096503239758,101.10182591459967,100.0,88,48,18,18,0.35053326189517975,0.7333333333333333,799,fit_xgboost,True,101.10182591459967
7181177MJ0799,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,39.0,24.906706662415584,48.369601857188144,-14.093293337584418,124.02462014663627,121.07304034763578,100.0,82,32,18,18,0.3734395568703574,0.8000000000000002,799,fit_hist_gradient_boosting,True,121.07304034763578
7181177MJ0799,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,39.0,28.209454321702804,51.03651644331586,-10.790545678297194,130.86286267516886,127.01708831835236,100.0,82,32,18,18,0.46151270883488926,0.8000000000000002,799,fit_random_forest,True,127.01708831835236
7181177MJ0799,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,39.0,119.18814495205879,107.27445062994957,80.18814495205879,275.06269392294763,149.18611665082173,162.03018426895142,82,32,162,23,0.42953960597515106,0.0,799,fit_xgboost,True,149.18611665082173
