sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
3515365J00000,09_croston_ml_hybrid,Croston Random Forest gated probability size,105.02920972443539,06_intermittent_tournament,SBA Croston,126.36718730935198,-21.337977584916587
3515379P00000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,106.34715379119253,06_intermittent_tournament,SBA Croston,123.54048558195144,-17.19333179075892
35153M59K20000,08_fair_champion,SBA Croston,112.02641343849244,06_intermittent_tournament,SBA Croston,112.02641343849244,0.0
35153M75L00000,09_croston_ml_hybrid,Croston HistGB gated probability size,97.98106037320044,06_intermittent_tournament,SBA Croston,106.6537907674153,-8.672730394214867
3526779P00000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,101.060501486063,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,101.96535919392043,-0.9048577078574311
3532052R20000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,100.6727097443217,06_intermittent_tournament,SBA Croston,112.17223923936342,-11.499529495041728
3532065D41000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
3532077R10000,08_fair_champion,SBA Croston,99.9772518214873,06_intermittent_tournament,SBA Croston,99.9772518214873,0.0
3532080G21000,09_croston_ml_hybrid,Croston Random Forest gated probability size,98.69068046411472,06_intermittent_tournament,SBA Croston,114.39909064146056,-15.70841017734584
35321M60M10000,09_croston_ml_hybrid,Croston XGBoost depth2 expected value,83.006258255851,07_clean_regression,Direct Extra Trees log1p,85.04433850999568,-2.0380802541446883
35321M66L10000,08_fair_champion,SBA Croston,119.31908019608493,06_intermittent_tournament,SBA Croston,119.31908019608493,0.0
3550065P02000,09_croston_ml_hybrid,Croston HistGB gated probability size,99.94841528973046,06_intermittent_tournament,SBA Croston,108.2988079310563,-8.35039264132584
