fold_id,month,actual,forecast,absolute_error,rolling_3m_abs_error,rolling_3m_actual,rolling_3m_wmape_percent
5,2024-12-01,352.0,570.8930773771075,218.8930773771075,450.92371576350786,1278.0,35.28354583439029
5,2025-01-01,495.0,758.5834881231159,263.5834881231159,608.9630020009339,1297.0,46.951657825823744
5,2025-02-01,330.0,709.6775095008284,379.67750950082836,862.1540750010518,1177.0,73.25013381487271
5,2025-03-01,558.0,711.0067170808906,153.00671708089055,796.2677147048348,1383.0,57.57539513411676
5,2025-04-01,491.0,709.496336668557,218.49633666855698,751.1805632502759,1379.0,54.472847226270915
6,2023-08-01,705.0,461.305990593867,243.69400940613298,243.69400940613298,705.0,34.56652615689829
6,2023-09-01,544.0,442.3941211955234,101.60587880447662,345.2998882106096,1249.0,27.64610794320333
6,2023-10-01,505.0,442.4680625671222,62.53193743287778,407.8318256434874,1754.0,23.251529398146374
6,2023-11-01,465.0,450.7209960641422,14.279003935857816,178.41682017321222,1514.0,11.784466325839645
6,2023-12-01,613.0,437.7083512567102,175.29164874328978,252.10259011202538,1583.0,15.925621611625104
6,2024-01-01,479.0,651.3508720463593,172.3508720463593,361.9215247255069,1557.0,23.24479927588355
6,2024-02-01,464.0,631.6660207316676,167.66602073166757,515.3085415213167,1556.0,33.117515521935516
6,2024-03-01,504.0,624.1741980691519,120.17419806915188,460.19109084717877,1447.0,31.803116160827837
6,2024-04-01,402.0,625.7927110486503,223.7927110486503,511.63292984946975,1370.0,37.34546933207808
6,2024-05-01,671.0,609.3704888689443,61.629511131055665,405.59642024885784,1577.0,25.71949399168407
6,2024-06-01,451.0,598.686047912756,147.68604791275595,433.1082700924619,1524.0,28.419177827589362
6,2024-07-01,587.0,607.3950371638562,20.39503716385616,229.71059620766778,1709.0,13.441228566861778
6,2024-08-01,607.0,606.7654944131868,0.2345055868131567,168.31559066342527,1645.0,10.231950800208224
6,2024-09-01,333.0,595.3673865828645,262.36738658286447,282.9969293335338,1527.0,18.53287029034275
6,2024-10-01,476.0,592.823177464314,116.82317746431397,379.4250696339916,1416.0,26.7955557651124
6,2024-11-01,450.0,603.9255250847751,153.92552508477513,533.1160891319536,1259.0,42.344407397295754
6,2024-12-01,352.0,593.0719944214537,241.07199442145372,511.8206969705428,1278.0,40.048567838070646
6,2025-01-01,495.0,783.0931925534137,288.0931925534137,683.0907120596426,1297.0,52.66697857051986
7,2023-05-01,691.0,570.3634613239911,120.63653867600885,120.63653867600885,691.0,17.458254511723425
7,2023-06-01,794.0,562.4436401244727,231.55635987552728,352.19289855153613,1485.0,23.71669350515395
7,2023-07-01,584.0,544.1034756813758,39.89652431862419,392.0894228701603,2069.0,18.950672927508958
7,2023-08-01,705.0,545.5691159902202,159.4308840097798,430.88376820393125,2083.0,20.68573059068321
7,2023-09-01,544.0,543.8704105433644,0.12958945663558552,199.45699778503956,1833.0,10.881451052102541
7,2023-10-01,505.0,535.6714662827543,30.671466282754295,190.23193974916967,1754.0,10.845606599154486
7,2023-11-01,465.0,542.4029629759352,77.40296297593522,108.2040187153251,1514.0,7.146896876837854
7,2023-12-01,613.0,534.7200773339152,78.27992266608476,186.35435192477428,1583.0,11.772226906176517
7,2024-01-01,479.0,729.4395963549798,250.4395963549798,406.1224819969998,1557.0,26.08365330745021
7,2024-02-01,464.0,723.5674754492561,259.5674754492561,588.2869944703207,1556.0,37.80764745953218
7,2024-03-01,504.0,726.1002497937899,222.10024979378989,732.1073215980258,1447.0,50.59483908763136
7,2024-04-01,402.0,708.5844127722771,306.5844127722771,788.2521380153231,1370.0,57.536652409877604
7,2024-05-01,671.0,681.3412996524506,10.34129965245063,539.0259622185176,1577.0,34.18046684962065
7,2024-06-01,451.0,682.4176364691587,231.41763646915865,548.3433488938864,1524.0,35.980534704323254
7,2024-07-01,587.0,802563.5084530069,801976.5084530069,802218.2673891285,1709.0,46940.79973020061
7,2024-08-01,607.0,776822.6328935392,776215.6328935392,1578423.5589830151,1645.0,95952.79993817721
7,2024-09-01,333.0,766500.0225453678,766167.0225453678,2344359.163891914,1527.0,153527.1227172177
7,2024-10-01,476.0,761071.9946074302,760595.9946074302,2302978.650046337,1416.0,162639.7351727639
8,2023-02-01,764.0,709.4004307344375,54.599569265562536,54.599569265562536,764.0,7.1465404797856715
8,2023-03-01,870.0,720.1982289708972,149.80177102910284,204.40134029466537,1634.0,12.509261951937907
8,2023-04-01,692.0,687.4217526600767,4.578247339923337,208.9795876345887,2326.0,8.984505057376987
8,2023-05-01,691.0,673.6271561182256,17.37284388177443,171.7528622508006,2253.0,7.623296149613875
8,2023-06-01,794.0,645.3178264072268,148.6821735927732,170.63326481447098,2177.0,7.8380002211516295
8,2023-07-01,584.0,633.549297596015,49.54929759601498,215.60431507056262,2069.0,10.42070155005136
8,2023-08-01,705.0,635.9692950545553,69.03070494544465,267.26217613423285,2083.0,12.830637356420203
8,2023-09-01,544.0,632.1874789012517,88.18747890125167,206.7674814427113,1833.0,11.280277220006072
8,2023-10-01,505.0,619.2903557513488,114.29035575134878,271.5085395980451,1754.0,15.479392223377713
8,2023-11-01,465.0,632.0005611236585,167.00056112365849,369.47839577625894,1514.0,24.40412125338566
8,2023-12-01,613.0,625.1032214233421,12.10322142334212,293.3941382983494,1583.0,18.53405801000312
8,2024-01-01,479.0,824.1028515139172,345.10285151391724,524.2066340609178,1557.0,33.66773500712382
8,2024-02-01,464.0,799.8354795607039,335.8354795607039,693.0415524979633,1556.0,44.539945533288126
8,2024-03-01,504.0,816.0981233098131,312.0981233098131,993.0364543844343,1447.0,68.62726015096297
8,2024-04-01,402.0,779.601086830603,377.601086830603,1025.53468970112,1370.0,74.8565466935124
8,2024-05-01,671.0,767.891234455797,96.89123445579696,786.590444596213,1577.0,49.8789121494111
8,2024-06-01,451.0,755.5544949432228,304.55449494322283,779.0468162296228,1524.0,51.11855749538207
8,2024-07-01,587.0,1.9103405479333214e+76,1.9103405479333214e+76,1.9103405479333214e+76,1709.0,1.1178119063389826e+75
9,2022-11-01,845.0,706.1667623973178,138.83323760268217,138.83323760268217,845.0,16.429968947062978
9,2022-12-01,701.0,723.9767061060586,22.9767061060586,161.80994370874078,1546.0,10.46636117132864
9,2023-01-01,802.0,748.0787921758609,53.92120782413906,215.73115153287984,2348.0,9.187868463921628
9,2023-02-01,764.0,736.5558388872067,27.444161112793267,104.34207504299093,2267.0,4.6026499798408
9,2023-03-01,870.0,734.828450905488,135.171549094512,216.53691803144432,2436.0,8.889036043983758
9,2023-04-01,692.0,753.0554562815549,61.05545628155494,223.6711664888602,2326.0,9.616129255754952
9,2023-05-01,691.0,710.6283726515585,19.628372651558493,215.85537802762542,2253.0,9.580797959504013
9,2023-06-01,794.0,704.8614794894285,89.13852051057154,169.82234944368497,2177.0,7.80075100797818
9,2023-07-01,584.0,700.0964863557118,116.09648635571182,224.86337951784185,2069.0,10.868215539770027
9,2023-08-01,705.0,695.2182760998716,9.78172390012844,215.0167307664118,2083.0,10.322454669534892
9,2023-09-01,544.0,711.7478854848353,167.74788548483525,293.6260957406755,1833.0,16.018881382470024
9,2023-10-01,505.0,714.7828759694718,209.78287596947177,387.31248535443547,1754.0,22.081669632521976
9,2023-11-01,465.0,714.7417869084996,249.74178690849965,627.2725483628067,1514.0,41.431476113791724
9,2023-12-01,613.0,741.1080185453146,128.10801854531462,587.632681423286,1583.0,37.12145808106671
9,2024-01-01,479.0,856.6096243609682,377.60962436096816,755.4594298147824,1557.0,48.52019459311384
9,2024-02-01,464.0,847.0995757119892,383.09957571198925,888.817218618272,1556.0,57.121929217112594
9,2024-03-01,504.0,873.8915851981674,369.8915851981674,1130.6007852711248,1447.0,78.13412475958015
9,2024-04-01,402.0,851.9377033326579,449.93770333265786,1202.9288642428146,1370.0,87.80502658706676
