sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
71742M53M100CB,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,36.0,11.207882738607353,45.80736623225914,-24.79211726139265,127.24268397849761,104.06744768491646,102.37318760444415,32,11,162,0,779,fallback_hist_poisson_xgboost_missing,True,104.06744768491646,mean_rolling_3m_wmape_percent,-68.86699239275737,100_to_200,under_200
35612M60B50000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,32.0,17.046770169759284,46.86097470517939,-14.953229830240714,146.4405459536856,104.1591723822759,104.10152736607617,26,10,162,0,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,104.1591723822759,mean_rolling_3m_wmape_percent,-46.72884321950223,100_to_200,under_200
43210M79G5339M,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,316.0,215.28254091446658,256.1126486128787,-100.71745908553339,81.04830652306286,104.22926631640425,74.45304213390901,157,120,162,139,779,fit,True,104.22926631640425,mean_rolling_3m_wmape_percent,-31.872613634662464,100_to_200,under_200
7176171L105PK,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,93.0,133.58369087409528,87.11420581797191,40.58369087409528,93.6711890515827,104.23896890738929,71.90048338526074,148,85,162,32,779,fallback_hist_poisson_xgboost_missing,True,104.23896890738929,mean_rolling_3m_wmape_percent,43.63837728397342,100_to_200,under_200
71721M76M005PK,direct_random_forest_log1p,Direct Random Forest log1p,9,162,69.0,28.01160671869005,94.61686991442156,-40.98839328130995,137.1258984266979,104.25222576661282,101.9878681330059,25,9,162,0,779,fit,True,104.25222576661282,mean_rolling_3m_wmape_percent,-59.40346852363761,100_to_200,under_200
3641275F00000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,23.0,32.42294866441757,54.253300754748,9.42294866441757,235.8839163249913,104.39823590654147,103.42397248513385,23,8,162,0,779,fit,True,104.39823590654147,mean_rolling_3m_wmape_percent,40.96934201920683,100_to_200,under_200
7181165DD1799,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,66.0,25.698318137250226,88.01571070397182,-40.301681862749774,133.35713743026034,104.6749973616874,102.58766688858468,35,14,162,0,779,fit,True,104.6749973616874,mean_rolling_3m_wmape_percent,-61.06315433749966,100_to_200,under_200
88912M76M00000,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,23.0,27.225807119975702,48.32426668432586,4.225807119975704,210.10550732315593,104.70200641635286,104.75538657877699,31,11,162,0,779,fit,True,104.70200641635286,mean_rolling_3m_wmape_percent,18.373074434676973,100_to_200,under_200
09409M07308P4Z,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,26.0,48.741286047059745,70.97986890528216,22.74128604705974,272.9994957895468,104.75036124676915,105.53953368430618,20,7,162,0,779,fit,True,104.75036124676915,mean_rolling_3m_wmape_percent,87.46648479638363,100_to_200,under_200
87286M81P00000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,138.0,37.721715803788726,144.38574123612867,-100.27828419621127,104.62734872183236,104.75780070306148,98.23476281864772,128,69,162,0,779,fallback_hist_poisson_xgboost_missing,True,104.75780070306148,mean_rolling_3m_wmape_percent,-72.66542333058788,100_to_200,under_200
1428180JA0000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,213.0,120.88936984635046,210.88446910610537,-92.11063015364954,99.00679300756121,104.84015877271804,92.53744016674997,136,82,162,15,779,fit,True,104.84015877271804,mean_rolling_3m_wmape_percent,-43.244427302182885,100_to_200,under_200
7176173K105PK,direct_random_forest_log1p,Direct Random Forest log1p,9,162,116.0,154.84787735648638,160.99644176598326,38.8478773564864,138.790036005158,104.84346848429145,91.99025682074462,107,61,162,80,779,fit,True,104.84346848429145,mean_rolling_3m_wmape_percent,33.4895494452469,100_to_200,under_200
74461M74L00V6N,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,242.0,177.82906069415384,216.8787668200667,-64.17093930584615,89.61932513225896,104.93093893812596,83.20370527432428,146,100,162,109,779,fit,True,104.93093893812596,mean_rolling_3m_wmape_percent,-26.516917068531466,100_to_200,under_200
8181086R00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,455.0,172.64738696357034,418.00229650514063,-282.3526130364296,91.8686365945364,104.96282715402687,90.77564839175307,154,122,162,78,779,fit,True,104.96282715402687,mean_rolling_3m_wmape_percent,-62.05551934866585,100_to_200,under_200
48150M68P00C48,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,118.0,54.91514622157754,169.6129992524717,-63.08485377842247,143.73982987497604,105.04590073171391,101.20898827824958,27,10,162,18,779,fit,True,105.04590073171391,mean_rolling_3m_wmape_percent,-53.46174049018853,100_to_200,under_200
