sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,selection_score,selection_metric,bias_percent,wmape_band
8313063JC0C48,direct_hist_squared,Direct Hist Gradient Squared,9,144,28.0,46.883411876504645,69.34614815488152,18.88341187650465,247.66481483886258,110.01232760456668,104.8034884153968,29,10,102,12,779,fit,True,110.01232760456668,mean_rolling_3m_wmape_percent,67.44075670180231,100_to_200
8313063JC0C48,direct_hist_poisson,Direct Hist Gradient Poisson,9,144,28.0,85.12672403472946,99.88967270114325,57.12672403472944,356.74883107551165,115.08422051098869,109.40064347429303,29,10,144,35,779,fit,True,115.08422051098869,mean_rolling_3m_wmape_percent,204.024014409748,100_to_200
8313063JC0C48,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,144,28.0,77.97176047334757,94.35984564663865,49.97176047334757,336.9994487379951,116.85439890579782,106.4203827940088,29,10,144,9,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,116.85439890579782,mean_rolling_3m_wmape_percent,178.47057311909847,100_to_200
8313063JC0C48,direct_extra_trees_log1p,Direct Extra Trees log1p,9,144,28.0,117.64228000138291,130.5680182786376,89.64228000138291,466.31435099513425,125.59002159513561,112.5883311558328,29,10,144,65,779,fit,True,125.59002159513561,mean_rolling_3m_wmape_percent,320.15100000493896,100_to_200
8313063JC0C48,hurdle_random_forest,Hurdle Random Forest Regression,9,144,28.0,224.86545356341412,231.21523452861481,196.86545356341412,825.7686947450529,226.67908805287095,127.20556175244519,29,10,144,72,779,fit_probability_times_positive_amount,True,226.67908805287095,mean_rolling_3m_wmape_percent,703.0909055836219,over_200
8313063JC0C48,direct_random_forest,Direct Random Forest,9,144,28.0,293.8766275505295,297.23317617671756,265.8766275505295,1061.5470577739914,292.50706244734744,180.96670139885887,29,10,144,72,779,fit,True,292.50706244734744,mean_rolling_3m_wmape_percent,949.559384109034,over_200
8313063JC0C48,direct_tweedie_glm,Direct Tweedie GLM,9,144,28.0,2.793099374585604e+103,2.793099374585604e+103,2.793099374585604e+103,9.9753549092343e+103,4.850598490899986e+103,106.04883379108078,29,10,144,36,779,fit,True,4.850598490899986e+103,mean_rolling_3m_wmape_percent,9.9753549092343e+103,over_200
83401M55R01000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,28.0,52.672230513070936,62.40480189645813,24.672230513070936,222.87429248735046,122.98996126106347,127.19331800136393,69,28,162,0,779,fit,True,122.98996126106347,mean_rolling_3m_wmape_percent,88.11510897525334,100_to_200
83401M55R01000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,28.0,58.95801961861318,66.40546125241613,30.958019618613186,237.1623616157719,125.74474617699084,133.17543028845233,69,28,162,0,779,fit,True,125.74474617699084,mean_rolling_3m_wmape_percent,110.56435578076137,100_to_200
83401M55R01000,direct_tweedie_glm,Direct Tweedie GLM,9,162,28.0,72.78316891131163,74.2876538125771,44.783168911311634,265.3130493306325,127.9364919390692,125.71881472564795,69,28,162,5,779,fit,True,127.9364919390692,mean_rolling_3m_wmape_percent,159.9398889689701,100_to_200
83401M55R01000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,28.0,69.7012772989907,70.6504821250953,41.70127729899069,252.32315044676892,129.83406994352143,128.61846994078815,69,28,162,3,779,fallback_hist_poisson_xgboost_missing,True,129.83406994352143,mean_rolling_3m_wmape_percent,148.93313321068104,100_to_200
83401M55R01000,hurdle_random_forest,Hurdle Random Forest Regression,9,162,28.0,86.16650031689959,85.033790961546,58.16650031689959,303.69211057695003,137.49410134301516,146.57013503579887,69,28,162,0,779,fit_probability_times_positive_amount,True,137.49410134301516,mean_rolling_3m_wmape_percent,207.73750113178423,100_to_200
83401M55R01000,direct_random_forest,Direct Random Forest,9,162,28.0,103.60429329087805,97.20092312443462,75.60429329087805,347.14615401583796,145.687997521578,155.22689874685707,69,28,162,4,779,fit,True,145.687997521578,mean_rolling_3m_wmape_percent,270.0153331817073,100_to_200
83401M55R01000,direct_hist_squared,Direct Hist Gradient Squared,9,162,28.0,92.2745490298061,88.99670911424612,64.2745490298061,317.84538969373614,145.91697594593293,145.46965506573292,69,28,162,18,779,fit,True,145.91697594593293,mean_rolling_3m_wmape_percent,229.55196082073604,100_to_200
83401M55R01000,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,28.0,96.85026577086651,94.91635704478887,68.85026577086653,338.98698944567457,165.214712839583,140.35784462183003,69,28,162,18,779,fit,True,165.214712839583,mean_rolling_3m_wmape_percent,245.8938063245233,100_to_200
83401M55R01000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,28.0,112.60199711952245,105.96112303019187,84.60199711952245,378.43258225068524,166.43943316306851,150.47877783125386,69,28,162,19,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,166.43943316306851,mean_rolling_3m_wmape_percent,302.1499897125802,100_to_200
83402M79G50000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,148.0,262.0623798775406,197.62485399972968,114.06237987754062,133.5303067565741,145.2503848716277,102.42143695812453,130,86,162,155,779,fit,True,145.2503848716277,mean_rolling_3m_wmape_percent,77.06917559293285,100_to_200
83402M79G50000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,148.0,288.61696184327457,210.39480211322683,140.6169618432746,142.1586500765046,159.07289537907872,111.83430282458616,130,86,162,155,779,fit,True,159.07289537907872,mean_rolling_3m_wmape_percent,95.01146070491527,100_to_200
83402M79G50000,direct_tweedie_glm,Direct Tweedie GLM,9,162,148.0,310.37363865546473,238.8395991103803,162.37363865546476,161.3781075070137,173.02122628803633,117.63171704306225,130,86,162,154,779,fit,True,173.02122628803633,mean_rolling_3m_wmape_percent,109.71191801044917,100_to_200
83402M79G50000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,148.0,349.5405983370437,254.60443857436005,201.54059833704378,172.03002606375676,202.74443149341386,158.4519493400188,130,86,162,162,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,202.74443149341386,mean_rolling_3m_wmape_percent,136.176079957462,over_200
83402M79G50000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,148.0,373.27332257497704,271.52286065302695,225.27332257497704,183.46139233312633,214.33948886024888,144.83016461223824,130,86,162,159,779,fallback_hist_poisson_xgboost_missing,True,214.33948886024888,mean_rolling_3m_wmape_percent,152.21170444255205,over_200
83402M79G50000,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,148.0,401.5876855647301,296.6127680914015,253.58768556473007,200.41403249419022,238.20693052454348,174.49266093039557,130,86,162,162,779,fit,True,238.20693052454348,mean_rolling_3m_wmape_percent,171.34303078697977,over_200
83402M79G50000,hurdle_random_forest,Hurdle Random Forest Regression,9,162,148.0,438.22843126138935,331.9310141725664,290.22843126138935,224.27771227876104,265.0373134060616,221.5383733347246,130,86,162,162,779,fit_probability_times_positive_amount,True,265.0373134060616,mean_rolling_3m_wmape_percent,196.10029139283063,over_200
83402M79G50000,direct_hist_squared,Direct Hist Gradient Squared,9,162,148.0,450.7554772582989,332.20379267219994,302.7554772582989,224.46202207581075,269.27138339637384,222.4442833136241,130,86,162,162,779,fit,True,269.27138339637384,mean_rolling_3m_wmape_percent,204.56451166101277,over_200
83402M79G50000,direct_random_forest,Direct Random Forest,9,162,148.0,470.700282757623,361.7119221596872,322.700282757623,244.39994740519407,285.77569692955774,231.3085473850249,130,86,162,162,779,fit,True,285.77569692955774,mean_rolling_3m_wmape_percent,218.0407315929885,over_200
8344060A00000,direct_tweedie_glm,Direct Tweedie GLM,9,162,31.0,40.74969143876239,66.23722515830738,9.749691438762385,213.66846825260447,110.82133913682375,113.22849723673542,33,13,162,0,779,fit,True,110.82133913682375,mean_rolling_3m_wmape_percent,31.45061754439479,100_to_200
8344060A00000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,31.0,35.8147070733252,61.20129249047493,4.814707073325206,197.42352416282233,111.06346781477208,111.36078555115245,33,13,162,0,779,fallback_hist_poisson_xgboost_missing,True,111.06346781477208,mean_rolling_3m_wmape_percent,15.531313139758728,100_to_200
8344060A00000,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,31.0,38.47864063806433,63.01657568649264,7.478640638064325,203.27927640804074,113.29381923092834,117.80330705159771,33,13,162,0,779,fit,True,113.29381923092834,mean_rolling_3m_wmape_percent,24.12464721956234,100_to_200
8344060A00000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,31.0,44.26542889652083,67.33645121860602,13.265428896520826,217.21435876969682,114.038996995514,117.35858185952881,33,13,162,0,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,114.038996995514,mean_rolling_3m_wmape_percent,42.79170611780911,100_to_200
8344060A00000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,31.0,41.175750226648745,66.41955605230913,10.17575022664874,214.25663242680366,115.07910801181008,116.76575621312946,33,13,162,0,779,fit,True,115.07910801181008,mean_rolling_3m_wmape_percent,32.825000731124966,100_to_200
8344060A00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,31.0,45.86932155807682,70.37111176797204,14.869321558076816,227.00358634829692,117.991450917051,121.11708014618962,33,13,162,0,779,fit,True,117.991450917051,mean_rolling_3m_wmape_percent,47.965553413151014,100_to_200
8344060A00000,direct_hist_squared,Direct Hist Gradient Squared,9,162,31.0,67.8673712842145,87.82515710762657,36.8673712842145,283.3069584116986,125.69576603130038,121.80077492906088,33,13,162,0,779,fit,True,125.69576603130038,mean_rolling_3m_wmape_percent,118.92700414262742,100_to_200
8344060A00000,hurdle_random_forest,Hurdle Random Forest Regression,9,162,31.0,72.02253990031548,93.52092068883397,41.02253990031547,301.68038931881927,126.8844428767819,132.0670930086605,33,13,162,0,779,fit_probability_times_positive_amount,True,126.8844428767819,mean_rolling_3m_wmape_percent,132.33077387198537,100_to_200
8344060A00000,direct_random_forest,Direct Random Forest,9,162,31.0,90.05331671699606,109.32904269612183,59.053316716996065,352.67433127781237,135.54931435029155,138.52875721436703,33,13,162,7,779,fit,True,135.54931435029155,mean_rolling_3m_wmape_percent,190.49457005482603,100_to_200
8366152R01000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,72.0,175.30595160538346,121.15688429480007,103.30595160538346,168.27345040944454,164.07853988782801,153.50006113478247,131,67,162,93,779,fit,True,164.07853988782801,mean_rolling_3m_wmape_percent,143.48048834081035,100_to_200
8366152R01000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,72.0,186.0972333680271,127.88312035875808,114.09723336802712,177.61544494271956,173.00801827550418,159.83643811123972,131,67,162,84,779,fit,True,173.00801827550418,mean_rolling_3m_wmape_percent,158.46837967781545,100_to_200
8366152R01000,direct_tweedie_glm,Direct Tweedie GLM,9,162,72.0,185.98240236423777,139.02389061045704,113.9824023642378,193.0887369589681,186.23538872878493,155.48106597818472,131,67,162,84,779,fit,True,186.23538872878493,mean_rolling_3m_wmape_percent,158.3088921725525,100_to_200
8366152R01000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,72.0,198.41240537038806,149.19613116607005,126.41240537038803,207.21684884176395,216.1032081543405,163.30589584663932,131,67,162,73,779,fallback_hist_poisson_xgboost_missing,True,216.1032081543405,mean_rolling_3m_wmape_percent,175.57278523665002,over_200
8366152R01000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,72.0,235.27334063635942,173.5363862759874,163.27334063635942,241.0227587166492,249.2615198931917,176.7359030591763,131,67,162,79,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,249.2615198931917,mean_rolling_3m_wmape_percent,226.7685286616103,over_200
8366152R01000,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,72.0,223.82973103278,172.0552647406328,151.82973103278002,238.96564547310112,251.658472240191,159.37125988011843,131,67,162,74,779,fit,True,251.658472240191,mean_rolling_3m_wmape_percent,210.87462643441668,over_200
8366152R01000,hurdle_random_forest,Hurdle Random Forest Regression,9,162,72.0,266.4600740381967,198.67856036067488,194.46007403819672,275.9424449453818,266.06492813866754,229.2412487926253,131,67,162,147,779,fit_probability_times_positive_amount,True,266.06492813866754,mean_rolling_3m_wmape_percent,270.0834361641621,over_200
8366152R01000,direct_random_forest,Direct Random Forest,9,162,72.0,296.29961141879824,226.65768878093849,224.29961141879818,314.8023455290812,298.09233151823355,256.5099666707022,131,67,162,147,779,fit,True,298.09233151823355,mean_rolling_3m_wmape_percent,311.52723808166417,over_200
