sku_id,lumpy_06_model_key,lumpy_06_model,lumpy_06_mean_rolling_3m_wmape_percent,lumpy_06_horizon_wmape_percent,lumpy_06_actual_total,lumpy_07_model_key,lumpy_07_model,lumpy_07_mean_rolling_3m_wmape_percent,lumpy_07_horizon_wmape_percent,lumpy_07_actual_total,rolling_wmape_delta_07_minus_06,regression_improved,regression_improved_by_10pts,regression_worse_by_10pts
7755078K000PG,sba_croston_tuned,SBA Croston Tuned,77.16681444121743,73.6314379938612,179.0,direct_extra_trees_log1p,Direct Extra Trees log1p,68.83152841565648,67.71849559348364,179.0,-8.335286025560947,True,False,False
0928017002000,sba_croston,SBA Croston,105.9313875614176,87.88256280488231,677.0,direct_extra_trees_log1p,Direct Extra Trees log1p,98.50205986885511,90.20359463063198,677.0,-7.429327692562481,True,False,False
82982M65D00000,sba_croston,SBA Croston,115.05650942589736,106.13225290046752,1078.0,direct_extra_trees_log1p,Direct Extra Trees log1p,107.68750703745538,103.16463938814168,1078.0,-7.369002388441984,True,False,False
71712M69T005PK,aggregate_allocation,Aggregate Allocation,100.0,100.0,36.0,direct_hist_squared,Direct Hist Gradient Squared,92.63592821827358,87.35338396494447,36.0,-7.364071781726423,True,False,False
0931912047000,hurdle_random_forest,Hurdle Random Forest,110.47207562493324,140.72583734528948,600.0,direct_extra_trees_log1p,Direct Extra Trees log1p,103.38272931059193,111.67589880204403,600.0,-7.089346314341313,True,False,False
09409063095ES,recent_mean_6,Recent Mean 6m,113.28333333333332,315.7777777777778,150.0,direct_extra_trees_log1p,Direct Extra Trees log1p,106.33723655733418,145.24574943757062,150.0,-6.946096775999138,True,False,False
0915912L02000,hurdle_random_forest,Hurdle Random Forest,111.71387901517964,206.13609102741927,50.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,105.29477866668903,161.27638388543087,50.0,-6.419100348490616,True,False,False
84556M80T00000,aggregate_allocation,Aggregate Allocation,100.0,100.0,21.0,direct_hist_squared,Direct Hist Gradient Squared,93.58488594516302,101.36606350843624,21.0,-6.415114054836977,True,False,False
74461M76M00000,sba_croston,SBA Croston,89.04835869924027,89.40101802024053,283.0,direct_extra_trees_log1p,Direct Extra Trees log1p,82.76145342013703,77.65882903253934,283.0,-6.286905279103237,True,False,False
4325261J0027S,recent_mean_6,Recent Mean 6m,120.4861111111111,189.74358974358975,52.0,direct_extra_trees_log1p,Direct Extra Trees log1p,114.29840403706994,180.19167281570137,52.0,-6.187707074041157,True,False,False
7211281A005PK,sba_croston,SBA Croston,134.08402011130838,148.41622949454234,100.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,127.9511914465313,138.15176665658902,100.0,-6.1328286647770796,True,False,False
71711M73T015PK,aggregate_allocation,Aggregate Allocation,100.0,100.0,134.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,93.96931210386853,90.41140680585218,134.0,-6.030687896131468,True,False,False
72432M74T00000,tsb,TSB,88.50820647916666,86.42172682926828,205.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,82.50058229620969,80.17227228467694,205.0,-6.007624182956974,True,False,False
15910M79GB1000,sba_croston,SBA Croston,128.28645863246155,145.61194459064308,132.0,direct_extra_trees_log1p,Direct Extra Trees log1p,122.42898982127649,136.14723196571154,132.0,-5.857468811185058,True,False,False
35750M73T00000,tsb,TSB,94.49843014128729,92.62857142857143,140.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,89.21789254826243,84.07474622414313,140.0,-5.28053759302486,True,False,False
81810M55T01000,recent_mean_6,Recent Mean 6m,88.1105911563658,85.38812785388127,219.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,82.88403162782335,80.04601072467788,219.0,-5.226559528542452,True,False,False
8183065J02000,tsb,TSB,127.94310657325816,287.1068436632603,23.0,direct_extra_trees_log1p,Direct Extra Trees log1p,122.77369873248807,303.4097302067791,23.0,-5.169407840770091,True,False,False
84510M80T11000,hurdle_random_forest,Hurdle Random Forest,68.5921800511448,94.4374389641266,110.0,direct_random_forest_log1p,Direct Random Forest log1p,63.774853574403224,90.82524671262534,110.0,-4.81732647674157,True,False,False
5730073R02000,sba_croston,SBA Croston,92.5888743280206,90.17440357044843,176.0,direct_random_forest_log1p,Direct Random Forest log1p,87.90469817169125,83.54000146475668,176.0,-4.684176156329343,True,False,False
3658354P01000,tsb,TSB,81.11355667158898,74.9603787914632,210.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,76.49827424432179,71.12363944119453,210.0,-4.615282427267189,True,False,False
83770M55T005PK,aggregate_allocation,Aggregate Allocation,100.0,100.0,48.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,95.46547645076377,100.69551651229402,48.0,-4.534523549236226,True,False,False
38480M68P01000,tsb,TSB,123.72608589842706,231.9269514245256,25.0,direct_tweedie_glm,Direct Tweedie GLM,119.44501898491816,268.3730249562105,25.0,-4.281066913508894,True,False,False
0940915304000,sba_croston,SBA Croston,111.94734806200675,138.71363241488962,169.0,direct_extra_trees_log1p,Direct Extra Trees log1p,107.75357407114649,133.30108807410008,169.0,-4.193773990860265,True,False,False
82110M55T10000,recent_mean_6,Recent Mean 6m,78.22721702317291,76.93522906793048,211.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,74.06779249715176,74.11193708003513,211.0,-4.159424526021155,True,False,False
71772M74T00000,aggregate_allocation,Aggregate Allocation,100.0,100.0,57.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,95.89997291141165,92.39410821057315,57.0,-4.100027088588348,True,False,False
3552686R20000,tsb,TSB,83.39930989957396,78.08103006401281,191.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,79.31684547924264,76.756407489669,191.0,-4.08246442033132,True,False,False
38452M65L00000,sba_croston,SBA Croston,88.10125077922854,83.17865198912985,226.0,direct_extra_trees_log1p,Direct Extra Trees log1p,84.0774164033912,68.63365622270081,226.0,-4.023834375837339,True,False,False
89969M63J00000,tsb,TSB,90.82457305360828,99.56842186269785,159.0,direct_random_forest_log1p,Direct Random Forest log1p,86.91496251633133,93.7642286123686,159.0,-3.909610537276947,True,False,False
1435772J00000,hurdle_random_forest,Hurdle Random Forest,114.50233652124037,187.76749633040532,30.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,110.68132063379224,160.3773163967721,30.0,-3.8210158874481266,True,False,False
6942063J00000,sba_croston_tuned,SBA Croston Tuned,126.48686569550811,496.06520469359344,13.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,122.68644427024621,428.53231992135863,13.0,-3.800421425261902,True,False,False
09136M05078000,aggregate_allocation,Aggregate Allocation,124.12701222845288,242.6509599693911,37.0,direct_extra_trees_log1p,Direct Extra Trees log1p,120.34717215874268,286.57130415070174,37.0,-3.779840069710204,True,False,False
3845071L10000,sba_croston_tuned,SBA Croston Tuned,86.45002157679993,81.83599263666046,217.0,direct_extra_trees_log1p,Direct Extra Trees log1p,82.71856835365502,79.88575276832502,217.0,-3.7314532231449107,True,False,False
4325251K20DB7,sba_croston,SBA Croston,139.73195581530064,192.55684231310545,85.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,136.13999735833352,204.52391759302654,85.0,-3.59195845696712,True,False,False
8721174G10P4Z,recent_mean_6,Recent Mean 6m,91.46666666666664,164.10256410256412,78.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,87.94092524435393,158.96511128021768,78.0,-3.5257414223127057,True,False,False
11620M67P00000,sba_croston,SBA Croston,133.60361064635396,270.73657114806787,38.0,direct_extra_trees_log1p,Direct Extra Trees log1p,130.24318884904883,262.61428310697244,38.0,-3.360421797305122,True,False,False
7724061M005PK,hurdle_random_forest,Hurdle Random Forest,111.72976094994732,412.3764818779598,16.0,direct_random_forest_log1p,Direct Random Forest log1p,108.4372764874073,323.8825660878676,16.0,-3.292484462540017,True,False,False
