trial_id,recipe,candidate_id,architecture,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias,cohort
hurdle_d2_sqrt_log__w30,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_log__w30__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,86,172,214,53.56902019737708,67.71778493248027,0.48244262630130785,58.41472990717595,6830.0,4109.418766121784,-39.83281455165763,39.83281455165763,recurring_a
hurdle_d2_sqrt_log__w36,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_log__w36__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,86,172,214,54.34850182446292,67.4135498968308,0.48383292009069667,58.87350709574755,6830.0,4050.3823902045824,-40.69718315952295,40.69718315952295,recurring_a
hurdle_d2_sqrt_log__w48,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_log__w48__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,86,172,214,54.34850182446292,67.4135498968308,0.48383292009069667,58.87350709574755,6830.0,4050.3823902045824,-40.69718315952295,40.69718315952295,recurring_a
hurdle_d2_sqrt_tweedie__w18,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_tweedie__w18__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,93,179,213,53.14021726145304,65.58989662549241,0.47010611634107785,58.29162180232067,6830.0,4470.020510963605,-34.55314039584765,34.55314039584765,recurring_a
hurdle_d2_sqrt_tweedie__w24,soft__p1.25__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_tweedie__w24__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,215,215,88,172,211,54.52472692747944,67.12252141836913,0.47600465159718974,58.983670887606415,6830.0,4299.009046593368,-37.05696857110735,37.05696857110735,recurring_a
hurdle_d2_sqrt_tweedie__w30,soft__p0.75__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_tweedie__w30__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,215,215,95,172,213,53.13650427419315,67.93482615456087,0.4467928747433918,57.397341825784295,6830.0,4589.808512451403,-32.7992897152064,32.7992897152064,recurring_a
hurdle_d2_sqrt_tweedie__w36,expected__p1.00__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_tweedie__w36__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,215,215,90,171,213,53.08920372187476,66.50734925930874,0.45931964147386367,58.13400597796091,6830.0,4365.30969080196,-36.08624171593031,36.08624171593031,recurring_a
hurdle_d2_sqrt_tweedie__w48,expected__p1.00__t0.00__s0.75__none__b0.00,hurdle_d2_sqrt_tweedie__w48__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,215,215,90,171,213,53.08920372187476,66.50734925930874,0.45931964147386367,58.13400597796091,6830.0,4365.30969080196,-36.08624171593031,36.08624171593031,recurring_a
hurdle_d3_sqrt_log__w18,soft__p1.25__t0.00__s1.00__none__b0.00,hurdle_d3_sqrt_log__w18__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,215,215,95,179,213,52.565537586609246,65.09686259936962,0.4812390468872264,58.88033699015827,6830.0,4314.119326056953,-36.83573461117199,36.83573461117199,recurring_a
hurdle_d3_sqrt_log__w24,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d3_sqrt_log__w24__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,83,173,213,53.271379515052615,66.18984341809252,0.46813533002884866,58.89175393188143,6830.0,4107.967503366124,-39.85406290825587,39.85406290825587,recurring_a
hurdle_d3_sqrt_log__w30,soft__p0.75__t0.00__s0.75__none__b0.00,hurdle_d3_sqrt_log__w30__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,215,215,85,173,214,54.11502870043389,66.1455994852586,0.4862700884707052,58.850336911519605,6830.0,3944.1057074283917,-42.253210725792215,42.253210725792215,recurring_a
hurdle_d3_sqrt_log__w36,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d3_sqrt_log__w36__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,89,172,214,53.69307210460956,66.5740245435036,0.4682830022980994,58.333592849850156,6830.0,4087.018702891399,-40.1607803383397,40.1607803383397,recurring_a
hurdle_d3_sqrt_log__w48,soft__p0.50__t0.00__s0.75__none__b0.00,hurdle_d3_sqrt_log__w48__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,215,215,89,172,214,53.69307210460956,66.5740245435036,0.4682830022980994,58.333592849850156,6830.0,4087.018702891399,-40.1607803383397,40.1607803383397,recurring_a
recent_12__w18,classical__s0.75,recent_12__w18__classical__s0.75,classical,215,215,77,135,189,60.267857142857146,79.59375,0.5458333333333333,68.85067311897473,6830.0,7833.427597402598,14.691472875587083,14.691472875587083,recurring_a
recent_12__w24,classical__s0.75,recent_12__w24__classical__s0.75,classical,215,215,77,135,189,60.267857142857146,79.59375,0.5458333333333333,68.85067311897473,6830.0,7833.427597402598,14.691472875587083,14.691472875587083,recurring_a
recent_12__w30,classical__s0.75,recent_12__w30__classical__s0.75,classical,215,215,77,135,189,60.267857142857146,79.59375,0.5458333333333333,68.85067311897473,6830.0,7833.427597402598,14.691472875587083,14.691472875587083,recurring_a
recent_12__w36,classical__s0.75,recent_12__w36__classical__s0.75,classical,215,215,77,135,189,60.267857142857146,79.59375,0.5458333333333333,68.85067311897473,6830.0,7833.427597402598,14.691472875587083,14.691472875587083,recurring_a
recent_12__w48,classical__s0.75,recent_12__w48__classical__s0.75,classical,215,215,77,135,189,60.267857142857146,79.59375,0.5458333333333333,68.85067311897473,6830.0,7833.427597402598,14.691472875587083,14.691472875587083,recurring_a
recent_18__w18,classical__s0.75,recent_18__w18__classical__s0.75,classical,215,215,59,121,178,65.625,87.91666666666666,0.5913461538461539,80.21544775954388,6830.0,9026.995002056767,32.166837511812105,32.166837511812105,recurring_a
recent_18__w24,classical__s0.75,recent_18__w24__classical__s0.75,classical,215,215,59,121,178,65.625,87.91666666666666,0.5913461538461539,80.21544775954388,6830.0,9026.995002056767,32.166837511812105,32.166837511812105,recurring_a
recent_18__w30,classical__s0.75,recent_18__w30__classical__s0.75,classical,215,215,59,121,178,65.625,87.91666666666666,0.5913461538461539,80.21544775954388,6830.0,9026.995002056767,32.166837511812105,32.166837511812105,recurring_a
recent_18__w36,classical__s0.75,recent_18__w36__classical__s0.75,classical,215,215,59,121,178,65.625,87.91666666666666,0.5913461538461539,80.21544775954388,6830.0,9026.995002056767,32.166837511812105,32.166837511812105,recurring_a
recent_18__w48,classical__s0.75,recent_18__w48__classical__s0.75,classical,215,215,59,121,178,65.625,87.91666666666666,0.5913461538461539,80.21544775954388,6830.0,9026.995002056767,32.166837511812105,32.166837511812105,recurring_a
recent_3__w18,classical__s0.75,recent_3__w18__classical__s0.75,classical,215,215,67,128,185,63.541666666666664,82.14869281045752,0.5887096774193548,66.91800878477306,6830.0,6069.0,-11.142020497803808,11.142020497803808,recurring_a
recent_3__w24,classical__s0.75,recent_3__w24__classical__s0.75,classical,215,215,67,128,185,63.541666666666664,82.14869281045752,0.5887096774193548,66.91800878477306,6830.0,6069.0,-11.142020497803808,11.142020497803808,recurring_a
recent_3__w30,classical__s0.75,recent_3__w30__classical__s0.75,classical,215,215,67,128,185,63.541666666666664,82.14869281045752,0.5887096774193548,66.91800878477306,6830.0,6069.0,-11.142020497803808,11.142020497803808,recurring_a
recent_3__w36,classical__s0.75,recent_3__w36__classical__s0.75,classical,215,215,67,128,185,63.541666666666664,82.14869281045752,0.5887096774193548,66.91800878477306,6830.0,6069.0,-11.142020497803808,11.142020497803808,recurring_a
recent_3__w48,classical__s0.75,recent_3__w48__classical__s0.75,classical,215,215,67,128,185,63.541666666666664,82.14869281045752,0.5887096774193548,66.91800878477306,6830.0,6069.0,-11.142020497803808,11.142020497803808,recurring_a
recent_6__w18,classical__s0.75,recent_6__w18__classical__s0.75,classical,215,215,80,140,193,58.333333333333336,78.86273209549071,0.5092592592592592,65.1885065885798,6830.0,6662.625,-2.4505856515373354,2.4505856515373354,recurring_a
recent_6__w24,classical__s0.75,recent_6__w24__classical__s0.75,classical,215,215,80,140,193,58.333333333333336,78.86273209549071,0.5092592592592592,65.1885065885798,6830.0,6662.625,-2.4505856515373354,2.4505856515373354,recurring_a
recent_6__w30,classical__s0.75,recent_6__w30__classical__s0.75,classical,215,215,80,140,193,58.333333333333336,78.86273209549071,0.5092592592592592,65.1885065885798,6830.0,6662.625,-2.4505856515373354,2.4505856515373354,recurring_a
recent_6__w36,classical__s0.75,recent_6__w36__classical__s0.75,classical,215,215,80,140,193,58.333333333333336,78.86273209549071,0.5092592592592592,65.1885065885798,6830.0,6662.625,-2.4505856515373354,2.4505856515373354,recurring_a
recent_6__w48,classical__s0.75,recent_6__w48__classical__s0.75,classical,215,215,80,140,193,58.333333333333336,78.86273209549071,0.5092592592592592,65.1885065885798,6830.0,6662.625,-2.4505856515373354,2.4505856515373354,recurring_a
recent_9__w18,classical__s0.75,recent_9__w18__classical__s0.75,classical,215,215,78,141,194,57.18562874251497,79.18758967001435,0.520408163265306,64.74299309767831,6830.0,7223.982142857143,5.768406191173399,5.768406191173399,recurring_a
recent_9__w24,classical__s0.75,recent_9__w24__classical__s0.75,classical,215,215,78,141,194,57.18562874251497,79.18758967001435,0.520408163265306,64.74299309767831,6830.0,7223.982142857143,5.768406191173399,5.768406191173399,recurring_a
recent_9__w30,classical__s0.75,recent_9__w30__classical__s0.75,classical,215,215,78,141,194,57.18562874251497,79.18758967001435,0.520408163265306,64.74299309767831,6830.0,7223.982142857143,5.768406191173399,5.768406191173399,recurring_a
recent_9__w36,classical__s0.75,recent_9__w36__classical__s0.75,classical,215,215,78,141,194,57.18562874251497,79.18758967001435,0.520408163265306,64.74299309767831,6830.0,7223.982142857143,5.768406191173399,5.768406191173399,recurring_a
recent_9__w48,classical__s0.75,recent_9__w48__classical__s0.75,classical,215,215,78,141,194,57.18562874251497,79.18758967001435,0.520408163265306,64.74299309767831,6830.0,7223.982142857143,5.768406191173399,5.768406191173399,recurring_a
