sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase,cohort,top_expert,top_expert_weight,effective_experts
11710M76M00000,19.0,10.616987266723113,10.048572091423564,1.6747620152372606,5.444444444444445,52.88722153380823,0.307609349737456,recurring_a,candidate_09,0.5045848122180647,1.9998318501137817
11710M79F80000,4.0,7.8821073708805915,4.923663991774422,0.820610665295737,3.6666666666666665,123.09159979436055,0.2238029087170192,recurring_a,candidate_09,0.5020084582256239,1.9999677292851556
1428180JA0000,20.0,12.64335156274938,11.62964539037977,1.9382742317299615,5.777777777777778,58.14822695189885,0.33547054010710875,recurring_a,candidate_08,0.5476923987722895,1.9819675447538618
15910M79GB1000,10.0,12.515621897950574,10.30008033745501,1.7166800562425015,4.555555555555555,103.00080337455009,0.3768322074678662,recurring_a,candidate_00,0.503896000502935,1.999878576812892
17700M60M00000,4.0,9.936204377293805,5.936204377293806,0.9893673962156343,2.111111111111111,148.40510943234514,0.4686477139968794,recurring_a,candidate_08,0.5023231110563523,1.9999568261721692
17700M67L00000,9.0,11.822014934490852,8.787475996803831,1.4645793328006385,5.111111111111111,97.63862218670924,0.2865481303305597,recurring_a,candidate_12,0.5163332956214872,1.9978680626366716
17700M67P00000,16.0,12.593274336938828,8.249805621850523,1.374967603641754,2.4444444444444446,51.56128513656577,0.5624867469443539,recurring_a,candidate_12,0.5121066432702615,1.9988281205630924
17760M67P00000,10.0,8.552175588609948,4.963749518065797,0.8272915863442996,1.1111111111111112,49.63749518065798,0.7445624277098696,recurring_a,candidate_07,0.5043351266349015,1.999849664717673
1781254G00000,23.0,9.509949594792113,13.490050405207887,2.2483417342013143,3.3333333333333335,58.65239306612125,0.6745025202603943,recurring_a,candidate_11,0.501202475822701,1.9999884324820705
17861M68P00000,14.0,12.814981708866002,10.40593372588823,1.7343222876480384,5.111111111111111,74.32809804205878,0.3393239258441815,recurring_a,synthetic_mean,0.5101175099427525,1.9991814231117093
17878M74L00000,13.0,8.745258522428747,10.167280170537973,1.6945466950896622,4.777777777777778,78.20984746567672,0.3546725640885339,recurring_a,candidate_06,0.5030302843037793,1.9999265417144652
17920M76M00000,42.0,12.630261338356464,29.369738661643535,4.8949564436072555,7.111111111111111,69.92794919438936,0.6883532498822703,recurring_a,synthetic_median,0.5028481516238906,1.9999351063642787
17931M71P00000,9.0,15.462225867880495,6.998205770103873,1.1663676283506454,4.333333333333333,77.75784189004304,0.2691617603886105,recurring_a,candidate_01,0.5000150195420335,1.9999999981953067
