sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score
7246073R00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,119.73940529931129,107.17583963202154,116.0,129.57151950975606,124.323973973145,13.571519509756069,75,162,20,119.73940529931129
7246079P00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,153.04911486233638,131.18596102410103,116.0,231.27793277693377,152.1757147879572,115.27793277693378,85,162,120,153.04911486233638
72460M60M00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,107.36718134199236,111.48798199700332,94.0,156.53659271452693,104.79870307718312,62.53659271452692,76,162,74,107.36718134199236
72520M68P02000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,132.36486406333628,92.46127358235324,158.0,180.4400476197683,146.08881226011812,22.440047619768297,92,162,121,132.36486406333628
7252261M00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,119.66904570335193,334.1273209703006,22.0,61.88659190817652,73.50801061346614,39.88659190817651,15,162,0,119.66904570335193
72821M76MA0000,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,116.1519130259535,139.2735929946445,127.0,162.95696907788195,176.87746310319852,35.95696907788198,63,162,94,116.1519130259535
7283165D10000,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,107.43495506473904,2521.519809026727,1.0,24.37248137940204,25.215198090267272,23.37248137940204,1,162,0,107.43495506473904
7283181A01000,07_clean_regression,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,101.0703190513751,107.51123158247528,33.0,2.869555015615356,35.478706422216845,-30.13044498438465,13,162,0,101.0703190513751
7287078A33000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,126.59889086400491,171.29043200465256,80.0,87.65896752389605,137.03234560372204,7.658967523896067,31,162,0,126.59889086400491
73111M62S515PK,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,143.27538196084424,120.3283090439053,103.0,173.45838676022447,123.93815831522248,70.45838676022449,79,162,106,143.27538196084424
73310M68P61C8J,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,163.22476963277992,131.12285950796027,168.0,341.7887374662479,220.28640397337327,173.78873746624788,100,162,155,163.22476963277992
73310M68P61GJL,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,204.41728715384116,180.51948000484305,127.0,290.93993085205585,229.25973960615065,163.93993085205585,64,162,132,204.41728715384116
73410M74L105PK,07_clean_regression,direct_xgboost_tweedie,Direct XGBoost Tweedie,114.73735218832708,182.4456845047687,26.0,30.969810619525735,47.43587797123986,4.969810619525736,26,162,0,114.73735218832708
73412M53M10U3J,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,148.20922803788878,148.60816668170173,99.0,105.01855516764287,147.1220850148847,6.018555167642878,44,162,12,148.20922803788878
7343061J00R8H,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,131.40444954710642,125.34313545474186,114.0,156.23484135426838,142.8911744184057,42.23484135426838,67,162,79,131.40444954710642
7361052R005PK,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,155.27121148482968,304.8467518002895,49.0,113.46951682015484,149.37490838214185,64.46951682015482,11,157,60,155.27121148482968
7361075H015PK,07_clean_regression,direct_xgboost_tweedie,Direct XGBoost Tweedie,100.13958610767143,106.77143775550806,348.0,24.690030140423467,371.564603389168,-323.30996985957654,6,162,0,100.13958610767143
73610M68P00C48,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,117.58692228495644,92.531781930995,172.0,251.37280992994465,159.1546649213114,79.37280992994462,99,162,146,117.58692228495644
73630M76M01GJL,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,123.55169769507155,175.23540730664848,54.0,79.45430129441263,94.62711994559018,25.454301294412623,40,162,0,123.55169769507155
73820M55R60PSG,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,138.3243312695311,340.4355797828323,25.0,84.61042138157686,85.10889494570807,59.61042138157686,23,162,0,138.3243312695311
7382273R505PK,07_clean_regression,direct_hist_poisson,Direct Hist Gradient Poisson,111.2677314675258,149.85462103986276,40.0,24.88421380912725,59.9418484159451,-15.115786190872756,16,162,0,111.2677314675258
7382276J00ZCP,07_clean_regression,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,101.91973901864208,120.5087005086774,34.0,8.178543287440167,40.97295817295032,-25.82145671255983,14,162,0,101.91973901864208
73841M68P60C8J,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,212.50097844511643,177.38369347206088,143.0,376.90462732403336,253.65868166504708,233.90462732403336,91,162,155,212.50097844511643
73841M68P60GJL,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,269.80556587616104,198.67148109022568,134.0,371.4113557838009,266.2197846609024,237.41135578380084,80,162,147,269.80556587616104
73910M68P01000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,136.1111030979774,112.27502291838267,144.0,248.44084492467945,161.67603300247106,104.44084492467944,90,162,135,136.1111030979774
74120M74LA0000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,105.25127915378468,111.22981568782323,147.0,133.23750989752236,163.50782906110015,-13.762490102477646,72,162,39,105.25127915378468
74120M79G00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,194.7185368571733,224.3575270131714,92.0,233.0521539573698,206.40892485211768,141.0521539573698,46,162,122,194.7185368571733
74461M74L00V6N,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,104.93093893812596,89.61932513225896,242.0,177.82906069415384,216.8787668200667,-64.17093930584615,100,162,109,104.93093893812596
74461M76M00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,82.76145342013703,77.65882903253934,283.0,202.78720554805824,219.7744861620864,-80.21279445194178,113,162,152,82.76145342013703
75110M76T60R3F,07_clean_regression,direct_xgboost_tweedie,Direct XGBoost Tweedie,82.2102117580552,197.41008652754104,52.0,92.00632529975844,102.65324499432134,40.00632529975841,31,127,15,82.2102117580552
75139M70F005PK,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,102.75244932280194,131.2168330782337,172.0,110.245693436455,225.692952894562,-61.75430656354502,23,93,58,102.75244932280194
75430M76M00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,137.2772226171831,101.4318584696592,124.0,181.5724520783276,125.7755045023774,57.57245207832759,95,162,100,137.2772226171831
75463M75J00000,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,122.28971484653653,167.3911062291165,64.0,121.32857713571,107.13030798663456,57.328577135710006,53,162,9,122.28971484653653
75463M79G00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,143.97727973781596,219.2984852222616,52.0,122.9420003335057,114.03521231557602,70.94200033350572,44,162,50,143.97727973781596
7552171L00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,167.36032082189988,121.19388524753998,144.0,225.61538521844275,174.51919475645758,81.61538521844275,95,162,113,167.36032082189988
7594165J00000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,143.77934126411114,121.77114804489982,103.0,174.9938818299843,125.4242824862468,71.9938818299843,82,162,84,143.77934126411114
7615181A01P4Z,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,111.33975201370224,121.42269546513616,132.0,76.63744877101688,160.27795801397974,-55.36255122898312,53,162,0,111.33975201370224
7615181A01T01,07_clean_regression,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,100.13339517811129,106.69196722454816,48.0,3.3450782013879525,51.21214426778312,-44.65492179861205,6,162,0,100.13339517811129
76237M70F005PK,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,110.15878811724116,150.07015921043242,146.0,86.40601544180649,219.1024324472313,-59.5939845581935,14,162,1,110.15878811724116
76295M53M10P4Z,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,127.31341636508807,189.4455480016549,41.0,60.50931970134396,77.67267468067851,19.509319701343948,33,162,0,127.31341636508807
