sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,selection_score
4325261J0027S,hist_poisson_lr02_nodes15_reg30,Hist Poisson lr02 nodes15 reg30,3,54,16.0,24.716159338759606,35.243476804820304,8.71615933875961,220.2717300301269,114.00153596186487,114.85902106983421,14,5,54,0,779,fit,True,114.00153596186487
4325261J0027S,hist_poisson_lr03_nodes15_reg20,Hist Poisson lr03 nodes15 reg20,4,72,22.0,40.66275900764158,53.226569384865,18.662759007641583,241.93895174938635,121.61078653316441,127.67359110725965,22,8,72,0,778,fit,True,121.61078653316441
4325261J0027S,hist_poisson_lr05_nodes31_reg05,Hist Poisson lr05 nodes31 reg05,4,72,34.0,23.80905942878814,53.103910337938714,-10.190940571211858,156.18797158217268,111.18978542265158,108.89823789047246,22,8,72,0,778,fit,True,111.18978542265158
4325261J0027S,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,1,18,10.0,6.038558083318686,16.038558083318687,-3.9614419166813137,160.38558083318688,100.0,100.0,5,2,4,4,729,fit_hurdle_rf,True,100.0
4325261J0027S,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,2,36,14.0,21.454569641880514,30.487517937515843,7.454569641880516,217.76798526797032,139.0781742074836,161.15669453993422,11,4,16,16,761,fit_hurdle_rf,True,139.0781742074836
4325261J0027S,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,9,162,52.0,4.656304106325635,56.656304106325635,-47.343695893674365,108.95443097370314,104.9190618982534,100.0,48,17,3,3,779,fit_hurdle_rf,True,104.9190618982534
4325261J0027S,hurdle_xgb_thr10,Hurdle XGBoost threshold 0.10,2,36,12.0,42.96392676593523,47.043877656720525,30.963926765935227,392.03231380600437,133.15461659174744,113.9547211331747,8,3,18,18,779,fallback_hist_hurdle_xgboost_missing,True,133.15461659174744
4325261J0027S,hurdle_xgb_thr20,Hurdle XGBoost threshold 0.20,2,36,12.0,42.96392676593523,47.043877656720525,30.963926765935227,392.03231380600437,133.15461659174744,113.9547211331747,8,3,18,18,779,fallback_hist_hurdle_xgboost_missing,True,133.15461659174744
4325261J0027S,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,9,162,52.0,16.95519699863866,68.95519699863866,-35.044803001361345,132.6061480743051,103.75568451440195,100.0,48,17,6,6,779,fallback_hist_hurdle_xgboost_missing,True,103.75568451440195
4325261J0027S,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,1,18,10.0,6.629234189470183,15.21868078469069,-3.370765810529817,152.1868078469069,108.55682346701727,104.06266421120608,5,2,18,0,729,fit,True,108.55682346701727
4325261J0027S,rf_log1p_leaf4_sqrt,Random Forest log1p leaf4 sqrt,5,90,26.0,37.054997259474625,56.09794258209878,11.054997259474622,215.76131762345688,118.68006799184397,121.05172437959419,28,10,90,0,778,fit,True,118.68006799184397
4325261J0027S,rf_log1p_leaf8_sqrt,Random Forest log1p leaf8 sqrt,7,126,44.0,47.5591249334803,83.0342025171652,3.559124933480302,188.7140966299209,115.74242491771135,117.70616764936585,37,13,126,0,779,fit,True,115.74242491771135
4325261J0027S,xgb_tweedie_depth2_reg10,XGBoost Tweedie depth2 reg10,9,162,52.0,75.90330454641307,111.64359249172048,23.903304546413054,214.6992163302317,118.73903753128764,117.93256967937879,48,17,162,0,779,fallback_hist_poisson_xgboost_missing,True,118.73903753128764
4325261J0027S,xgb_tweedie_depth2_reg20_cap15,XGBoost Tweedie depth2 reg20 cap15,1,18,10.0,13.171466485514012,20.04739706194445,3.1714664855140136,200.47397061944451,115.3361970566641,110.52071758022079,5,2,18,0,729,fallback_hist_poisson_xgboost_missing,True,115.3361970566641
4325261J0027S,xgb_tweedie_depth3_reg5,XGBoost Tweedie depth3 reg5,1,18,10.0,13.171466485514012,20.04739706194445,3.1714664855140136,200.47397061944451,115.3361970566641,110.52071758022079,5,2,18,0,729,fallback_hist_poisson_xgboost_missing,True,115.3361970566641
4325261J0027S,xgb_tweedie_depth4_reg5,XGBoost Tweedie depth4 reg5,1,18,10.0,13.171466485514012,20.04739706194445,3.1714664855140136,200.47397061944451,115.3361970566641,110.52071758022079,5,2,18,0,729,fallback_hist_poisson_xgboost_missing,True,115.3361970566641
