sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
8228061810000,recent_mean_6,Recent Mean 6m,9,162,26.0,33.0,48.33333333333333,6.999999999999998,185.89743589743588,115.75520833333334,116.66666666666667,64,25,144,0,True,115.75520833333334,mean_rolling_3m_wmape_percent,26.923076923076913,100_to_200,under_200
7343061J00R8H,sba_croston,SBA Croston,9,162,114.0,98.22015934440849,131.00793486505205,-15.779840655591528,114.91924110969478,115.76455081105154,116.08187134502923,129,67,162,0,True,115.76455081105154,mean_rolling_3m_wmape_percent,-13.84196548736099,100_to_200,under_200
7821565J105PK,sba_croston,SBA Croston,9,162,116.0,60.05193665383861,146.35577652468152,-55.94806334616139,126.16877286610476,115.79100000850524,116.0493827160494,101,42,162,0,True,115.79100000850524,mean_rolling_3m_wmape_percent,-48.23108909151844,100_to_200,under_200
82510M53M00000,sba_croston,SBA Croston,9,162,59.0,75.48334600627001,90.6854002626483,16.48334600627,153.70406824177678,115.80033846786509,144.69775801721693,93,47,162,0,True,115.80033846786509,mean_rolling_3m_wmape_percent,27.937874586898307,100_to_200,under_200
8480254P446GS,tsb,TSB,9,162,43.0,51.36589724248846,71.33739853346646,8.365897242488458,165.900926822015,115.82677057979271,120.0871107659147,84,36,162,0,True,115.82677057979271,mean_rolling_3m_wmape_percent,19.4555749825313,100_to_200,under_200
82510M60M51000,sba_croston,SBA Croston,9,162,76.0,80.5457022628553,97.0547996991446,4.545702262855299,127.70368381466393,115.92572399927498,127.42382271468145,123,59,162,0,True,115.92572399927498,mean_rolling_3m_wmape_percent,5.981187187967499,100_to_200,under_200
84511M68K00000,seasonal_sba_croston,Seasonal SBA Croston,9,162,51.0,81.57435745538582,82.02272859079704,30.574357455385833,160.82887958979813,115.98524341622526,123.50473866882088,98,47,162,18,True,115.98524341622526,mean_rolling_3m_wmape_percent,59.94972050075654,100_to_200,under_200
83101M53M10GCY,tsb,TSB,9,162,24.0,29.045095831489718,45.686887156587524,5.045095831489715,190.3620298191147,116.09753457249093,117.81258811186859,51,18,162,0,True,116.09753457249093,mean_rolling_3m_wmape_percent,21.021232631207145,100_to_200,under_200
3641075F01000,sba_croston,SBA Croston,9,162,80.0,67.01517815693234,107.84765741796826,-12.984821843067653,134.80957177246032,116.10344126591592,121.7270658811118,96,47,162,0,True,116.10344126591592,mean_rolling_3m_wmape_percent,-16.231027303834566,100_to_200,under_200
72330M74L005PK,sba_croston,SBA Croston,9,162,46.0,73.83251948177397,88.0027961616144,27.832519481773975,191.31042643829218,116.16307275244085,142.4931772590067,78,34,162,0,True,116.16307275244085,mean_rolling_3m_wmape_percent,60.50547713429125,100_to_200,under_200
