sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
68001M53M50000,sba_croston,SBA Croston,9,162,49.0,76.99853431940969,86.0316895723275,27.9985343194097,175.57487667821937,133.5288781684791,147.12500000000003,107,42,162,0,True,133.5288781684791,mean_rolling_3m_wmape_percent,57.139865957978984,100_to_200,under_200
11620M67P00000,sba_croston,SBA Croston,9,162,38.0,89.82381816865839,102.87989703626579,51.823818168658384,270.73657114806787,133.60361064635396,153.9034661483641,57,23,162,0,True,133.60361064635396,mean_rolling_3m_wmape_percent,136.37846886489046,100_to_200,under_200
39322M56R00000,sba_croston,SBA Croston,9,162,33.0,81.16007289766233,83.55014416530607,48.16007289766233,253.182255046382,133.73509183031575,147.04618689581096,80,31,162,0,True,133.73509183031575,mean_rolling_3m_wmape_percent,145.939614841401,100_to_200,under_200
7822565J105PK,sba_croston_tuned,SBA Croston Tuned,9,162,25.0,57.3819545034131,62.82004043277787,32.3819545034131,251.28016173111146,134.05873718192032,127.98403265072321,69,25,162,0,True,134.05873718192032,mean_rolling_3m_wmape_percent,129.5278180136524,100_to_200,under_200
7211281A005PK,sba_croston,SBA Croston,9,162,100.0,92.08115979597036,148.41622949454234,-7.918840204029648,148.41622949454234,134.08402011130838,150.5703208405911,103,38,162,0,True,134.08402011130838,mean_rolling_3m_wmape_percent,-7.918840204029648,100_to_200,under_200
43110M75J80000-OP,sba_croston,SBA Croston,9,162,40.0,86.65162708719852,106.24370995670995,46.651627087198506,265.6092748917749,134.39794367386204,132.312925170068,63,26,126,0,True,134.39794367386204,mean_rolling_3m_wmape_percent,116.62906771799626,100_to_200,under_200
0940909309000,tsb,TSB,9,162,39.0,81.92421724301512,104.98848938155521,42.92421724301511,269.20125482450055,135.80999980377433,123.5263703869729,44,16,162,0,True,135.80999980377433,mean_rolling_3m_wmape_percent,110.06209549491054,100_to_200,under_200
72111M8450009E,sba_croston,SBA Croston,9,162,61.0,104.60258475421972,121.10147542618544,43.602584754219734,198.52700889538596,137.46337216803798,151.67464114832535,97,36,162,0,True,137.46337216803798,mean_rolling_3m_wmape_percent,71.47964713806513,100_to_200,under_200
73412M53M10U3J,sba_croston,SBA Croston,9,162,99.0,84.30103918260178,137.4246968246661,-14.698960817398202,138.8128250754203,137.51546073944235,151.0924369747899,113,44,162,0,True,137.51546073944235,mean_rolling_3m_wmape_percent,-14.847435169089092,100_to_200,under_200
11620M65L10000,sba_croston,SBA Croston,9,162,60.0,147.8349988198923,132.49043683289347,87.83499881989229,220.8173947214891,137.73621196695427,181.31687242798353,83,41,162,36,True,137.73621196695427,mean_rolling_3m_wmape_percent,146.3916646998205,100_to_200,under_200
1793165D00000,sba_croston,SBA Croston,9,162,47.0,75.25478867367966,90.61629089647798,28.25478867367967,192.80061892867656,138.53403084837936,144.79999999999998,89,35,162,0,True,138.53403084837936,mean_rolling_3m_wmape_percent,60.11657164612696,100_to_200,under_200
81850M79G20000,sba_croston,SBA Croston,9,162,267.0,129.53094048494967,298.9616336027498,-137.46905951505033,111.97064928941941,139.20425161208263,100.0,154,97,72,72,True,139.20425161208263,mean_rolling_3m_wmape_percent,-51.48653914421361,100_to_200,under_200
35604M84400000,sba_croston,SBA Croston,9,162,77.0,136.12498776447268,178.50539921085687,59.12498776447268,231.82519378033356,139.67703027081362,137.79999999999998,53,22,162,0,True,139.67703027081362,mean_rolling_3m_wmape_percent,76.78569839541906,100_to_200,under_200
4325251K20DB7,sba_croston,SBA Croston,9,162,85.0,130.553343331556,163.67331596613963,45.55334333155598,192.55684231310545,139.73195581530064,120.00586419753087,86,32,162,0,True,139.73195581530064,mean_rolling_3m_wmape_percent,53.592168625359974,100_to_200,under_200
8143061A00000,tsb,TSB,9,162,74.0,97.32429888705947,160.92422662563482,23.32429888705948,217.46517111572274,139.82222184402005,120.29047536097207,22,8,162,18,True,139.82222184402005,mean_rolling_3m_wmape_percent,31.51932282035065,100_to_200,under_200
