sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,selection_score,selection_metric,bias_percent,wmape_band
77141M55T000CB,sba_croston_tuned,SBA Croston Tuned,9,159,155.0,108.26896212886999,140.66012229300694,-46.73103787113002,90.74846599548835,103.19055934138504,100.0,155,93,108,36,True,103.19055934138504,mean_rolling_3m_wmape_percent,-30.149056691051626,100_to_200
77141M55T000CB,seasonal_sba_croston,Seasonal SBA Croston,9,159,155.0,108.26896212886999,140.490677686782,-46.73103787113002,90.63914689469806,103.20420716789867,100.0,155,93,108,46,True,103.20420716789867,mean_rolling_3m_wmape_percent,-30.149056691051626,100_to_200
77141M55T000CB,boosted_sba_hybrid,Boosted SBA Hybrid,9,159,155.0,126.8994334384915,150.18137083526244,-28.100566561508487,96.8912069904919,113.7225217512422,100.0,155,93,108,72,True,113.7225217512422,mean_rolling_3m_wmape_percent,-18.129397781618376,100_to_200
77141M55T000CB,recent_mean_6,Recent Mean 6m,9,159,155.0,144.0,178.33333333333331,-11.0,115.05376344086021,139.42037890424984,100.0,155,93,108,54,True,139.42037890424984,mean_rolling_3m_wmape_percent,-7.096774193548387,100_to_200
77141M55T000CB,tsb,TSB,9,159,155.0,179.28116448331272,180.1993852957172,24.281164483312715,116.25766793272079,147.23948417327065,100.0,155,93,108,90,True,147.23948417327065,mean_rolling_3m_wmape_percent,15.665267408588848,100_to_200
77141M55T000CB,hurdle_random_forest,Hurdle Random Forest,9,159,155.0,281.7265002978914,219.3199298375678,126.72650029789136,141.4967289274631,191.322474210873,130.62741952989526,155,93,159,156,True,191.322474210873,mean_rolling_3m_wmape_percent,81.75903245025249,100_to_200
77146M50S000CB,sba_croston,SBA Croston,9,162,89.0,85.34544910230154,94.2629140845745,-3.654550897698452,105.91338661188148,113.47049998498643,117.01323251417769,150,76,162,0,True,113.47049998498643,mean_rolling_3m_wmape_percent,-4.106236963706126,100_to_200
77146M50S000CB,seasonal_sba_croston,Seasonal SBA Croston,9,162,89.0,128.27344510520612,111.46211338640533,39.2734451052061,125.23832964764644,134.13268882282873,130.15388714822623,150,76,162,42,True,134.13268882282873,mean_rolling_3m_wmape_percent,44.127466410343935,100_to_200
77146M50S000CB,sba_croston_tuned,SBA Croston Tuned,9,162,89.0,128.27344510520612,111.66025893949306,39.27344510520611,125.460965100554,134.7505524558877,132.01033640332514,150,76,162,36,True,134.7505524558877,mean_rolling_3m_wmape_percent,44.12746641034394,100_to_200
77146M50S000CB,boosted_sba_hybrid,Boosted SBA Hybrid,9,162,89.0,167.7608981253278,134.02087756303646,78.76089812532778,150.585255688805,164.4558776457633,135.45877417557583,150,76,162,72,True,164.4558776457633,mean_rolling_3m_wmape_percent,88.49539115205368,100_to_200
77146M50S000CB,recent_mean_6,Recent Mean 6m,9,162,89.0,179.99999999999997,141.33333333333331,90.99999999999997,158.8014981273408,174.1111111111111,144.44444444444446,150,76,162,72,True,174.1111111111111,mean_rolling_3m_wmape_percent,102.24719101123591,100_to_200
77146M50S000CB,hurdle_random_forest,Hurdle Random Forest,9,162,89.0,222.43242385752814,157.09840130099622,133.43242385752814,176.51505764156877,202.36032073613842,148.00870037718727,150,76,162,153,True,202.36032073613842,mean_rolling_3m_wmape_percent,149.92407175003163,over_200
77146M50S000CB,tsb,TSB,9,162,89.0,230.47303085144438,167.40343928185513,141.47303085144435,188.09375200208441,209.67741222438028,169.86638000942443,150,76,162,108,True,209.67741222438028,mean_rolling_3m_wmape_percent,158.95846163083635,over_200
77146M50S000CB,aggregate_allocation,Aggregate Allocation,9,162,89.0,242.5540565481353,171.98782416755495,153.55405654813532,193.2447462556797,220.36033151635314,200.65359521565162,150,76,162,153,True,220.36033151635314,mean_rolling_3m_wmape_percent,172.5326478068936,over_200
77171M68L00000,tsb,TSB,9,162,36.0,52.36505841205693,67.02425287599533,16.365058412056925,186.17848021109816,120.73040473438638,121.26693296513076,77,31,162,0,True,120.73040473438638,mean_rolling_3m_wmape_percent,45.45849558904701,100_to_200
77171M68L00000,recent_mean_6,Recent Mean 6m,9,162,36.0,57.0,69.0,20.999999999999996,191.66666666666666,122.54689754689755,125.0,77,31,144,0,True,122.54689754689755,mean_rolling_3m_wmape_percent,58.33333333333332,100_to_200
77171M68L00000,sba_croston,SBA Croston,9,162,36.0,70.84041117347654,79.40101346282827,34.840411173476525,220.55837073007854,128.69865691317048,142.0952380952381,77,31,162,0,True,128.69865691317048,mean_rolling_3m_wmape_percent,96.77891992632368,100_to_200
77171M68L00000,sba_croston_tuned,SBA Croston Tuned,9,162,36.0,66.34165281765245,75.32281749660329,30.341652817652434,209.2300486016758,129.04635574461147,135.99351775509626,77,31,162,18,True,129.04635574461147,mean_rolling_3m_wmape_percent,84.28236893792342,100_to_200
77171M68L00000,seasonal_sba_croston,Seasonal SBA Croston,9,162,36.0,66.34165281765245,75.53674375687366,30.341652817652434,209.82428821353795,129.61003557072692,134.67570531225172,77,31,162,18,True,129.61003557072692,mean_rolling_3m_wmape_percent,84.28236893792342,100_to_200
77171M68L00000,hurdle_random_forest,Hurdle Random Forest,9,162,36.0,104.0178394159564,99.91328354048568,68.0178394159564,277.5368987235713,145.25759794149738,157.80402216043956,77,31,160,0,True,145.25759794149738,mean_rolling_3m_wmape_percent,188.93844282210114,100_to_200
77171M68L00000,aggregate_allocation,Aggregate Allocation,9,162,36.0,115.69507216776,106.48484012177,79.69507216776,295.79122256047225,149.67463979661954,165.20505779038535,77,31,162,15,True,149.67463979661954,mean_rolling_3m_wmape_percent,221.375200466,100_to_200
77171M68L00000,boosted_sba_hybrid,Boosted SBA Hybrid,9,162,36.0,88.22423724783317,92.77701829975737,52.22423724783317,257.71393972154823,152.1266108183981,143.0925078462047,77,31,162,18,True,152.1266108183981,mean_rolling_3m_wmape_percent,145.06732568842548,100_to_200
77181M68K005PK,sba_croston,SBA Croston,9,162,68.0,61.92349554421749,100.2109469592935,-6.07650445578251,147.36903964601984,107.02889504315516,113.18417159763312,86,42,162,0,True,107.02889504315516,mean_rolling_3m_wmape_percent,-8.936035964386045,100_to_200
77181M68K005PK,recent_mean_6,Recent Mean 6m,9,162,68.0,198.0,177.66666666666666,130.0,261.27450980392155,197.57221299372463,141.66666666666666,86,42,162,72,True,197.57221299372463,mean_rolling_3m_wmape_percent,191.1764705882353,100_to_200
77181M68K005PK,sba_croston_tuned,SBA Croston Tuned,9,162,68.0,202.2706124811848,187.46668621582904,134.2706124811848,275.6863032585721,205.62443422532348,146.80599989764977,86,42,162,90,True,205.62443422532348,mean_rolling_3m_wmape_percent,197.45678306056587,over_200
77181M68K005PK,seasonal_sba_croston,Seasonal SBA Croston,9,162,68.0,202.2706124811848,187.5102370556484,134.2706124811848,275.75034861124766,209.69440176432937,151.98587669855914,86,42,162,90,True,209.69440176432937,mean_rolling_3m_wmape_percent,197.45678306056587,over_200
77181M68K005PK,hurdle_random_forest,Hurdle Random Forest,9,162,68.0,295.99312849736054,247.55168726367282,227.99312849736054,364.0465989171659,242.17049119706496,185.04087380738062,86,42,162,147,True,242.17049119706496,mean_rolling_3m_wmape_percent,335.28401249611846,over_200
77181M68K005PK,boosted_sba_hybrid,Boosted SBA Hybrid,9,162,68.0,259.37995491737206,233.45785376559505,191.37995491737206,343.3203731846986,265.9294864292149,184.48219173073784,86,42,162,90,True,265.9294864292149,mean_rolling_3m_wmape_percent,281.44111017260593,over_200
