model,demand_type,sku_id,sku_wmape
xgboost,smooth,57711M55T00000,0.7755025227864584
xgboost,smooth,57711M56R10000,15.036253495649857
xgboost,smooth,57711M62S00000,2.068777084350586
xgboost,smooth,57711M68P20000,24.49677207253196
xgboost,smooth,57711M68P30000,7.7416737874348955
xgboost,smooth,57711M71P10000,21.137585639953613
xgboost,smooth,57711M81R00000,12.312251329421997
xgboost,smooth,58111M53M00000,4.1085124015808105
xgboost,smooth,5820078R00000,7.709503173828125
xgboost,smooth,5822065J00000,1.9008278846740723
xgboost,smooth,58230M50S30000,2.484595775604248
xgboost,smooth,58230M53MB0000,
xgboost,smooth,58230M55R01000,33.17732810974121
xgboost,smooth,58230M55T00000,7.552611827850342
xgboost,smooth,58230M68P11000,6.994994481404622
xgboost,smooth,58230M74L00000,4.71754941073331
xgboost,smooth,58230M76M00000,43.748271465301514
xgboost,smooth,5827054P00000,20.965194702148438
xgboost,smooth,5827071L01000,
xgboost,smooth,5827079P00000,37.189435958862305
xgboost,smooth,5827079S00000,7.097520828247069
xgboost,smooth,5827086R00000,5.267387628555298
xgboost,smooth,58270M55R00000,17.592099996713493
xgboost,smooth,58270M55T00000,18.82725715637207
xgboost,smooth,58270M56R00000,14.500188827514648
xgboost,smooth,58270M62S00000,4.070091247558594
xgboost,smooth,58270M62S10000,10.40351390838623
xgboost,smooth,58270M68P10000,17.268552780151367
xgboost,smooth,58270M74L00000,103.52762540181477
xgboost,smooth,58270M76MA0000,12.129414081573486
xgboost,smooth,58270M79M00000,
xgboost,smooth,58271M81R00000,5.253922939300537
xgboost,smooth,5881178R00000,24.638140201568604
xgboost,smooth,64111M68PB0P31,15.448558330535889
xgboost,smooth,64511M68PB0P31,141.63873195648193
xgboost,smooth,65400M62S10000,2.108144760131836
xgboost,smooth,6550080S00000,76.84986591339111
xgboost,smooth,65500M55R00000,45.133892695109054
xgboost,smooth,65500M56R00000,0.0009632110595703125
xgboost,smooth,65500M68P10000,7.555212293352399
xgboost,smooth,65500M74L00000,
xgboost,smooth,6556061MA1000,4.500621557235718
