sku_id,variant,demand_type,model,wmape_percent,abs_error_sum,abs_actual_sum
57410M62S00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.93845828374227,27.87230622768402,45.0
57410M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.25587075795883,23.499789595603943,39.0
57410M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.21994078159332,16.243988156318665,20.0
57410M79G00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,78.2384199400743,18.77722078561783,24.0
5742054P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.76013858751817,16.227230489253998,22.0
57420M62S00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.20996383103457,24.732384085655212,44.0
57420M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.18272542953491,14.651063323020935,17.0
57420M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,96.25457184655326,33.68910014629364,35.0
57420M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,82.48920189706904,15.672948360443115,19.0
57420M79G00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,108.87779176235199,21.775558352470398,20.0
5761065J10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.22976437211037,42.387049198150635,64.0
5761154P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,100.55230820880216,17.09389239549637,17.0
57611M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,108.64508612589403,23.901918947696686,22.0
57611M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,39.89586894328777,103.72925925254822,260.0
57611M67P01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.80845192500524,30.38295817375183,35.0
57611M75T10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.0259809961506,34.183250308036804,51.0
5771065J10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.34339618682861,29.337358474731445,40.0
57711M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,91.34905877567473,19.183302342891693,21.0
57711M67P01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.55272556486584,23.332144737243652,42.0
57711M68K10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,77.20987745693752,27.02345710992813,35.0
57711M71P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.21708902007057,17.47558869421482,21.0
57711M75T10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,96.76821444715772,67.7377501130104,70.0
57711M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.32774997401882,45.382534980773926,74.0
58121M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.30311551548186,13.92365425825119,21.0
58200M80T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.17082671630078,28.1466224193573,39.0
5823052R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,70.9554597735405,19.86752873659134,28.0
58230M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,92.07494421438737,20.256487727165222,22.0
58230M62S00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.3228703374448,16.634260177612305,23.0
58230M68K01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.67239916324615,22.308271765708923,28.0
5826077K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.22153638971263,33.188491106033325,58.0
58270M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.348481398362374,23.535907745361328,39.0
58270M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,132.0229831494783,25.08436679840088,19.0
58270M76M01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.9119203658331,34.4030065536499,42.0
58280M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.08247780799866,20.183093786239624,28.0
58811M78R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.61519069420663,32.91377246379852,38.0
65500M55T10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,68.56592075769291,58.966691851615906,86.0
65561M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,46.98693626805356,17.85503578186035,38.0
68001M55T20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,48.217520158584804,35.19878971576691,73.0
68001M62S12000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.14817575307993,22.91852569580078,26.0
68002M55T20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.07222529018625,56.161391496658325,85.0
69100M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.8854366030012,26.909902811050415,35.0
69100M67P10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.70670786831114,11.827207416296005,18.0
71079M74T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,111.9252895867383,30.219828188419342,27.0
7171064R00ZQ4,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.44909471705339,38.949875354766846,69.0
7171154L10799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,110.17399744855032,19.83131954073906,18.0
7171161P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,82.64330656904923,31.40445649623871,38.0
7171178R015PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,52.54189619651207,34.15223252773285,65.0
7171179P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,42.56436727484878,20.856539964675903,49.0
71711M53MA05PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,90.18165890512795,26.152681082487106,29.0
71711M53MA0799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,104.25769053399563,16.6812304854393,16.0
71711M53MB05PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,127.09617668932134,27.961158871650696,22.0
71711M56R00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.247388488944914,48.06522798538208,87.0
71711M62S005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,27.22801430390613,55.00058889389038,202.0
71711M66L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,133.45081262728746,22.68663814663887,17.0
71711M67P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.87739745582023,34.38973295688629,41.0
71711M68K00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,77.10696399211884,30.842785596847534,40.0
71711M73T115PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.11217427371752,61.7232960164547,101.0
71711M74L00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.71782129368884,31.827376008033752,47.0
71711M75L00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.8340782225132,23.306905031204224,32.0
71711M76M10799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.66807436943054,37.8941216468811,56.0
71711M76T00N49,all_sku_history,erratic,chronos_2_erratic_features_plus_external,46.70231860192096,56.97682869434357,122.0
