sku_id,suzuki_model,mapping_method
71711M76M10799,,unmapped
7173263J20000,,unmapped
7174054L10D2W,,unmapped
71740M55T10C48,,unmapped
71741M53M005PK,,unmapped
71761M52R105PK,,unmapped
71811M75T00799,,unmapped
7232171L00000,,unmapped
7619171L005PK,,unmapped
81850M68K00000,,unmapped
84701M68P31ZHJ,,unmapped
84703M79M02000,,unmapped
84730M74LC0000,,unmapped
84740M74LE0000,,unmapped
71711M68K00799,,unmapped
71732M53M00000,,unmapped
71734M55T00000,,unmapped
7175186R000PG,,unmapped
71761M74T20ZAM,,unmapped
7177186R000PG,,unmapped
71811M76M00799,,unmapped
7182280J00000,,unmapped
71822M68K00000,,unmapped
72322M74L00000,,unmapped
3512071L20000,,unmapped
35651M75L00000,,unmapped
35670M74L00000,,unmapped
36410M67K00000,,unmapped
68002M55T20000,,unmapped
7171064R00ZQ4,,unmapped
71711M75L00799,,unmapped
71761M68K105PK,,unmapped
7726054P005PK,,unmapped
84701M74LC15PK,,unmapped
8472852R20ZVR,,unmapped
84730M67P10000,,unmapped
0924616021000,,unmapped
58200M80T00000,,unmapped
7174079P00C48,,unmapped
84701M55TB0ZHJ,,unmapped
11620M53M00000,,unmapped
43250M75T0027N,,unmapped
71711M76T00N49,,unmapped
71745M75T10000,,unmapped
83926M68P000CB,,unmapped
84511M76M10000,,unmapped
8470171LVAZMT,,unmapped
35321M74L01000,,unmapped
43210M75T60QC8,,unmapped
71711M56R00799,,unmapped
71822M55T00000,,unmapped
83924M62S000CB,,unmapped
35300M74TB1000,,unmapped
71741M75T00W9K,,unmapped
77330M81R00000,,unmapped
71711M73T115PK,,unmapped
84740M67P10000,,unmapped
57611M75T10000,,unmapped
71821M75T00000,,unmapped
35321M55T53000,,unmapped
71740M76T10KDJ,,unmapped
84702M53M205PK,,unmapped
71811M74T00799,,unmapped
58270M75T00000,,unmapped
57711M68K10000,,unmapped
09409M07355000,,unmapped
57711M75T10000,,unmapped
77210M74T005PK,,unmapped
71811M80T105PK,,unmapped
7171178R015PK,JIMNY,description_keyword_exact
71771M76T00PER,,unmapped
84511M75T10000,,unmapped
71734M74T00000,,unmapped
58811M78R00000,,unmapped
71782M75T00000,,unmapped
35750M75T00000,,unmapped
01550M0835A000,,unmapped
021420412A000,,unmapped
083144012A000,,unmapped
0914012050000,,unmapped
09150M06010000,,unmapped
0926225187000,,unmapped
0928044008000,,unmapped
0928344015000,,unmapped
09321M10023000,,unmapped
0940307407000,,unmapped
09409073085PK,,unmapped
09409M06314000,,unmapped
1124165H02000,,unmapped
1161058MA0000,,unmapped
1161061PA0000,,unmapped
1161080GA1000,,unmapped
1161084000000,,unmapped
11610M55RA1000,,unmapped
1162057L00000,,unmapped
1162062R00000,,unmapped
11620M68P61000,,unmapped
11620M74LC0000,,unmapped
11649M79F00000,,unmapped
11651M76M20000,,unmapped
1171057L10000,,unmapped
1171060A01000,,unmapped
1171065J10000,,unmapped
1171078F01000,,unmapped
1171078F11000,,unmapped
1171080J00000,,unmapped
1171081A01000,,unmapped
11710M67P00000,,unmapped
1191067R10000,,unmapped
11910M68P11000,,unmapped
11910M69P01000,,unmapped
13175M68K00000,,unmapped
1376561M00000,,unmapped
13766M68K50000,,unmapped
14190M68PA0000,,unmapped
1428184A00000,,unmapped
14300M68PA0000,,unmapped
15812M68P01000,,unmapped
15910M84381000,,unmapped
1710060R00000,,unmapped
17100M60M00000,,unmapped
