demand_type,date,model,actual,forecast
smooth,2025-10-01,Internal + external,5868.0,9439.784708861713
smooth,2025-10-01,Internal only,5868.0,9511.043736615617
smooth,2025-11-01,Internal + external,5065.0,6733.40063528032
smooth,2025-11-01,Internal only,5065.0,6943.259500472678
smooth,2025-12-01,Internal + external,4849.0,7085.123709378344
smooth,2025-12-01,Internal only,4849.0,7354.340481427688
smooth,2026-01-01,Internal + external,4746.0,6369.98069652769
smooth,2026-01-01,Internal only,4746.0,6487.590868011865
smooth,2026-02-01,Internal + external,4546.0,6617.367097499834
smooth,2026-02-01,Internal only,4546.0,6640.402069108803
smooth,2026-03-01,Internal + external,3987.0,7632.652097703943
smooth,2026-03-01,Internal only,3987.0,7737.5142123577825
smooth,2026-04-01,Internal + external,4936.0,7234.805091481948
smooth,2026-04-01,Internal only,4936.0,6794.757783789285
