sku_id,history_months,history_total_demand,positive_months,positive_months_last12,positive_blocks_last18,months_since_positive,positive_mean,positive_median,positive_cv2,average_demand_interval,recent_3m_total,recent_6m_total,recent_12m_total,recent_vs_prior_6m_ratio,stock_observation_share,potential_stock_constraint_share,trailing_12m_units,trailing_12m_value,FAMILY_DESCRIPTION,SUBFAMILY_DESCRIPTION,MATERIAL_DESCRIPTION,Brand,Channel,REGION,lifecycle_tier,frequency_tier,recency_tier,size_tier,potential_stock_status,abc_units_tier,abc_value_tier,classification_cutoff,product_master_assumption
84510M76T21000,7,4.0,3,3,2,3.0,1.3333333333333333,1.0,0.12500000000000003,1.5,0.0,2.0,4.0,1.0,0.5714285714285714,1.0,4.0,1497196.0,CARROCERIA,IMPACTO PRIMARIO,PARABRISAS,SUZUKI,DISTRIBUTION,AMERICAS,new,occasional_2_3,recent_3_5,mostly_single_unit,potentially_stock_constrained,B,A,2024-07-01,True
84510M76T31000,10,9.0,6,6,4,0.0,1.5,1.0,0.2592592592592593,1.8,4.0,7.0,9.0,2.6666666666666665,0.6,,9.0,3820433.0,CARROCERIA,IMPACTO PRIMARIO,PARABRISAS,SUZUKI,DISTRIBUTION,AMERICAS,new,recurring_4_6,recent_0_2,mostly_single_unit,stock_generally_available,A,A,2024-07-01,True
84510M80T11000,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO A,PARABRISAS,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
84511M53M00000,43,125.0,40,10,6,0.0,3.125,3.0,0.47712000000000004,1.0769230769230769,4.0,8.0,20.0,0.6923076923076923,0.9534883720930233,1.0,20.0,2531316.0,CARROCERIA,IMPACTO PRIMARIO,PARABRISA,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,potentially_stock_constrained,A,A,2024-07-01,True
84511M68K00000,42,50.0,23,3,4,3.0,2.1739130434782608,2.0,0.7847999999999998,1.7272727272727273,0.0,2.0,3.0,1.5,0.5476190476190477,,3.0,609221.0,CARROCERIA,IMPACTO PRIMARIO,PARABRISA,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_3_5,multi_unit_stable,stock_generally_available,C,B,2024-07-01,True
8454154P01000,40,44.0,24,8,5,0.0,1.8333333333333333,1.0,0.6611570247933886,1.6956521739130435,1.0,4.0,10.0,0.7142857142857143,0.6,,10.0,1695143.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PTA TRAS DER,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,mostly_single_unit,stock_generally_available,A,A,2024-07-01,True
84541M56R00000,43,58.0,31,8,6,0.0,1.8709677419354838,1.0,0.45600475624256853,1.4,2.0,8.0,16.0,1.0,0.7441860465116279,1.0,16.0,508892.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PTA TRAS DER SZK DZIRE A2N,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,mostly_single_unit,potentially_stock_constrained,A,B,2024-07-01,True
84556M80T00000,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO B,VIDRIO ALETA TRAS IZQ,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
84570M62S10000,43,81.0,34,7,6,1.0,2.3823529411764706,2.0,0.4872732815119647,1.2424242424242424,5.0,10.0,14.0,2.2,0.7906976744186046,,14.0,2212318.0,CARROCERIA,IMPACTO PRIMARIO,LUNETA,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,stock_generally_available,A,A,2024-07-01,True
84570M67P10000,43,75.0,27,4,6,1.0,2.7777777777777777,2.0,0.7232000000000001,1.5769230769230769,2.0,4.0,7.0,1.25,0.6744186046511628,1.0,7.0,649583.0,CARROCERIA,IMPACTO PRIMARIO,LUNETA,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,potentially_stock_constrained,B,B,2024-07-01,True
84570M75T00000,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO A,LUNETA,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
8458065J02000,43,83.0,34,10,6,1.0,2.4411764705882355,2.0,0.5447815357816808,1.2424242424242424,1.0,4.0,14.0,0.45454545454545453,0.813953488372093,1.0,14.0,8050230.0,CARROCERIA,IMPACTO PRIMARIO,LUNETA,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,potentially_stock_constrained,A,A,2024-07-01,True
8458080J01000,31,11.0,7,2,2,5.0,1.5714285714285714,1.0,0.44628099173553737,4.166666666666667,0.0,1.0,5.0,0.4,0.25806451612903225,1.0,5.0,-160062.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO FIJO TRAS DER,SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_3_5,mostly_single_unit,potentially_stock_constrained,B,C,2024-07-01,True
84611M76M00000,43,77.0,34,7,5,1.0,2.264705882352941,1.5,0.46230392983639734,1.2424242424242424,2.0,4.0,10.0,0.7142857142857143,0.7906976744186046,,10.0,209626.0,CARROCERIA,IMPACTO PRIMARIO,MOLDURA PARABRISA,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,stock_generally_available,A,C,2024-07-01,True
84641M77G00000,43,12.0,8,2,1,9.0,1.5,1.0,0.4444444444444444,4.714285714285714,0.0,0.0,3.0,0.25,0.20930232558139536,1.0,3.0,40392.0,CARROCERIA,IMPACTO PRIMARIO,GOMA PUERTA DEL DER,SUZUKI,DISTRIBUTION,AMERICAS,established,rare_0_1,stale_6_11,mostly_single_unit,stock_data_limited,C,C,2024-07-01,True
8470161LVBZJ3,43,61.0,27,4,4,0.0,2.259259259259259,2.0,0.5745767266863746,1.6153846153846154,10.0,12.0,12.0,13.0,0.6511627906976745,1.0,12.0,3402252.0,CARROCERIA,IMPACTO PRIMARIO,"ESPEJO ELECT, DER",SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,potentially_stock_constrained,A,A,2024-07-01,True
8470178R005PK,20,1.0,1,0,0,19.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,0.05,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO EXT DER [GA] [SZK JIMNY II],SUZUKI,DISTRIBUTION,AMERICAS,developing,rare_0_1,dormant_12_plus,mostly_single_unit,stock_data_limited,C,C,2024-07-01,True
8470181A015PK,43,69.0,26,3,4,1.0,2.6538461538461537,2.0,0.5345515647973117,1.64,1.0,1.0,6.0,0.3333333333333333,0.627906976744186,1.0,6.0,623222.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO EXT DER,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,potentially_stock_constrained,B,B,2024-07-01,True
84701M53M005PK,35,12.0,10,2,3,1.0,1.2,1.0,0.11111111111111113,3.6666666666666665,1.0,1.0,2.0,1.0,0.5142857142857142,1.0,2.0,0.0,CARROCERIA,ESTRUCTURA,ESPEJO IZQ,SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_0_2,mostly_single_unit,potentially_stock_constrained,C,C,2024-07-01,True
84701M53T3026U,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO,ESPEJO DER,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
