candidate_id,config_id,temperature,decay,shrink,neighbor_weight,top_k,memory_weight,shift_threshold,shift_decay,neighbors,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
temp6.00__decay0.80__shrink6.0__peer0.35__top4__memory0.75,temp6.00__decay0.80__shrink6.0__peer0.35__top4__memory0.75,6.0,0.8,6.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,26,80.27055550304999,103.11737979178505,0.3227673965323934,81.9346080043498,139.0,124.7636488151666,-10.241979269664313,10.241979269664313
temp3.00__decay1.00__shrink6.0__peer0.35__top4__memory0.75,temp3.00__decay1.00__shrink6.0__peer0.35__top4__memory0.75,3.0,1.0,6.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,26,80.52696172049441,104.0753226517706,0.32505548275565366,82.29972048201495,139.0,125.53470814621554,-9.687260326463644,9.687260326463644
temp3.00__decay0.80__shrink6.0__peer0.35__top4__memory0.75,temp3.00__decay0.80__shrink6.0__peer0.35__top4__memory0.75,3.0,0.8,6.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,26,80.58517214395053,103.12192675750768,0.3222109507540752,82.01579808795655,139.0,124.96548557721998,-10.096772966028793,10.096772966028793
temp1.00__decay1.00__shrink6.0__peer0.35__top4__memory0.75,temp1.00__decay1.00__shrink6.0__peer0.35__top4__memory0.75,1.0,1.0,6.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,26,80.77857126141552,104.07935603146024,0.3249561436406373,82.36344750755956,139.0,125.67798081153242,-9.58418646652344,9.58418646652344
temp1.00__decay0.80__shrink6.0__peer0.35__top4__memory0.75,temp1.00__decay0.80__shrink6.0__peer0.35__top4__memory0.75,1.0,0.8,6.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,26,80.79807313384548,103.12544712628923,0.3218394975380154,82.06864892721322,139.0,125.10472532180978,-9.996600487906633,9.996600487906633
temp6.00__decay0.80__shrink6.0__peer0.00__top4__memory0.75,temp6.00__decay0.80__shrink6.0__peer0.00__top4__memory0.75,6.0,0.8,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,81.23877323433332,104.11838062626046,0.3121509526934667,83.52656223975049,139.0,125.80248270233913,-9.494616760907098,9.494616760907098
temp6.00__decay0.50__shrink6.0__peer0.00__top4__memory0.75,temp6.00__decay0.50__shrink6.0__peer0.00__top4__memory0.75,6.0,0.5,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,81.30517474524812,100.29108075243207,0.3129408996924682,83.69076589363775,139.0,125.31353051032926,-9.846380927820677,9.846380927820677
temp3.00__decay0.80__shrink6.0__peer0.00__top4__memory0.75,temp3.00__decay0.80__shrink6.0__peer0.00__top4__memory0.75,3.0,0.8,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,81.37988270020298,104.37713682236236,0.310591703232515,83.60294297283336,139.0,126.14587332202896,-9.247573149619454,9.247573149619454
temp3.00__decay0.50__shrink6.0__peer0.00__top4__memory0.75,temp3.00__decay0.50__shrink6.0__peer0.00__top4__memory0.75,3.0,0.5,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,81.41318239257185,100.68774234997292,0.31099013421069743,83.72925938589262,139.0,125.66467681667497,-9.593757685845347,9.593757685845347
temp1.00__decay0.80__shrink6.0__peer0.00__top4__memory0.75,temp1.00__decay0.80__shrink6.0__peer0.00__top4__memory0.75,1.0,0.8,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,81.47407496412724,104.55602163864134,0.30954756349705354,83.65489830911062,139.0,126.38215467384063,-9.077586565582278,9.077586565582278
