sku_id,selected_model_key,selected_model,score,policy
83665M68P01000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,64.81607921661869,required_18m_gap3
83714M62B00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,1531.643022596836,required_18m_gap3
83740M62S005PK,block_recent6,Block recent 6-month mean,123.07692307692308,required_18m_gap3
83755M74L005PK,block_tsb,Block TSB,69.97027716175208,required_18m_gap3
8381065A00000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
8381152R02000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,65.89002527039627,required_18m_gap3
8381165J00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,44.04341014655861,required_18m_gap3
8381173R00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,311.6703920894199,required_18m_gap3
8381180J00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,82.60366497813044,required_18m_gap3
83811M68P00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,61.4653642215426,required_18m_gap3
83811M74L01000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,95.61130868537086,required_18m_gap3
83811M79G11000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,53.19058179855347,required_18m_gap3
8382065A00000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
8382165J00000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,53.28320870175958,required_18m_gap3
83821M74L01000,block_recent6,Block recent 6-month mean,31.182795698924732,required_18m_gap3
83821M79G11000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,71.52961337048075,required_18m_gap3
8383165J00000,block_recent6,Block recent 6-month mean,78.26086956521739,required_18m_gap3
83831M79G00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,72.5085973739624,required_18m_gap3
8384165J00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,53.01255656961809,required_18m_gap3
83841M79G01000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,58.267721245365756,required_18m_gap3
8392165J010CB,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,51.46060143747638,required_18m_gap3
83922M68P000CB,block_recent6,Block recent 6-month mean,84.0,required_18m_gap3
8392364J010CB,block_recent6,Block recent 6-month mean,140.0,required_18m_gap3
8392471L200CE,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,66.64152838463006,required_18m_gap3
83924M74T000CB,block_recent6,Block recent 6-month mean,66.66666666666667,required_18m_gap3
83924M76T100CB,block_recent6,Block recent 6-month mean,66.66666666666667,required_18m_gap3
8394068L50000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,50.743254514840935,required_18m_gap3
83940M55T010PG,block_recent6,Block recent 6-month mean,72.79236276849642,required_18m_gap3
83940M74L00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,109.72518675467548,required_18m_gap3
83943M68P00000,block_recent6,Block recent 6-month mean,475.0,required_18m_gap3
83970M55T00000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,102.2455507709134,required_18m_gap3
8450162R02000,block_recent6,Block recent 6-month mean,136.36363636363637,required_18m_gap3
8450171L02000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,112.57305917414752,required_18m_gap3
84501M56R00000,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,42.94920090971322,required_18m_gap3
8450373R00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,111.54394041408192,required_18m_gap3
84503M62S00000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,47.2149138138673,required_18m_gap3
84504M68P00000,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,30.659865940871992,required_18m_gap3
8451061M02000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,39.13430006880509,required_18m_gap3
84510M76T21000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,65.09040055736419,required_18m_gap3
84510M76T31000,block_sba,Block SBA Croston,68.72237970014686,required_18m_gap3
84511M53M00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,78.47977952351646,required_18m_gap3
84511M68K00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,106.22880756855011,required_18m_gap3
8454154P01000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,61.85517933057702,required_18m_gap3
84541M56R00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,68.51844202008164,required_18m_gap3
84570M62S10000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,64.56281848070098,required_18m_gap3
84570M67P10000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,45.58449374868515,required_18m_gap3
8458065J02000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,42.81310712968981,required_18m_gap3
8458080J01000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,154.0570467710495,required_18m_gap3
